# wave[microns]    norm_trans
  5.2950001E-01    0.0000000E+00
  5.2999997E-01    1.1338096E-03
  5.3099996E-01    2.2664480E-03
  5.3200001E-01    3.3987381E-03
  5.3299999E-01    4.5300247E-03
  5.3399998E-01    4.5288075E-03
  5.3499997E-01    5.6593544E-03
  5.3600001E-01    6.7900661E-03
  5.3700000E-01    7.9184715E-03
  5.3799999E-01    7.9151671E-03
  5.3899997E-01    9.0390220E-03
  5.3999996E-01    1.1291771E-02
  5.4100001E-01    1.3539370E-02
  5.4200000E-01    1.6916037E-02
  5.4299998E-01    2.0290550E-02
  5.4399997E-01    2.4788255E-02
  5.4499996E-01    2.9283475E-02
  5.4600000E-01    3.6030378E-02
  5.4699999E-01    4.3893896E-02
  5.4799998E-01    5.2872300E-02
  5.4899997E-01    6.4090088E-02
  5.5000001E-01    7.8673668E-02
  5.5100000E-01    9.4211973E-02
  5.5199999E-01    1.1306185E-01
  5.5299997E-01    1.3518664E-01
  5.5399996E-01    1.6058028E-01
  5.5500001E-01    1.8918271E-01
  5.5599999E-01    2.2089119E-01
  5.5699998E-01    2.5572446E-01
  5.5799997E-01    2.9255819E-01
  5.5900002E-01    3.3039007E-01
  5.6000000E-01    3.7023923E-01
  5.6099999E-01    4.1038471E-01
  5.6199998E-01    4.5048088E-01
  5.6299996E-01    4.9034908E-01
  5.6400001E-01    5.3025997E-01
  5.6500000E-01    5.6988198E-01
  5.6599998E-01    6.0861886E-01
  5.6699997E-01    6.4619851E-01
  5.6799996E-01    6.8263841E-01
  5.6900001E-01    7.1698827E-01
  5.6999999E-01    7.4652827E-01
  5.7099998E-01    7.7206105E-01
  5.7199997E-01    7.9348642E-01
  5.7300001E-01    8.1020689E-01
  5.7400000E-01    8.2290238E-01
  5.7499999E-01    8.3030432E-01
  5.7599998E-01    8.3263028E-01
  5.7699996E-01    8.3074939E-01
  5.7800001E-01    8.2405722E-01
  5.7900000E-01    8.1524408E-01
  5.7999998E-01    8.0459428E-01
  5.8099997E-01    7.9374886E-01
  5.8199996E-01    7.8512919E-01
  5.8300000E-01    7.7757251E-01
  5.8399999E-01    7.7329284E-01
  5.8499998E-01    7.7105778E-01
  5.8599997E-01    7.7193600E-01
  5.8700001E-01    7.7569854E-01
  5.8800000E-01    7.7795106E-01
  5.8899999E-01    7.7562064E-01
  5.8999997E-01    7.8340799E-01
  5.9099996E-01    7.9538959E-01
  5.9200001E-01    7.9402876E-01
  5.9299999E-01    8.0640125E-01
  5.9399998E-01    8.0442500E-01
  5.9499997E-01    8.0101687E-01
  5.9599996E-01    8.0914479E-01
  5.9700000E-01    8.0848372E-01
  5.9799999E-01    8.1559426E-01
  5.9899998E-01    8.2156235E-01
  5.9999996E-01    8.2952797E-01
  6.0100001E-01    8.3823925E-01
  6.0200000E-01    8.4668624E-01
  6.0299999E-01    8.5749084E-01
  6.0399997E-01    8.6803812E-01
  6.0499996E-01    8.7941819E-01
  6.0600001E-01    8.9116520E-01
  6.0699999E-01    9.0198362E-01
  6.0799998E-01    9.1384113E-01
  6.0899997E-01    9.2336684E-01
  6.1000001E-01    9.3168473E-01
  6.1100000E-01    9.4042075E-01
  6.1199999E-01    9.4856197E-01
  6.1299998E-01    9.5435351E-01
  6.1399996E-01    9.5916688E-01
  6.1500001E-01    9.6254295E-01
  6.1600000E-01    9.6545023E-01
  6.1699998E-01    9.6681297E-01
  6.1799997E-01    9.6948296E-01
  6.1899996E-01    9.7187304E-01
  6.2000000E-01    9.7454977E-01
  6.2099999E-01    9.7815949E-01
  6.2199998E-01    9.8190868E-01
  6.2299997E-01    9.8661524E-01
  6.2400001E-01    9.9135447E-01
  6.2500000E-01    9.9514323E-01
  6.2599999E-01    9.9947160E-01
  6.2699997E-01    1.0000000E+00
  6.2799996E-01    9.5347452E-01
  6.2900001E-01    9.8889679E-01
  6.3000000E-01    9.8881197E-01
  6.3099998E-01    9.9360681E-01
  6.3199997E-01    9.9585688E-01
  6.3299996E-01    9.9917006E-01
  6.3400000E-01    9.9875498E-01
  6.3499999E-01    9.9701703E-01
  6.3599998E-01    9.9699342E-01
  6.3699996E-01    9.9502832E-01
  6.3800001E-01    9.9255115E-01
  6.3900000E-01    9.8853856E-01
  6.3999999E-01    9.8541230E-01
  6.4099997E-01    9.8046011E-01
  6.4199996E-01    9.7650492E-01
  6.4300001E-01    9.7139406E-01
  6.4399999E-01    9.6761423E-01
  6.4499998E-01    9.6377534E-01
  6.4599997E-01    9.5835805E-01
  6.4699996E-01    9.5341283E-01
  6.4800000E-01    9.4688827E-01
  6.4899999E-01    9.4529748E-01
  6.4999998E-01    9.4645882E-01
  6.5099996E-01    9.4464284E-01
  6.5200001E-01    9.2636770E-01
  6.5300000E-01    9.3352425E-01
  6.5399998E-01    9.2494547E-01
  6.5499997E-01    9.1010588E-01
  6.5599996E-01    9.0405816E-01
  6.5700001E-01    8.9386421E-01
  6.5799999E-01    8.8625735E-01
  6.5899998E-01    8.7729901E-01
  6.5999997E-01    8.6742783E-01
  6.6099995E-01    8.5863662E-01
  6.6200000E-01    8.4854597E-01
  6.6299999E-01    8.3863759E-01
  6.6399997E-01    8.2881206E-01
  6.6499996E-01    8.1766486E-01
  6.6600001E-01    8.0779141E-01
  6.6700000E-01    7.9879051E-01
  6.6799998E-01    7.8981787E-01
  6.6899997E-01    7.8159124E-01
  6.6999996E-01    7.7577084E-01
  6.7100000E-01    7.7077705E-01
  6.7199999E-01    7.6828021E-01
  6.7299998E-01    7.6555580E-01
  6.7399997E-01    7.6498562E-01
  6.7500001E-01    7.6528037E-01
  6.7600000E-01    7.6676589E-01
  6.7699999E-01    7.6940805E-01
  6.7799997E-01    7.7406895E-01
  6.7899996E-01    7.8213704E-01
  6.8000001E-01    7.9114503E-01
