# wave[microns]    norm_trans
  8.2014000E-01    0.0000000E+00
  8.2040995E-01    2.4703126E-03
  8.2257003E-01    2.2932650E-03
  8.2499003E-01    2.4998938E-03
  8.2742000E-01    3.5685720E-03
  8.2984000E-01    4.6958183E-03
  8.3225995E-01    5.7127075E-03
  8.3467996E-01    8.1275087E-03
  8.3709997E-01    1.2597683E-02
  8.3952993E-01    2.1528620E-02
  8.4195000E-01    4.4668924E-02
  8.4435993E-01    1.0875626E-01
  8.4677994E-01    2.8291929E-01
  8.4919995E-01    6.0818136E-01
  8.5162002E-01    9.0076429E-01
  8.5402995E-01    1.0000000E+00
  8.5644996E-01    9.9318540E-01
  8.5885996E-01    9.6762592E-01
  8.6127001E-01    9.5312011E-01
  8.6367995E-01    9.4229960E-01
  8.6609995E-01    9.2488992E-01
  8.6849999E-01    9.0750825E-01
  8.7090993E-01    8.8477689E-01
  8.7331998E-01    8.6792368E-01
  8.7572998E-01    8.5070270E-01
  8.7812996E-01    8.3663517E-01
  8.8054001E-01    8.2195920E-01
  8.8293999E-01    8.0318284E-01
  8.8534003E-01    7.8296721E-01
  8.8774002E-01    7.6475364E-01
  8.9014000E-01    7.4575859E-01
  8.9254004E-01    7.2344929E-01
  8.9494002E-01    6.7780131E-01
  8.9732999E-01    6.1550051E-01
  8.9972001E-01    5.8869004E-01
  9.0211999E-01    5.7793033E-01
  9.0450996E-01    6.1178660E-01
  9.0689999E-01    5.5381221E-01
  9.0929002E-01    5.2869290E-01
  9.1166997E-01    5.2453637E-01
  9.1405994E-01    4.8761591E-01
  9.1644001E-01    4.8686114E-01
  9.1882002E-01    4.9586028E-01
  9.2120993E-01    5.0219917E-01
  9.2357993E-01    4.8280668E-01
  9.2595994E-01    4.5987841E-01
  9.2834002E-01    4.1186592E-01
  9.3070996E-01    3.3200964E-01
  9.3307996E-01    2.4606076E-01
  9.3544996E-01    2.1156852E-01
  9.3782002E-01    2.2793382E-01
  9.4019002E-01    3.1346327E-01
  9.4229001E-01    2.7640280E-01
  9.4464999E-01    2.5498962E-01
  9.4701999E-01    2.6350540E-01
  9.4937998E-01    2.4173693E-01
  9.5172995E-01    2.2832800E-01
  9.5409000E-01    2.4526981E-01
  9.5644003E-01    2.1856388E-01
  9.5879000E-01    2.0872787E-01
  9.6114004E-01    2.2509994E-01
  9.6349001E-01    2.2063445E-01
  9.6584004E-01    2.1884665E-01
  9.6817994E-01    2.2917376E-01
  9.7052002E-01    2.2172308E-01
  9.7285992E-01    2.0933631E-01
  9.7520000E-01    1.9516893E-01
  9.7752994E-01    1.9860497E-01
  9.7985995E-01    1.9039744E-01
  9.8219997E-01    1.8653262E-01
  9.8452002E-01    1.7549577E-01
  9.8684996E-01    1.6723783E-01
  9.8917001E-01    1.5516435E-01
  9.9149001E-01    1.4647850E-01
  9.9380994E-01    1.4041205E-01
  9.9612993E-01    1.3327996E-01
  9.9844003E-01    1.2065701E-01
  1.0007499E+00    9.2339233E-02
  1.0030600E+00    4.9828932E-02
  1.0053700E+00    2.0470105E-02
  1.0076700E+00    7.9798521E-03
  1.0099699E+00    3.3958282E-03
  1.0122700E+00    1.7444633E-03
  1.0145700E+00    1.0897233E-03
  1.0168599E+00    7.6273317E-04
  1.0191500E+00    6.2773714E-04
  1.0214400E+00    5.0503301E-04
  1.0237200E+00    4.6178480E-04
  1.0260099E+00    4.7856325E-04
  1.0282799E+00    3.7654475E-04
  1.0300599E+00    0.0000000E+00
