# wave[microns]    norm_trans
  2.0250001E+00    2.5031290E-03
  2.0260000E+00    3.7546933E-03
  2.0270000E+00    3.7546933E-03
  2.0280001E+00    5.0062579E-03
  2.0290000E+00    5.0062579E-03
  2.0300000E+00    6.2578218E-03
  2.0309999E+00    6.2578218E-03
  2.0320001E+00    7.5093866E-03
  2.0330000E+00    7.5093866E-03
  2.0339999E+00    8.7609515E-03
  2.0350001E+00    1.0012516E-02
  2.0360000E+00    1.2515644E-02
  2.0369999E+00    1.5018773E-02
  2.0380001E+00    2.0025032E-02
  2.0390000E+00    2.5031287E-02
  2.0400000E+00    3.3792239E-02
  2.0409999E+00    4.6307884E-02
  2.0420001E+00    6.5081351E-02
  2.0430000E+00    9.0112634E-02
  2.0439999E+00    1.2765957E-01
  2.0450001E+00    1.8147683E-01
  2.0460000E+00    2.5031289E-01
  2.0469999E+00    3.3166456E-01
  2.0480001E+00    4.3804753E-01
  2.0490000E+00    5.5068833E-01
  2.0500000E+00    6.6332912E-01
  2.0510001E+00    7.5719649E-01
  2.0520000E+00    8.2603252E-01
  2.0530000E+00    8.8235289E-01
  2.0539999E+00    9.2615765E-01
  2.0550001E+00    9.5118892E-01
  2.0560000E+00    9.7622019E-01
  2.0569999E+00    9.9499375E-01
  2.0580001E+00    1.0000000E+00
  2.0590000E+00    9.9749684E-01
  2.0599999E+00    9.9249059E-01
  2.0610001E+00    9.8623276E-01
  2.0620000E+00    9.6745932E-01
  2.0630000E+00    9.5118892E-01
  2.0639999E+00    9.2866075E-01
  2.0650001E+00    9.0738422E-01
  2.0660000E+00    8.8235289E-01
  2.0669999E+00    8.4480602E-01
  2.0680001E+00    7.8848559E-01
  2.0690000E+00    7.0087606E-01
  2.0699999E+00    5.9449309E-01
  2.0710001E+00    4.6933666E-01
  2.0720000E+00    3.5669586E-01
  2.0730000E+00    2.5657070E-01
  2.0739999E+00    1.6896120E-01
  2.0750000E+00    1.1264081E-01
  2.0760000E+00    7.5093865E-02
  2.0769999E+00    5.0062574E-02
  2.0780001E+00    3.2540675E-02
  2.0790000E+00    2.3779724E-02
  2.0799999E+00    1.1264079E-02
  2.0810001E+00    7.5093866E-03
  2.0820000E+00    3.7546933E-03
  2.0829999E+00    2.5031290E-03
  2.0840001E+00    1.2515645E-03
  2.0850000E+00    1.2515645E-03
  2.0860000E+00    0.0000000E+00
