# wave[microns]    norm_trans
  1.4290000E+00    5.6967308E-04
  1.4295001E+00    5.2898214E-04
  1.4300001E+00    5.6967308E-04
  1.4305000E+00    7.9347315E-04
  1.4310001E+00    9.0537325E-04
  1.4315001E+00    8.5450953E-04
  1.4320000E+00    9.3589141E-04
  1.4325001E+00    7.4260950E-04
  1.4330001E+00    6.4088218E-04
  1.4335001E+00    6.1036396E-04
  1.4340000E+00    8.2399137E-04
  1.4345001E+00    6.4088218E-04
  1.4350001E+00    4.9846387E-04
  1.4355000E+00    4.3742752E-04
  1.4360001E+00    4.6794571E-04
  1.4365001E+00    4.9846387E-04
  1.4370000E+00    3.2552748E-04
  1.4375001E+00    3.2552748E-04
  1.4380001E+00    2.4414560E-04
  1.4385000E+00    1.7293647E-04
  1.4390000E+00    2.4414560E-04
  1.4395001E+00    2.7466379E-04
  1.4400001E+00    2.4414560E-04
  1.4405000E+00    2.7466379E-04
  1.4410001E+00    5.3915480E-04
  1.4415001E+00    4.6794571E-04
  1.4420000E+00    6.2053668E-04
  1.4425001E+00    5.0863664E-04
  1.4430001E+00    5.0863664E-04
  1.4435000E+00    4.6794571E-04
  1.4440001E+00    7.4260950E-04
  1.4445001E+00    7.7312766E-04
  1.4450001E+00    5.9001846E-04
  1.4455000E+00    7.4260950E-04
  1.4460001E+00    7.7312766E-04
  1.4465001E+00    9.6640963E-04
  1.4470000E+00    1.0376187E-03
  1.4475001E+00    1.1495188E-03
  1.4480001E+00    1.1190006E-03
  1.4485000E+00    1.1902098E-03
  1.4490001E+00    1.3529735E-03
  1.4495001E+00    1.5055644E-03
  1.4500000E+00    1.4241826E-03
  1.4505000E+00    1.5869463E-03
  1.4510001E+00    1.6581555E-03
  1.4515001E+00    1.9735103E-03
  1.4520000E+00    2.0955829E-03
  1.4525001E+00    2.1769649E-03
  1.4530001E+00    2.3295558E-03
  1.4535000E+00    2.2176558E-03
  1.4540001E+00    2.0650646E-03
  1.4545001E+00    2.2176558E-03
  1.4550000E+00    2.3702467E-03
  1.4555001E+00    2.3905921E-03
  1.4560001E+00    2.1871375E-03
  1.4565001E+00    2.3905921E-03
  1.4570000E+00    2.6652559E-03
  1.4575001E+00    2.8992288E-03
  1.4580001E+00    2.9907834E-03
  1.4585000E+00    3.1230291E-03
  1.4590001E+00    3.1942383E-03
  1.4595001E+00    3.6011473E-03
  1.4600000E+00    4.2420295E-03
  1.4605001E+00    4.4047935E-03
  1.4610001E+00    4.4251387E-03
  1.4615000E+00    4.9541206E-03
  1.4620000E+00    5.4322393E-03
  1.4625001E+00    5.8493214E-03
  1.4630001E+00    6.2257121E-03
  1.4635000E+00    6.6427947E-03
  1.4640001E+00    6.8259039E-03
  1.4645001E+00    7.4464404E-03
  1.4650000E+00    8.2704322E-03
  1.4655001E+00    8.7078596E-03
  1.4660001E+00    9.3589146E-03
  1.4665000E+00    1.0121869E-02
  1.4670001E+00    1.1037416E-02
  1.4675001E+00    1.1871580E-02
  1.4680001E+00    1.2837988E-02
  1.4685000E+00    1.4170617E-02
  1.4690001E+00    1.5320136E-02
  1.4695001E+00    1.6744319E-02
  1.4700000E+00    1.8595755E-02
  1.4705001E+00    2.0365812E-02
  1.4710001E+00    2.2318976E-02
  1.4715000E+00    2.4770604E-02
  1.4720001E+00    2.7354477E-02
  1.4725001E+00    3.0101117E-02
  1.4730000E+00    3.3356391E-02
  1.4735000E+00    3.6988057E-02
  1.4740001E+00    4.0741798E-02
  1.4745001E+00    4.4871923E-02
  1.4750000E+00    4.9388617E-02
  1.4755001E+00    5.4169800E-02
  1.4760001E+00    5.9245996E-02
