# wave[microns]    norm_trans
  9.9699998E-01    0.0000000E+00
  1.0050000E+00    0.0000000E+00
  1.0130000E+00    0.0000000E+00
  1.0200000E+00    0.0000000E+00
  1.0280000E+00    0.0000000E+00
  1.0360000E+00    0.0000000E+00
  1.0450000E+00    0.0000000E+00
  1.0530000E+00    0.0000000E+00
  1.0610000E+00    0.0000000E+00
  1.0690000E+00    0.0000000E+00
  1.0779999E+00    0.0000000E+00
  1.0860000E+00    0.0000000E+00
  1.0950000E+00    0.0000000E+00
  1.1030000E+00    0.0000000E+00
  1.1120000E+00    0.0000000E+00
  1.1200000E+00    0.0000000E+00
  1.1289999E+00    0.0000000E+00
  1.1380000E+00    0.0000000E+00
  1.1470000E+00    0.0000000E+00
  1.1560000E+00    0.0000000E+00
  1.1650000E+00    0.0000000E+00
  1.1740000E+00    0.0000000E+00
  1.1830000E+00    0.0000000E+00
  1.1920000E+00    0.0000000E+00
  1.2020000E+00    0.0000000E+00
  1.2110000E+00    0.0000000E+00
  1.2200000E+00    0.0000000E+00
  1.2300000E+00    0.0000000E+00
  1.2400000E+00    0.0000000E+00
  1.2490000E+00    0.0000000E+00
  1.2589999E+00    0.0000000E+00
  1.2690001E+00    0.0000000E+00
  1.2790000E+00    0.0000000E+00
  1.2890000E+00    0.0000000E+00
  1.2990000E+00    0.0000000E+00
  1.3090000E+00    0.0000000E+00
  1.3190000E+00    0.0000000E+00
  1.3300000E+00    0.0000000E+00
  1.3400000E+00    0.0000000E+00
  1.3500000E+00    0.0000000E+00
  1.3609999E+00    0.0000000E+00
  1.3720000E+00    0.0000000E+00
  1.3820000E+00    0.0000000E+00
  1.3930000E+00    0.0000000E+00
  1.4040000E+00    0.0000000E+00
  1.4150000E+00    0.0000000E+00
  1.4260000E+00    0.0000000E+00
  1.4370000E+00    0.0000000E+00
  1.4480000E+00    0.0000000E+00
  1.4600000E+00    0.0000000E+00
  1.4710000E+00    0.0000000E+00
  1.4830000E+00    0.0000000E+00
  1.4940000E+00    0.0000000E+00
  1.5060000E+00    0.0000000E+00
  1.5180000E+00    0.0000000E+00
  1.5290000E+00    0.0000000E+00
  1.5410000E+00    0.0000000E+00
  1.5530000E+00    0.0000000E+00
  1.5660000E+00    0.0000000E+00
  1.5779999E+00    0.0000000E+00
  1.5900000E+00    0.0000000E+00
  1.6030000E+00    0.0000000E+00
  1.6150000E+00    0.0000000E+00
  1.6280000E+00    0.0000000E+00
  1.6400000E+00    0.0000000E+00
  1.6530000E+00    0.0000000E+00
  1.6660000E+00    0.0000000E+00
  1.6790000E+00    0.0000000E+00
  1.6920000E+00    0.0000000E+00
  1.7050000E+00    0.0000000E+00
  1.7190000E+00    0.0000000E+00
  1.7320000E+00    0.0000000E+00
  1.7460001E+00    0.0000000E+00
  1.7589999E+00    0.0000000E+00
  1.7730000E+00    0.0000000E+00
  1.7869999E+00    0.0000000E+00
  1.8010000E+00    0.0000000E+00
  1.8150001E+00    0.0000000E+00
  1.8290000E+00    0.0000000E+00
  1.8430001E+00    0.0000000E+00
  1.8580000E+00    0.0000000E+00
  1.8720000E+00    0.0000000E+00
  1.8870000E+00    0.0000000E+00
  1.9020000E+00    0.0000000E+00
  1.9170001E+00    0.0000000E+00
  1.9320000E+00    0.0000000E+00
  1.9470000E+00    9.9999998E-03
  1.9620000E+00    2.0000000E-02
  1.9770000E+00    3.9999999E-02
  1.9930000E+00    5.9999999E-02
  2.0079999E+00    1.1000000E-01
  2.0239999E+00    2.8999999E-01
  2.0400000E+00    5.2999997E-01
  2.0560000E+00    7.0999998E-01
  2.0720000E+00    9.4000000E-01
  2.0880001E+00    9.5999998E-01
  2.1040001E+00    9.5999998E-01
  2.1210001E+00    9.4999999E-01
  2.1370001E+00    9.4000000E-01
  2.1540000E+00    9.3000001E-01
  2.1710000E+00    9.2000002E-01
  2.1880000E+00    9.2000002E-01
  2.2049999E+00    9.1000003E-01
  2.2219999E+00    9.3000001E-01
  2.2390001E+00    9.4999999E-01
  2.2570000E+00    9.5999998E-01
  2.2739999E+00    9.8000002E-01
  2.2920001E+00    9.9000001E-01
  2.3099999E+00    1.0000000E+00
  2.3280001E+00    1.0000000E+00
  2.3460000E+00    1.0000000E+00
  2.3650000E+00    1.0000000E+00
  2.3829999E+00    9.4000000E-01
  2.4020000E+00    6.7000002E-01
  2.4200001E+00    2.7000001E-01
  2.4389999E+00    1.2000000E-01
  2.4579999E+00    3.9999999E-02
  2.4779999E+00    2.0000000E-02
  2.4970000E+00    9.9999998E-03
  2.5170000E+00    9.9999998E-03
  2.5360000E+00    0.0000000E+00
  2.5560000E+00    0.0000000E+00
  2.5760000E+00    0.0000000E+00
  2.5960000E+00    0.0000000E+00
  2.6159999E+00    0.0000000E+00
  2.6370001E+00    0.0000000E+00
  2.6570001E+00    0.0000000E+00
  2.6780000E+00    0.0000000E+00
  2.6989999E+00    0.0000000E+00
  2.7200000E+00    0.0000000E+00
  2.7409999E+00    0.0000000E+00
  2.7630000E+00    0.0000000E+00
  2.7839999E+00    0.0000000E+00
  2.8060000E+00    0.0000000E+00
  2.8280001E+00    0.0000000E+00
  2.8499999E+00    0.0000000E+00
  2.8720000E+00    0.0000000E+00
  2.8950000E+00    0.0000000E+00
  2.9170001E+00    0.0000000E+00
  2.9400001E+00    0.0000000E+00
  2.9630001E+00    0.0000000E+00
  2.9860001E+00    0.0000000E+00
  3.0100000E+00    0.0000000E+00
  3.0330000E+00    0.0000000E+00
  3.0569999E+00    0.0000000E+00
  3.0810001E+00    0.0000000E+00
  3.1050000E+00    0.0000000E+00
  3.1289999E+00    0.0000000E+00
  3.1540000E+00    0.0000000E+00
  3.1780000E+00    0.0000000E+00
  3.2030001E+00    0.0000000E+00
  3.2279999E+00    0.0000000E+00
  3.2530000E+00    0.0000000E+00
  3.2790000E+00    0.0000000E+00
  3.3039999E+00    0.0000000E+00
  3.3299999E+00    0.0000000E+00
  3.3559999E+00    0.0000000E+00
  3.3820000E+00    0.0000000E+00
  3.4089999E+00    0.0000000E+00
  3.4349999E+00    0.0000000E+00
  3.4619999E+00    0.0000000E+00
  3.4890001E+00    0.0000000E+00
  3.5160000E+00    0.0000000E+00
  3.5439999E+00    0.0000000E+00
  3.5720000E+00    0.0000000E+00
  3.5990000E+00    0.0000000E+00
  3.6280000E+00    0.0000000E+00
  3.6559999E+00    0.0000000E+00
  3.6849999E+00    0.0000000E+00
  3.7130001E+00    0.0000000E+00
  3.7420001E+00    0.0000000E+00
  3.7720001E+00    0.0000000E+00
  3.8010001E+00    0.0000000E+00
  3.8310001E+00    0.0000000E+00
  3.8610001E+00    0.0000000E+00
  3.8910000E+00    0.0000000E+00
  3.9210000E+00    0.0000000E+00
  3.9519999E+00    0.0000000E+00
  3.9830000E+00    0.0000000E+00
  4.0139999E+00    0.0000000E+00
  4.0450001E+00    0.0000000E+00
  4.0770001E+00    0.0000000E+00
  4.1090002E+00    0.0000000E+00
  4.1409998E+00    0.0000000E+00
  4.1729999E+00    0.0000000E+00
  4.2059999E+00    0.0000000E+00
  4.2379999E+00    0.0000000E+00
  4.2719998E+00    0.0000000E+00
  4.3049998E+00    0.0000000E+00
  4.3390002E+00    0.0000000E+00
  4.3720002E+00    0.0000000E+00
  4.4070001E+00    0.0000000E+00
  4.4410000E+00    0.0000000E+00
  4.4759998E+00    0.0000000E+00
  4.5110002E+00    0.0000000E+00
  4.5460000E+00    0.0000000E+00
  4.5809999E+00    0.0000000E+00
  4.6170001E+00    0.0000000E+00
  4.6529999E+00    0.0000000E+00
  4.6900001E+00    0.0000000E+00
  4.7259998E+00    0.0000000E+00
  4.7630000E+00    0.0000000E+00
  4.8000002E+00    0.0000000E+00
  4.8379998E+00    0.0000000E+00
  4.8759999E+00    0.0000000E+00
  4.9140000E+00    0.0000000E+00
  4.9520001E+00    0.0000000E+00
  4.9910002E+00    0.0000000E+00
  5.0300002E+00    0.0000000E+00
  5.0689998E+00    0.0000000E+00
  5.1090002E+00    0.0000000E+00
  5.1490002E+00    0.0000000E+00
  5.1890001E+00    0.0000000E+00
  5.2290001E+00    0.0000000E+00
  5.2700000E+00    0.0000000E+00
  5.3109999E+00    0.0000000E+00
  5.3530002E+00    0.0000000E+00
  5.3950000E+00    0.0000000E+00
  5.4369998E+00    0.0000000E+00
  5.4790001E+00    0.0000000E+00
  5.5219998E+00    0.0000000E+00
  5.5650001E+00    0.0000000E+00
  5.6090002E+00    0.0000000E+00
  5.6520000E+00    0.0000000E+00
  5.6970000E+00    0.0000000E+00
  5.7410002E+00    0.0000000E+00
  5.7859998E+00    0.0000000E+00
  5.8309999E+00    0.0000000E+00
  5.8769999E+00    0.0000000E+00
  5.9229999E+00    0.0000000E+00
  5.9689999E+00    0.0000000E+00
  6.0149999E+00    0.0000000E+00
  6.0619998E+00    0.0000000E+00
  6.1100001E+00    0.0000000E+00
  6.1580000E+00    0.0000000E+00
  6.2059999E+00    0.0000000E+00
  6.2540002E+00    0.0000000E+00
  6.3030000E+00    0.0000000E+00
  6.3520002E+00    0.0000000E+00
  6.4020000E+00    0.0000000E+00
  6.4520001E+00    0.0000000E+00
  6.5019999E+00    0.0000000E+00
  6.5530000E+00    0.0000000E+00
  6.6040001E+00    0.0000000E+00
  6.6560001E+00    0.0000000E+00
  6.7080002E+00    0.0000000E+00
  6.7600002E+00    0.0000000E+00
  6.8130002E+00    0.0000000E+00
  6.8660002E+00    0.0000000E+00
  6.9200001E+00    0.0000000E+00
  6.9740000E+00    0.0000000E+00
  7.0279999E+00    0.0000000E+00
  7.0830002E+00    0.0000000E+00
  7.1389999E+00    0.0000000E+00
  7.1939998E+00    0.0000000E+00
  7.2509999E+00    0.0000000E+00
  7.3070002E+00    0.0000000E+00
  7.3639998E+00    0.0000000E+00
  7.4219999E+00    0.0000000E+00
  7.4800000E+00    0.0000000E+00
  7.5380001E+00    0.0000000E+00
  7.5970001E+00    0.0000000E+00
  7.6560001E+00    0.0000000E+00
  7.7160001E+00    0.0000000E+00
  7.7770000E+00    0.0000000E+00
  7.8369999E+00    0.0000000E+00
  7.8979998E+00    0.0000000E+00
  7.9600000E+00    0.0000000E+00
  8.0220003E+00    0.0000000E+00
  8.0850000E+00    0.0000000E+00
  8.1479998E+00    0.0000000E+00
  8.2119999E+00    0.0000000E+00
  8.2760000E+00    0.0000000E+00
  8.3409996E+00    0.0000000E+00
  8.4060001E+00    0.0000000E+00
  8.4709997E+00    0.0000000E+00
  8.5380001E+00    0.0000000E+00
  8.6040001E+00    0.0000000E+00
  8.6709995E+00    0.0000000E+00
  8.7390003E+00    0.0000000E+00
  8.8070002E+00    0.0000000E+00
  8.8760004E+00    0.0000000E+00
  8.9460001E+00    0.0000000E+00
  9.0159998E+00    0.0000000E+00
  9.0860004E+00    0.0000000E+00
  9.1569996E+00    0.0000000E+00
  9.2279997E+00    0.0000000E+00
  9.3009996E+00    0.0000000E+00
  9.3730001E+00    0.0000000E+00
  9.4460001E+00    0.0000000E+00
  9.5200005E+00    0.0000000E+00
  9.5950003E+00    0.0000000E+00
  9.6689997E+00    0.0000000E+00
  9.7449999E+00    0.0000000E+00
  9.8210001E+00    0.0000000E+00
  9.8979998E+00    0.0000000E+00
  9.9750004E+00    0.0000000E+00
  1.0053000E+01    0.0000000E+00
  1.0132000E+01    0.0000000E+00
  1.0211000E+01    0.0000000E+00
  1.0291000E+01    0.0000000E+00
  1.0371000E+01    0.0000000E+00
  1.0452000E+01    0.0000000E+00
  1.0534000E+01    0.0000000E+00
  1.0616000E+01    0.0000000E+00
  1.0699000E+01    0.0000000E+00
  1.0782000E+01    0.0000000E+00
  1.0867000E+01    0.0000000E+00
  1.0951000E+01    0.0000000E+00
  1.1037000E+01    0.0000000E+00
  1.1123000E+01    0.0000000E+00
  1.1210000E+01    0.0000000E+00
  1.1298000E+01    0.0000000E+00
  1.1386000E+01    0.0000000E+00
  1.1475000E+01    0.0000000E+00
  1.1564000E+01    0.0000000E+00
  1.1655000E+01    0.0000000E+00
  1.1746000E+01    0.0000000E+00
  1.1838000E+01    0.0000000E+00
  1.1930000E+01    0.0000000E+00
  1.2023000E+01    0.0000000E+00
