# wave[microns]    norm_trans
  3.6069104E-01    6.7515550E-03
  3.7032902E-01    6.7906946E-02
  3.8010502E-01    3.0361065E-01
  3.8764900E-01    5.5579787E-01
  3.9924800E-01    7.7855396E-01
  4.1301003E-01    8.4946603E-01
  4.2623004E-01    9.4052756E-01
  4.3856901E-01    9.9829006E-01
  4.4696000E-01    1.0000000E+00
  4.5644104E-01    9.6081477E-01
  4.6803102E-01    9.2057449E-01
  4.7723600E-01    9.4014543E-01
  4.8555201E-01    9.5134974E-01
  4.9629101E-01    5.6197691E-01
  5.0481403E-01    2.5914127E-01
  5.0894105E-01    1.2463469E-01
  5.1871502E-01    4.8660405E-02
  5.3108805E-01    6.0935467E-03
  5.3876805E-01    1.2291058E-03
