# wave[microns]    norm_trans
  5.3950000E-01    0.0000000E+00
  5.3999996E-01    0.0000000E+00
  5.4049999E-01    1.3597560E-03
  5.4100001E-01    2.7076879E-03
  5.4149997E-01    2.8732235E-03
  5.4200000E-01    3.0387589E-03
  5.4249996E-01    3.2634144E-03
  5.4299998E-01    3.4998935E-03
  5.4350001E-01    3.7245487E-03
  5.4399997E-01    3.9610281E-03
  5.4449999E-01    4.2448035E-03
  5.4499996E-01    4.5285784E-03
  5.4549998E-01    4.8123533E-03
  5.4600000E-01    5.0961291E-03
  5.4649997E-01    5.3799041E-03
  5.4699999E-01    5.6873267E-03
  5.4750001E-01    5.9711020E-03
  5.4799998E-01    6.2667010E-03
  5.4850000E-01    6.7041880E-03
  5.4899997E-01    7.1298503E-03
  5.4949999E-01    7.5673372E-03
  5.5000001E-01    7.9929996E-03
  5.5049998E-01    8.4896069E-03
  5.5100000E-01    8.9980373E-03
  5.5149996E-01    9.4946437E-03
  5.5199999E-01    1.0003074E-02
  5.5250001E-01    1.0606096E-02
  5.5299997E-01    1.1209118E-02
  5.5350000E-01    1.1823964E-02
  5.5399996E-01    1.2426987E-02
  5.5449998E-01    1.3254665E-02
  5.5500001E-01    1.4082341E-02
  5.5549997E-01    1.4910019E-02
  5.5599999E-01    1.5737697E-02
  5.5649996E-01    1.6849149E-02
  5.5699998E-01    1.7948778E-02
  5.5750000E-01    1.9060230E-02
  5.5799997E-01    2.0159859E-02
  5.5849999E-01    2.1921631E-02
  5.5900002E-01    2.3695225E-02
  5.5949998E-01    2.5468819E-02
  5.6000000E-01    2.7230591E-02
  5.6049997E-01    3.1558163E-02
  5.6099999E-01    3.5885733E-02
  5.6150001E-01    4.0225126E-02
  5.6199998E-01    4.4552699E-02
  5.6250000E-01    6.0526874E-02
  5.6299996E-01    7.6524697E-02
  5.6349999E-01    9.2487052E-02
  5.6400001E-01    1.0846122E-01
  5.6449997E-01    1.6028567E-01
  5.6500000E-01    2.1213374E-01
  5.6549996E-01    2.6400548E-01
  5.6599998E-01    3.1588903E-01
  5.6650001E-01    3.9629197E-01
  5.6699997E-01    4.7668311E-01
  5.6750000E-01    5.5690873E-01
  5.6799996E-01    6.3702792E-01
  5.6849998E-01    6.7453349E-01
  5.6900001E-01    7.1215737E-01
  5.6949997E-01    7.4997044E-01
  5.6999999E-01    7.8796083E-01
  5.7049996E-01    7.9403830E-01
  5.7099998E-01    8.0019867E-01
  5.7150000E-01    8.0587411E-01
  5.7199997E-01    8.1140774E-01
  5.7249999E-01    8.1350058E-01
  5.7300001E-01    8.1568801E-01
  5.7349998E-01    8.1794643E-01
  5.7400000E-01    8.2013386E-01
  5.7449996E-01    8.2221484E-01
  5.7499999E-01    8.2454419E-01
  5.7550001E-01    8.2705081E-01
  5.7599998E-01    8.2947481E-01
  5.7650000E-01    8.3134300E-01
  5.7699996E-01    8.3312833E-01
  5.7749999E-01    8.3500838E-01
  5.7800001E-01    8.3705395E-01
  5.7849997E-01    8.3856738E-01
  5.7900000E-01    8.3998626E-01
  5.7949996E-01    8.4148788E-01
  5.7999998E-01    8.4291863E-01
  5.8050001E-01    8.4562629E-01
  5.8099997E-01    8.4842855E-01
  5.8149999E-01    8.5123086E-01
  5.8199996E-01    8.5386765E-01
  5.8249998E-01    8.5508543E-01
  5.8300000E-01    8.5620874E-01
  5.8349997E-01    8.5750937E-01
  5.8399999E-01    8.5854989E-01
  5.8450001E-01    8.5821885E-01
  5.8499998E-01    8.5807687E-01
  5.8550000E-01    8.5774589E-01
  5.8599997E-01    8.5723746E-01
  5.8649999E-01    8.5612595E-01
  5.8700001E-01    8.5509729E-01
  5.8749998E-01    8.5354835E-01
  5.8800000E-01    8.5140824E-01
  5.8849996E-01    8.4963459E-01
  5.8899999E-01    8.4810930E-01
  5.8950001E-01    8.4821570E-01
  5.8999997E-01    8.4849954E-01
  5.9050000E-01    8.5162103E-01
  5.9099996E-01    8.5474259E-01
  5.9149998E-01    8.5597229E-01
  5.9200001E-01    8.5659891E-01
  5.9249997E-01    8.5812426E-01
  5.9299999E-01    8.6129302E-01
  5.9349996E-01    8.6316121E-01
  5.9399998E-01    8.6261731E-01
  5.9450001E-01    8.5981506E-01
  5.9499997E-01    8.6076099E-01
  5.9549999E-01    8.6299574E-01
  5.9599996E-01    8.6357504E-01
  5.9649998E-01    8.6404800E-01
  5.9700000E-01    8.6391801E-01
  5.9749997E-01    8.6447370E-01
  5.9799999E-01    8.6537230E-01
  5.9850001E-01    8.6724049E-01
  5.9899998E-01    8.6839926E-01
  5.9950000E-01    8.6991268E-01
  5.9999996E-01    8.7134343E-01
  6.0049999E-01    8.7283325E-01
  6.0100001E-01    8.7433487E-01
  6.0149997E-01    8.7564737E-01
  6.0200000E-01    8.7714899E-01
  6.0249996E-01    8.7733817E-01
  6.0299999E-01    8.7761009E-01
  6.0350001E-01    8.7973845E-01
  6.0399997E-01    8.8194948E-01
  6.0450000E-01    8.8256437E-01
  6.0499996E-01    8.8309640E-01
  6.0549998E-01    8.8372308E-01
  6.0600001E-01    8.8443255E-01
  6.0649997E-01    8.8436162E-01
  6.0699999E-01    8.8438523E-01
  6.0749996E-01    8.8450348E-01
  6.0799998E-01    8.8452715E-01
  6.0850000E-01    8.8535482E-01
  6.0899997E-01    8.8626522E-01
  6.0949999E-01    8.8699836E-01
  6.1000001E-01    8.8790882E-01
  6.1049998E-01    8.9019084E-01
  6.1100000E-01    8.9229548E-01
  6.1149997E-01    8.9457750E-01
  6.1199999E-01    8.9668220E-01
  6.1250001E-01    8.9866859E-01
  6.1299998E-01    9.0065503E-01
  6.1350000E-01    9.0273607E-01
  6.1399996E-01    9.0473425E-01
  6.1449999E-01    9.0581030E-01
  6.1500001E-01    9.0680343E-01
  6.1549997E-01    9.0789133E-01
  6.1600000E-01    9.0897912E-01
  6.1649996E-01    9.1023242E-01
  6.1699998E-01    9.1137934E-01
  6.1750001E-01    9.1253811E-01
  6.1799997E-01    9.1379148E-01
  6.1849999E-01    9.1420531E-01
  6.1899996E-01    9.1470188E-01
