# wave[microns]    norm_trans
  2.0833335E+00    0.0000000E+00
  2.0834281E+00    0.0000000E+00
  2.0835233E+00    1.7741935E-03
  2.0836182E+00    1.7741935E-03
  2.0837133E+00    3.5483870E-03
  2.0838082E+00    3.5483870E-03
  2.0839031E+00    5.3225807E-03
  2.0839982E+00    5.3225807E-03
  2.0840931E+00    7.0967739E-03
  2.0841882E+00    8.8709677E-03
  2.0842831E+00    8.8709677E-03
  2.0843782E+00    8.8709677E-03
  2.0844731E+00    8.8709677E-03
  2.0845683E+00    8.8709677E-03
  2.0846634E+00    1.0645161E-02
  2.0847585E+00    1.0645161E-02
  2.0848534E+00    1.0645161E-02
  2.0849485E+00    1.0645161E-02
  2.0850437E+00    1.0645161E-02
  2.0851388E+00    1.2419355E-02
  2.0852339E+00    1.2419355E-02
  2.0853291E+00    1.2419355E-02
  2.0854242E+00    1.2419355E-02
  2.0855193E+00    1.2419355E-02
  2.0856144E+00    1.2419355E-02
  2.0857096E+00    1.4193548E-02
  2.0858047E+00    1.4193548E-02
  2.0858998E+00    1.4193548E-02
  2.0859952E+00    1.4193548E-02
  2.0860903E+00    1.4193548E-02
  2.0861855E+00    1.5967742E-02
  2.0862808E+00    1.5967742E-02
  2.0863760E+00    1.5967742E-02
  2.0864713E+00    1.5967742E-02
  2.0865664E+00    1.5967742E-02
  2.0866618E+00    1.5967742E-02
  2.0867569E+00    1.5967742E-02
  2.0868521E+00    1.5967742E-02
  2.0869474E+00    1.5967742E-02
  2.0870426E+00    1.5967742E-02
  2.0871379E+00    1.5967742E-02
  2.0872333E+00    1.7741935E-02
  2.0873287E+00    1.7741935E-02
  2.0874240E+00    1.7741935E-02
  2.0875192E+00    1.7741935E-02
  2.0876145E+00    1.7741935E-02
  2.0877099E+00    1.7741935E-02
  2.0878053E+00    1.7741935E-02
  2.0879006E+00    1.7741935E-02
  2.0879960E+00    1.7741935E-02
  2.0880914E+00    1.7741935E-02
  2.0881867E+00    1.7741935E-02
  2.0882821E+00    1.9516129E-02
  2.0883775E+00    1.9516129E-02
  2.0884731E+00    1.9516129E-02
  2.0885682E+00    2.1290323E-02
  2.0886638E+00    2.1290323E-02
  2.0887592E+00    2.1290323E-02
  2.0888548E+00    2.3064516E-02
  2.0889502E+00    2.3064516E-02
  2.0890455E+00    2.3064516E-02
  2.0891411E+00    2.4838710E-02
  2.0892365E+00    2.4838710E-02
  2.0893319E+00    2.4838710E-02
  2.0894275E+00    2.6612902E-02
  2.0895231E+00    2.6612902E-02
  2.0896184E+00    2.6612902E-02
  2.0897141E+00    2.8387096E-02
  2.0898097E+00    2.8387096E-02
  2.0899053E+00    3.0161289E-02
  2.0900006E+00    3.0161289E-02
  2.0900962E+00    3.0161289E-02
  2.0901918E+00    3.1935483E-02
  2.0902872E+00    3.1935483E-02
  2.0903828E+00    3.1935483E-02
  2.0904784E+00    3.1935483E-02
  2.0905740E+00    3.3709679E-02
  2.0906696E+00    3.3709679E-02
  2.0907652E+00    3.3709679E-02
  2.0908608E+00    3.3709679E-02
  2.0909564E+00    3.3709679E-02
  2.0910523E+00    3.5483871E-02
  2.0911479E+00    3.5483871E-02
  2.0912435E+00    3.5483871E-02
  2.0913393E+00    3.5483871E-02
  2.0914350E+00    3.7258063E-02
  2.0915306E+00    3.7258063E-02
  2.0916264E+00    3.7258063E-02
  2.0917220E+00    3.7258063E-02
  2.0918176E+00    3.7258063E-02
  2.0919135E+00    3.9032258E-02
  2.0920093E+00    3.9032258E-02
  2.0921049E+00    3.9032258E-02
  2.0922008E+00    4.0806450E-02
  2.0922966E+00    4.0806450E-02
  2.0923922E+00    4.0806450E-02
  2.0924881E+00    4.2580646E-02
  2.0925837E+00    4.2580646E-02
  2.0926795E+00    4.2580646E-02
  2.0927753E+00    4.4354837E-02
  2.0928712E+00    4.4354837E-02
  2.0929670E+00    4.4354837E-02
  2.0930629E+00    4.6129033E-02
  2.0931587E+00    4.6129033E-02
  2.0932543E+00    4.6129033E-02
  2.0933504E+00    4.7903225E-02
  2.0934463E+00    4.7903225E-02
  2.0935421E+00    4.7903225E-02
  2.0936379E+00    4.9677420E-02
  2.0937338E+00    4.9677420E-02
  2.0938296E+00    4.9677420E-02
  2.0939257E+00    5.1451612E-02
  2.0940216E+00    5.1451612E-02
  2.0941174E+00    5.1451612E-02
  2.0942135E+00    5.3225804E-02
  2.0943093E+00    5.5000000E-02
  2.0944054E+00    5.5000000E-02
  2.0945013E+00    5.6774192E-02
  2.0945973E+00    5.8548387E-02
  2.0946932E+00    6.0322579E-02
  2.0947893E+00    6.2096775E-02
  2.0948853E+00    6.3870966E-02
  2.0949812E+00    6.5645158E-02
  2.0950773E+00    6.5645158E-02
  2.0951734E+00    6.7419358E-02
  2.0952692E+00    6.9193549E-02
  2.0953653E+00    7.0967741E-02
