# wave[microns]    norm_trans
  1.0500000E+00    0.0000000E+00
  1.0506001E+00    4.4545453E-04
  1.0513000E+00    8.3636364E-04
  1.0519000E+00    1.0311689E-03
  1.0526000E+00    1.2259741E-03
  1.0532000E+00    1.4207792E-03
  1.0538000E+00    1.6155844E-03
  1.0545000E+00    2.1389611E-03
  1.0551000E+00    2.1389611E-03
  1.0558000E+00    2.1389611E-03
  1.0563999E+00    2.1389611E-03
  1.0570000E+00    2.1389611E-03
  1.0577000E+00    2.1389611E-03
  1.0583000E+00    2.1389611E-03
  1.0590000E+00    2.1389611E-03
  1.0596000E+00    2.1389611E-03
  1.0602000E+00    2.1389611E-03
  1.0609000E+00    2.1389611E-03
  1.0615000E+00    4.0896107E-03
  1.0622000E+00    4.0896107E-03
  1.0628000E+00    4.0896107E-03
  1.0634000E+00    4.0896107E-03
  1.0641000E+00    4.0896107E-03
  1.0647000E+00    4.0896107E-03
  1.0654000E+00    4.0896107E-03
  1.0660000E+00    4.0896107E-03
  1.0666000E+00    4.0896107E-03
  1.0673000E+00    6.0389610E-03
  1.0678999E+00    6.0389610E-03
  1.0686001E+00    6.0389610E-03
  1.0692000E+00    6.0389610E-03
  1.0698000E+00    6.0389610E-03
  1.0705000E+00    6.0389610E-03
  1.0711000E+00    6.0389610E-03
  1.0718000E+00    6.0389610E-03
  1.0724000E+00    6.0389610E-03
  1.0730000E+00    7.9896105E-03
  1.0737000E+00    7.9896105E-03
  1.0743001E+00    7.9896105E-03
  1.0750000E+00    7.9896105E-03
  1.0756000E+00    7.9896105E-03
  1.0762000E+00    7.9896105E-03
  1.0769000E+00    7.9896105E-03
  1.0775000E+00    7.9896105E-03
  1.0782000E+00    7.9896105E-03
  1.0788000E+00    9.9389609E-03
  1.0793999E+00    9.9389609E-03
  1.0801001E+00    9.9389609E-03
  1.0807000E+00    9.9389609E-03
  1.0814000E+00    9.9389609E-03
  1.0820000E+00    9.9389609E-03
  1.0826000E+00    9.9389609E-03
  1.0833000E+00    9.9389609E-03
  1.0839000E+00    9.9389609E-03
  1.0846000E+00    1.1889610E-02
  1.0852000E+00    1.1889610E-02
  1.0858001E+00    1.3840260E-02
  1.0865000E+00    1.3840260E-02
  1.0871000E+00    1.5789611E-02
  1.0878000E+00    1.5789611E-02
  1.0884000E+00    1.5789611E-02
  1.0890000E+00    1.7740261E-02
  1.0897000E+00    1.7740261E-02
  1.0903000E+00    1.9690908E-02
  1.0910000E+00    1.9690908E-02
  1.0915999E+00    2.1640260E-02
  1.0923001E+00    2.3590909E-02
  1.0929000E+00    2.7490910E-02
  1.0935000E+00    2.9441558E-02
  1.0942000E+00    3.3341561E-02
  1.0948000E+00    3.5292208E-02
  1.0955000E+00    3.9192207E-02
  1.0961000E+00    4.1142859E-02
  1.0967000E+00    4.3093506E-02
  1.0974000E+00    4.6993505E-02
  1.0980000E+00    5.0893508E-02
  1.0987000E+00    5.2844152E-02
  1.0993000E+00    5.6744155E-02
  1.0999000E+00    6.0644157E-02
  1.1006000E+00    6.4545453E-02
  1.1012000E+00    6.6494808E-02
  1.1019000E+00    7.2345458E-02
  1.1025000E+00    8.0146752E-02
  1.1030999E+00    8.5997403E-02
  1.1038001E+00    9.3797408E-02
  1.1044000E+00    9.9648051E-02
  1.1051000E+00    1.0744935E-01
  1.1057000E+00    1.1134935E-01
  1.1063000E+00    1.1915065E-01
  1.1070000E+00    1.2500130E-01
  1.1076000E+00    1.3280131E-01
  1.1083000E+00    1.3475195E-01
  1.1089000E+00    1.5425454E-01
  1.1095001E+00    1.6595455E-01
  1.1102000E+00    1.7765585E-01
  1.1108000E+00    1.8740779E-01
  1.1115000E+00    1.9910909E-01
  1.1121000E+00    2.0885973E-01
  1.1127000E+00    2.2056104E-01
  1.1134000E+00    2.3226233E-01
  1.1140000E+00    2.4396235E-01
  1.1147000E+00    2.5371426E-01
  1.1153001E+00    2.6541558E-01
  1.1159000E+00    2.8101689E-01
  1.1166000E+00    2.9661816E-01
  1.1172000E+00    3.1221947E-01
  1.1179000E+00    3.2977143E-01
  1.1185000E+00    3.4147272E-01
  1.1191000E+00    3.3172208E-01
  1.1198000E+00    3.6877534E-01
  1.1204000E+00    3.8242728E-01
  1.1210999E+00    3.9607790E-01
  1.1217000E+00    4.0777922E-01
  1.1223000E+00    4.2143115E-01
  1.1230000E+00    4.3508184E-01
  1.1236000E+00    4.4678313E-01
  1.1243000E+00    4.6043506E-01
  1.1249000E+00    4.7018573E-01
  1.1255000E+00    4.6238440E-01
  1.1262000E+00    4.8904029E-01
  1.1267999E+00    4.9879089E-01
  1.1275001E+00    5.1049221E-01
  1.1281000E+00    5.2024287E-01
  1.1287000E+00    5.3194416E-01
  1.1294000E+00    5.4559606E-01
  1.1300000E+00    5.5924678E-01
  1.1307000E+00    5.7094806E-01
  1.1313000E+00    5.8459997E-01
  1.1319000E+00    5.9240127E-01
  1.1325999E+00    6.0020131E-01
  1.1332000E+00    6.0800260E-01
  1.1339000E+00    6.1580265E-01
  1.1345000E+00    6.2555456E-01
  1.1351000E+00    6.3335454E-01
  1.1358000E+00    6.4115584E-01
  1.1364000E+00    6.4895588E-01
  1.1371000E+00    6.5675718E-01
  1.1377000E+00    6.5675718E-01
  1.1382999E+00    6.6650778E-01
  1.1390001E+00    6.7235845E-01
  1.1396000E+00    6.7820907E-01
  1.1403000E+00    6.8405974E-01
  1.1409000E+00    6.8795973E-01
  1.1415000E+00    6.9186103E-01
  1.1422000E+00    6.9771171E-01
  1.1428000E+00    6.9966108E-01
  1.1435000E+00    7.0356238E-01
  1.1441000E+00    7.1136230E-01
  1.1447001E+00    7.1526235E-01
  1.1454000E+00    7.1721298E-01
  1.1460000E+00    7.2111297E-01
  1.1467000E+00    7.2501427E-01
  1.1473000E+00    7.2501427E-01
  1.1479000E+00    7.3086494E-01
  1.1486000E+00    7.3476493E-01
  1.1492000E+00    7.3671561E-01
  1.1499000E+00    7.4061561E-01
  1.1505001E+00    7.4256623E-01
  1.1511000E+00    7.4451560E-01
  1.1518000E+00    7.4841690E-01
  1.1524000E+00    7.5036621E-01
  1.1531000E+00    7.5231683E-01
  1.1537000E+00    7.5621688E-01
  1.1543000E+00    7.5816751E-01
  1.1550000E+00    7.6011688E-01
  1.1556000E+00    7.6401818E-01
  1.1562999E+00    7.6596755E-01
  1.1569000E+00    7.6791817E-01
  1.1575000E+00    7.7181816E-01
  1.1582000E+00    7.7376884E-01
  1.1588000E+00    7.7571946E-01
  1.1595000E+00    7.7961951E-01
  1.1601000E+00    7.8157014E-01
  1.1607000E+00    7.8351951E-01
  1.1614000E+00    7.8547013E-01
  1.1619999E+00    7.8742081E-01
  1.1627001E+00    7.8742081E-01
  1.1633000E+00    7.9132080E-01
  1.1639000E+00    7.9327011E-01
  1.1646000E+00    7.9522073E-01
  1.1652000E+00    7.9717141E-01
  1.1659000E+00    7.9912078E-01
  1.1665000E+00    7.9912078E-01
  1.1671000E+00    8.0107141E-01
  1.1677999E+00    8.0302209E-01
  1.1684000E+00    8.0302209E-01
  1.1691000E+00    8.0692208E-01
  1.1697000E+00    8.0692208E-01
  1.1703000E+00    8.0887270E-01
  1.1710000E+00    8.1082207E-01
  1.1716000E+00    8.1277275E-01
  1.1723000E+00    8.1277275E-01
  1.1729000E+00    8.1472337E-01
  1.1734999E+00    8.1667274E-01
  1.1742001E+00    8.1667274E-01
  1.1748000E+00    8.1862336E-01
  1.1755000E+00    8.1862336E-01
  1.1761000E+00    8.1862336E-01
  1.1768000E+00    8.1862336E-01
  1.1774000E+00    8.1862336E-01
  1.1780000E+00    8.1862336E-01
  1.1787000E+00    8.1862336E-01
  1.1793000E+00    8.1862336E-01
  1.1799999E+00    8.1862336E-01
  1.1806000E+00    8.1862336E-01
  1.1812000E+00    8.2057405E-01
  1.1819000E+00    8.2057405E-01
  1.1825000E+00    8.2057405E-01
  1.1832000E+00    8.2057405E-01
  1.1838000E+00    8.2057405E-01
  1.1844000E+00    8.2057405E-01
  1.1851000E+00    8.2057405E-01
  1.1857001E+00    8.2057405E-01
  1.1864001E+00    8.2057405E-01
  1.1870000E+00    8.2057405E-01
  1.1876000E+00    8.2057405E-01
  1.1883000E+00    8.2057405E-01
  1.1889000E+00    8.2057405E-01
