# wave[microns]    norm_trans
  7.0910382E-01    9.9950266E-01
  7.4628335E-01    9.9921960E-01
  7.7346778E-01    9.9970567E-01
  7.9365641E-01    9.9990153E-01
  8.0644923E-01    1.0000000E+00
  8.1844354E-01    9.9855679E-01
  8.3323681E-01    9.9653572E-01
  8.4763199E-01    9.9191338E-01
  8.6402601E-01    9.8729151E-01
  8.7822020E-01    9.8440337E-01
  8.8921559E-01    9.8218912E-01
  8.9881206E-01    9.7978210E-01
  9.1200596E-01    9.7795355E-01
  9.2879820E-01    9.7564393E-01
  9.4718921E-01    9.7381628E-01
  9.6877825E-01    9.7227818E-01
  9.8776913E-01    9.7016168E-01
  9.9911284E-01    9.1644982E-04
  1.0019619E+00    9.6939313E-01
  1.0061098E+00    7.0904620E-04
  1.0129564E+00    9.6852785E-01
  1.0143172E+00    1.6545051E-03
  1.0161561E+00    9.6640873E-01
  1.0207388E+00    4.1442132E-03
  1.0265931E+00    1.0197559E-02
  1.0300742E+00    1.9144241E-02
  1.0337633E+00    2.8957063E-02
  1.0366523E+00    3.8771622E-02
  1.0397353E+00    4.7911733E-02
  1.0410309E+00    5.8403626E-02
  1.0427132E+00    6.7450441E-02
  1.0446051E+00    7.7555962E-02
  1.0462971E+00    8.7661870E-02
  1.0475848E+00    9.7287238E-02
  1.0490717E+00    1.0681585E-01
  1.0499594E+00    1.1644208E-01
  1.0508435E+00    1.2568310E-01
  1.0511372E+00    9.6554714E-01
  1.0527284E+00    1.3501836E-01
  1.0541993E+00    1.4281403E-01
  1.0573785E+00    1.4059281E-01
  1.0593300E+00    1.3529325E-01
  1.0626432E+00    1.2585069E-01
  1.0642402E+00    1.2555848E-01
  1.0656514E+00    1.2680714E-01
  1.0673248E+00    1.3489115E-01
  1.0698149E+00    1.4480285E-01
  1.0707045E+00    1.5462156E-01
  1.0713860E+00    1.6357432E-01
  1.0724747E+00    1.7329635E-01
  1.0736555E+00    1.9312766E-01
  1.0737668E+00    1.8340313E-01
  1.0753431E+00    2.0275217E-01
  1.0760275E+00    2.1199366E-01
  1.0765241E+00    9.6391326E-01
  1.0769171E+00    2.2181246E-01
  1.0780047E+00    2.3143822E-01
  1.0785786E+00    2.5050062E-01
  1.0788708E+00    2.6060945E-01
  1.0792940E+00    2.4125615E-01
  1.0797578E+00    2.7013940E-01
  1.0806437E+00    2.7957296E-01
  1.0809333E+00    2.8939304E-01
  1.0821126E+00    3.0903187E-01
  1.0822237E+00    2.9930723E-01
  1.0830003E+00    3.1865799E-01
  1.0842879E+00    3.2828337E-01
  1.0849791E+00    3.3829513E-01
  1.0870254E+00    3.4339365E-01
  1.0882392E+00    3.4493154E-01
  1.0936021E+00    3.4097275E-01
  1.0980392E+00    3.4510338E-01
  1.0988865E+00    3.5030082E-01
  1.1001469E+00    3.5694146E-01
  1.1008329E+00    3.6637557E-01
  1.1019242E+00    3.7638640E-01
  1.1023008E+00    3.9573807E-01
  1.1024084E+00    3.8562840E-01
  1.1041901E+00    4.0555474E-01
  1.1046735E+00    4.1470033E-01
  1.1053605E+00    4.2423066E-01
  1.1056517E+00    4.3424329E-01
  1.1061361E+00    4.4348517E-01
  1.1070256E+00    4.5330399E-01
  1.1075161E+00    4.6321982E-01
  1.1084020E+00    4.7265351E-01
  1.1089072E+00    9.6247327E-01
  1.1090864E+00    4.8189500E-01
  1.1095551E+00    5.1135594E-01
  1.1096716E+00    5.0220901E-01
  1.1097838E+00    4.9258071E-01
  1.1111369E+00    5.3128266E-01
  1.1114482E+00    5.2155775E-01
  1.1118194E+00    5.4033172E-01
  1.1127115E+00    5.5043924E-01
  1.1136029E+00    5.6045055E-01
  1.1138864E+00    5.6959659E-01
  1.1146646E+00    5.8914000E-01
  1.1149740E+00    5.7922244E-01
  1.1155497E+00    5.9847730E-01
  1.1160427E+00    6.0868210E-01
  1.1169279E+00    6.1801940E-01
  1.1170157E+00    6.2764728E-01
  1.1190981E+00    6.3669330E-01
  1.1201259E+00    6.3977206E-01
  1.1222957E+00    6.3649404E-01
  1.1232994E+00    9.6209031E-01
  1.1242162E+00    6.2782460E-01
  1.1247274E+00    6.1809921E-01
  1.1268381E+00    6.0837036E-01
  1.1285517E+00    5.9893119E-01
  1.1296582E+00    5.8872306E-01
  1.1315690E+00    5.7899469E-01
  1.1326836E+00    5.6965315E-01
  1.1361915E+00    5.5963254E-01
  1.1384910E+00    9.6209264E-01
  1.1387814E+00    5.5856794E-01
  1.1407925E+00    5.5981535E-01
  1.1458786E+00    5.6933635E-01
  1.1521636E+00    5.7875854E-01
  1.1541965E+00    5.8241290E-01
  1.1578213E+00    5.8519745E-01
  1.1638432E+00    5.8768797E-01
  1.1664764E+00    9.6074831E-01
  1.1678609E+00    5.8970129E-01
  1.1713041E+00    5.9450817E-01
  1.1729399E+00    5.9845221E-01
  1.1764290E+00    6.0826540E-01
  1.1789155E+00    6.1779195E-01
  1.1808038E+00    6.2751234E-01
  1.1826950E+00    6.3752145E-01
  1.1833827E+00    6.4714813E-01
  1.1850686E+00    6.5658003E-01
  1.1869544E+00    6.6601163E-01
  1.1884438E+00    6.7582905E-01
  1.1895289E+00    6.8516606E-01
  1.1908165E+00    6.9479132E-01
  1.1921051E+00    7.0451295E-01
  1.1937963E+00    7.1452260E-01
  1.1946865E+00    7.2443771E-01
  1.1961708E+00    7.3367745E-01
  1.1984565E+00    7.4310815E-01
  1.1997442E+00    7.5273353E-01
  1.2016307E+00    7.6226133E-01
  1.2018571E+00    9.6027237E-01
  1.2024721E+00    7.6678467E-01
  1.2044873E+00    7.6851356E-01
  1.2072729E+00    7.6696718E-01
  1.2090347E+00    7.6282334E-01
  1.2119461E+00    7.5318909E-01
  1.2138590E+00    7.4365330E-01
  1.2157661E+00    7.3353970E-01
  1.2176771E+00    7.2381133E-01
  1.2191836E+00    7.1360242E-01
  1.2192965E+00    7.0407033E-01
  1.2220063E+00    6.9424403E-01
  1.2225183E+00    6.8461478E-01
  1.2240345E+00    6.7546493E-01
  1.2259446E+00    6.6564029E-01
  1.2284579E+00    6.5619934E-01
  1.2296181E+00    6.5186429E-01
  1.2298421E+00    9.5960242E-01
  1.2303942E+00    6.4926314E-01
  1.2321745E+00    6.4714116E-01
  1.2341584E+00    6.4540386E-01
  1.2379752E+00    6.4732140E-01
  1.2396532E+00    6.5588689E-01
  1.2429476E+00    6.6627818E-01
  1.2454306E+00    6.7541969E-01
  1.2463210E+00    6.8533462E-01
  1.2478024E+00    6.9428563E-01
  1.2488321E+00    9.5873827E-01
  1.2508949E+00    7.0448482E-01
  1.2513871E+00    7.1459335E-01
  1.2542658E+00    7.2325242E-01
  1.2555571E+00    7.3326290E-01
  1.2576436E+00    7.4279028E-01
  1.2597021E+00    7.4923670E-01
  1.2613176E+00    7.5096643E-01
  1.2658842E+00    7.4739444E-01
  1.2674435E+00    7.4296212E-01
  1.2711558E+00    7.3342258E-01
  1.2724659E+00    7.2359914E-01
  1.2738181E+00    9.5874232E-01
  1.2747777E+00    7.1396613E-01
  1.2756903E+00    7.0443237E-01
  1.2776022E+00    6.9480026E-01
  1.2797111E+00    6.8487889E-01
  1.2808282E+00    6.7582613E-01
  1.2829338E+00    6.6551960E-01
  1.2838467E+00    6.5598589E-01
  1.2857575E+00    6.4625752E-01
  1.2886708E+00    6.3681579E-01
  1.2896094E+00    9.5855218E-01
  1.2908159E+00    6.3084185E-01
  1.2918007E+00    6.2920302E-01
