# wave[microns]    norm_trans
  1.7981545E+00    0.0000000E+00
  1.7984089E+00    0.0000000E+00
  1.8115797E+00    0.0000000E+00
  1.8276918E+00    0.0000000E+00
  1.8377964E+00    6.0351540E-05
  1.8505861E+00    1.1438158E-03
  1.8564680E+00    9.1650634E-04
  1.8610718E+00    1.0206898E-03
  1.8686150E+00    1.3160601E-04
  1.8719422E+00    1.5568055E-03
  1.8762928E+00    3.2006139E-03
  1.8835803E+00    2.3118604E-03
  1.8869077E+00    3.7370597E-03
  1.8913770E+00    0.0000000E+00
  1.8972641E+00    2.8444517E-03
  1.9030205E+00    3.9367266E-03
  1.9112072E+00    5.4657790E-03
  1.9178642E+00    9.8554725E-03
  1.9293839E+00    1.6218154E-02
  1.9374549E+00    2.4894020E-02
  1.9430979E+00    3.4562599E-02
  1.9474612E+00    4.3682951E-02
  1.9510721E+00    6.1600309E-02
  1.9542848E+00    7.0942022E-02
  1.9581466E+00    8.5890368E-02
  1.9585633E+00    1.0546090E-01
  1.9603728E+00    1.1678353E-01
  1.9625726E+00    1.3206382E-01
  1.9631064E+00    1.4525712E-01
  1.9649162E+00    1.5668966E-01
  1.9662230E+00    1.7329052E-01
  1.9672735E+00    1.8945186E-01
  1.9681979E+00    2.0671283E-01
  1.9697590E+00    2.2243363E-01
  1.9702936E+00    2.3606679E-01
  1.9722314E+00    2.4760915E-01
  1.9734600E+00    2.9345670E-01
  1.9736584E+00    2.5959188E-01
  1.9746344E+00    3.0730891E-01
  1.9754785E+00    2.7718163E-01
  1.9765849E+00    3.2643783E-01
  1.9777565E+00    3.3864072E-01
  1.9788098E+00    3.5645136E-01
  1.9788411E+00    3.7492293E-01
  1.9802792E+00    3.9350259E-01
  1.9806924E+00    4.1098416E-01
  1.9818823E+00    4.3396226E-01
  1.9828279E+00    4.6375751E-01
  1.9840215E+00    4.8893455E-01
  1.9858540E+00    5.1389092E-01
  1.9873804E+00    5.8447689E-01
  1.9879346E+00    5.3422904E-01
  1.9886138E+00    5.5775744E-01
  1.9910185E+00    6.1844689E-01
  1.9927343E+00    6.4989036E-01
  1.9944588E+00    6.8661147E-01
  1.9961689E+00    7.1464652E-01
  1.9992945E+00    7.4806744E-01
  2.0010002E+00    7.7357370E-01
  2.0046282E+00    8.0160642E-01
  2.0091512E+00    8.2952803E-01
  2.0146878E+00    8.5184091E-01
  2.0233030E+00    8.7986737E-01
  2.0313928E+00    8.9964825E-01
  2.0420434E+00    9.2129511E-01
  2.0580528E+00    9.3589836E-01
  2.0745649E+00    9.4533336E-01
  2.0784030E+00    9.4631803E-01
  2.0796785E+00    9.4444740E-01
  2.0837765E+00    9.4796050E-01
  2.0867317E+00    9.5620316E-01
  2.0899327E+00    9.5861793E-01
  2.0917072E+00    9.4937998E-01
  2.0918458E+00    9.5553708E-01
  2.0943983E+00    9.5267510E-01
  2.0984988E+00    9.5772767E-01
  2.1034944E+00    9.6255922E-01
  2.1120706E+00    9.6749628E-01
  2.1207685E+00    9.6902460E-01
  2.1221755E+00    9.6913284E-01
  2.1234624E+00    9.7396898E-01
  2.1251190E+00    9.7044855E-01
  2.1297171E+00    9.6725422E-01
  2.1302345E+00    9.7066200E-01
  2.1327903E+00    9.6966928E-01
  2.1372643E+00    9.6867412E-01
  2.1386654E+00    9.6548384E-01
  2.1405807E+00    9.6372223E-01
  2.1436524E+00    9.6525770E-01
  2.1456890E+00    9.5975757E-01
  2.1510603E+00    9.5997071E-01
  2.1537390E+00    9.5600921E-01
  2.1583390E+00    9.5391446E-01
  2.1593578E+00    9.5149416E-01
  2.1598666E+00    9.4984430E-01
  2.1628134E+00    9.5313907E-01
  2.1681788E+00    9.4994390E-01
  2.1706038E+00    9.4708216E-01
  2.1708627E+00    9.4906086E-01
  2.1749585E+00    9.5125479E-01
  2.1789205E+00    9.4993043E-01
  2.1818695E+00    9.5454460E-01
  2.1866052E+00    9.5717746E-01
  2.1883938E+00    9.5618558E-01
  2.1909621E+00    9.6244967E-01
  2.1972339E+00    9.6585023E-01
  2.2017236E+00    9.7409075E-01
  2.2046723E+00    9.7859514E-01
  2.2080047E+00    9.8309892E-01
