# wave[microns]    norm_trans
  1.2692000E+00    0.0000000E+00
  1.2692000E+00    0.0000000E+00
  1.2693000E+00    0.0000000E+00
  1.2693000E+00    0.0000000E+00
  1.2693000E+00    0.0000000E+00
  1.2694000E+00    0.0000000E+00
  1.2694000E+00    0.0000000E+00
  1.2694000E+00    0.0000000E+00
  1.2695000E+00    0.0000000E+00
  1.2695000E+00    0.0000000E+00
  1.2695000E+00    0.0000000E+00
  1.2696000E+00    0.0000000E+00
  1.2696000E+00    0.0000000E+00
  1.2696000E+00    0.0000000E+00
  1.2697001E+00    0.0000000E+00
  1.2697001E+00    0.0000000E+00
  1.2697001E+00    0.0000000E+00
  1.2697001E+00    0.0000000E+00
  1.2697999E+00    0.0000000E+00
  1.2697999E+00    0.0000000E+00
  1.2697999E+00    0.0000000E+00
  1.2699000E+00    0.0000000E+00
  1.2699000E+00    0.0000000E+00
  1.2699000E+00    0.0000000E+00
  1.2700000E+00    0.0000000E+00
  1.2700000E+00    0.0000000E+00
  1.2700000E+00    0.0000000E+00
  1.2701000E+00    0.0000000E+00
  1.2701000E+00    0.0000000E+00
  1.2701000E+00    0.0000000E+00
  1.2702000E+00    0.0000000E+00
  1.2702000E+00    0.0000000E+00
  1.2702000E+00    0.0000000E+00
  1.2703000E+00    5.0000002E-04
  1.2703000E+00    5.0000002E-04
  1.2703000E+00    1.6666667E-03
  1.2704000E+00    1.6666667E-03
  1.2704000E+00    4.0000002E-03
  1.2704000E+00    4.0000002E-03
  1.2704999E+00    5.1666666E-03
  1.2704999E+00    5.1666666E-03
  1.2704999E+00    5.1666666E-03
  1.2706000E+00    6.1666663E-03
  1.2706000E+00    6.1666663E-03
  1.2706000E+00    6.1666663E-03
  1.2707000E+00    6.1666663E-03
  1.2707000E+00    6.1666663E-03
  1.2707000E+00    6.1666663E-03
  1.2708000E+00    6.1666663E-03
  1.2708000E+00    6.1666663E-03
  1.2708000E+00    6.1666663E-03
  1.2708000E+00    6.1666663E-03
  1.2709000E+00    6.1666663E-03
  1.2709000E+00    5.1666666E-03
  1.2709000E+00    5.1666666E-03
  1.2710000E+00    4.0000002E-03
  1.2710000E+00    4.0000002E-03
  1.2710000E+00    4.0000002E-03
  1.2711000E+00    2.8333333E-03
  1.2711000E+00    2.8333333E-03
  1.2711000E+00    2.8333333E-03
  1.2711999E+00    2.8333333E-03
  1.2711999E+00    2.8333333E-03
  1.2711999E+00    2.8333333E-03
  1.2713000E+00    4.0000002E-03
  1.2713000E+00    4.0000002E-03
  1.2713000E+00    5.1666666E-03
