# wave[microns]    norm_trans
  9.0000004E-01    3.7267499E-04
  9.0050006E-01    4.6302046E-04
  9.0100002E-01    2.7103638E-04
  9.0150005E-01    8.2440226E-04
  9.0200007E-01    4.2914090E-04
  9.0250003E-01    8.4698870E-04
  9.0300006E-01    2.2586364E-05
  9.0350002E-01    4.8560684E-04
  9.0400004E-01    4.1784774E-04
  9.0450007E-01    1.4681136E-04
  9.0500003E-01    5.9853861E-04
  9.0550005E-01    8.2440226E-04
  9.0600002E-01    9.3733403E-04
  9.0650004E-01    7.4534997E-04
  9.0700006E-01    6.0983183E-04
  9.0750003E-01    7.6793641E-04
  9.0800005E-01    7.5664319E-04
  9.0850002E-01    7.2276365E-04
  9.0900004E-01    7.2276365E-04
  9.0950006E-01    1.9198410E-04
  9.1000003E-01    3.1620910E-04
  9.1050005E-01    7.6793641E-04
  9.1100007E-01    3.8396820E-04
  9.1150004E-01    1.1067318E-03
  9.1200006E-01    8.9216139E-04
  9.1250002E-01    9.1474771E-04
  9.1300005E-01    7.9052272E-04
  9.1350007E-01    5.3077954E-04
  9.1400003E-01    1.0841455E-03
  9.1450006E-01    7.3405681E-04
  9.1500002E-01    6.2112499E-04
  9.1550004E-01    1.0954387E-03
  9.1600007E-01    6.5500452E-04
  9.1650003E-01    5.3077954E-04
  9.1700006E-01    6.3241820E-04
  9.1750002E-01    6.4371136E-04
  9.1800004E-01    9.9380000E-04
  9.1850007E-01    6.7759090E-04
  9.1900003E-01    3.8396820E-04
  9.1950005E-01    9.3733403E-04
  9.2000002E-01    9.1474771E-04
  9.2050004E-01    9.1474771E-04
  9.2100006E-01    1.1744909E-03
  9.2150003E-01    1.1067318E-03
  9.2200005E-01    8.8086817E-04
  9.2250001E-01    8.1310904E-04
  9.2300004E-01    7.7922951E-04
  9.2350006E-01    1.1519046E-03
  9.2400002E-01    7.3405681E-04
  9.2450005E-01    1.1180250E-03
  9.2500007E-01    7.0017728E-04
  9.2550004E-01    4.9690000E-04
  9.2600006E-01    6.2112499E-04
  9.2650002E-01    5.1948638E-04
  9.2700005E-01    1.2422500E-04
  9.2750007E-01    6.3241820E-04
  9.2800003E-01    7.7922951E-04
  9.2850006E-01    4.9690000E-04
  9.2900002E-01    8.1310904E-04
  9.2950004E-01    5.7595229E-04
  9.3000007E-01    5.7595229E-04
  9.3050003E-01    7.0017728E-04
  9.3100005E-01    5.3077954E-04
  9.3150002E-01    3.8396820E-04
  9.3200004E-01    1.2422500E-03
  9.3250006E-01    7.2276365E-04
  9.3300003E-01    6.8888412E-04
  9.3350005E-01    9.0345455E-04
  9.3400002E-01    1.1067318E-03
  9.3450004E-01    1.6262181E-03
  9.3500006E-01    1.2083704E-03
  9.3550003E-01    1.2196637E-03
  9.3600005E-01    1.4681136E-03
  9.3650007E-01    1.1293181E-03
  9.3700004E-01    1.1293181E-03
  9.3750006E-01    1.0502660E-03
  9.3800002E-01    9.7121368E-04
  9.3850005E-01    2.1457046E-03
  9.3900007E-01    1.9311341E-03
  9.3950003E-01    2.6990704E-03
  9.4000006E-01    1.9424274E-03
  9.4050002E-01    2.3828612E-03
  9.4100004E-01    2.4844999E-03
  9.4150007E-01    3.1620909E-03
  9.4200003E-01    3.4444206E-03
  9.4250005E-01    3.4783001E-03
  9.4300002E-01    3.8735613E-03
  9.4350004E-01    4.0090797E-03
  9.4400007E-01    4.5511522E-03
  9.4450003E-01    5.3077955E-03
  9.4500005E-01    5.7708155E-03
  9.4550002E-01    6.2677162E-03
  9.4600004E-01    6.8436684E-03
  9.4650006E-01    7.5664320E-03
  9.4700003E-01    8.3230752E-03
  9.4750005E-01    8.9329071E-03
  9.4800007E-01    9.9267066E-03
  9.4850004E-01    1.1248009E-02
  9.4900006E-01    1.2524138E-02
  9.4950002E-01    1.4037426E-02
  9.5000005E-01    1.5787868E-02
  9.5050007E-01    1.7865814E-02
  9.5100003E-01    2.0553591E-02
  9.5150006E-01    2.3263954E-02
  9.5200002E-01    2.5895266E-02
  9.5250005E-01    2.9226756E-02
