# wave[microns]    norm_trans
  2.2720000E-01    0.0000000E+00
  2.2780000E-01    0.0000000E+00
  2.2839999E-01    0.0000000E+00
  2.2899999E-01    0.0000000E+00
  2.2960000E-01    0.0000000E+00
  2.3019999E-01    0.0000000E+00
  2.3079999E-01    0.0000000E+00
  2.3140000E-01    0.0000000E+00
  2.3199999E-01    0.0000000E+00
  2.3259999E-01    0.0000000E+00
  2.3320000E-01    0.0000000E+00
  2.3379999E-01    0.0000000E+00
  2.3439999E-01    0.0000000E+00
  2.3500000E-01    0.0000000E+00
  2.3559999E-01    0.0000000E+00
  2.3619999E-01    0.0000000E+00
  2.3680000E-01    0.0000000E+00
  2.3740000E-01    0.0000000E+00
  2.3799999E-01    0.0000000E+00
  2.3860000E-01    0.0000000E+00
  2.3920000E-01    0.0000000E+00
  2.3979999E-01    0.0000000E+00
  2.4039999E-01    0.0000000E+00
  2.4100000E-01    0.0000000E+00
  2.4159999E-01    0.0000000E+00
  2.4219999E-01    0.0000000E+00
  2.4280000E-01    0.0000000E+00
  2.4339999E-01    0.0000000E+00
  2.4399999E-01    0.0000000E+00
  2.4460000E-01    0.0000000E+00
  2.4519999E-01    0.0000000E+00
  2.4579999E-01    0.0000000E+00
  2.4640000E-01    0.0000000E+00
  2.4699999E-01    0.0000000E+00
  2.4759999E-01    0.0000000E+00
  2.4820000E-01    0.0000000E+00
  2.4879999E-01    0.0000000E+00
  2.4939999E-01    0.0000000E+00
  2.5000000E-01    0.0000000E+00
  2.5059998E-01    0.0000000E+00
  2.5119999E-01    0.0000000E+00
  2.5180000E-01    0.0000000E+00
  2.5239998E-01    0.0000000E+00
  2.5299999E-01    0.0000000E+00
  2.5360000E-01    0.0000000E+00
  2.5419998E-01    0.0000000E+00
  2.5479999E-01    0.0000000E+00
  2.5540000E-01    0.0000000E+00
  2.5599998E-01    0.0000000E+00
  2.5659999E-01    0.0000000E+00
  2.5720000E-01    0.0000000E+00
  2.5779998E-01    0.0000000E+00
  2.5839999E-01    0.0000000E+00
  2.5900000E-01    0.0000000E+00
  2.5959998E-01    0.0000000E+00
  2.6019999E-01    0.0000000E+00
  2.6080000E-01    0.0000000E+00
  2.6139998E-01    0.0000000E+00
  2.6199999E-01    0.0000000E+00
  2.6260000E-01    0.0000000E+00
  2.6319999E-01    0.0000000E+00
  2.6380000E-01    0.0000000E+00
  2.6440001E-01    0.0000000E+00
  2.6499999E-01    0.0000000E+00
  2.6560000E-01    0.0000000E+00
  2.6620001E-01    0.0000000E+00
  2.6679999E-01    0.0000000E+00
  2.6740000E-01    0.0000000E+00
  2.6800001E-01    0.0000000E+00
  2.6859999E-01    0.0000000E+00
  2.6920000E-01    0.0000000E+00
  2.6980001E-01    0.0000000E+00
