# wave[microns]    norm_trans
  5.6721002E-01    0.0000000E+00
  5.6781000E-01    0.0000000E+00
  5.6840998E-01    0.0000000E+00
  5.6901002E-01    0.0000000E+00
  5.6961000E-01    0.0000000E+00
  5.7021999E-01    0.0000000E+00
  5.7082003E-01    0.0000000E+00
  5.7142001E-01    0.0000000E+00
  5.7201999E-01    0.0000000E+00
  5.7262003E-01    0.0000000E+00
  5.7322001E-01    0.0000000E+00
  5.7381999E-01    0.0000000E+00
  5.7441998E-01    0.0000000E+00
  5.7502002E-01    0.0000000E+00
  5.7562000E-01    0.0000000E+00
  5.7621998E-01    0.0000000E+00
  5.7682002E-01    0.0000000E+00
  5.7742000E-01    0.0000000E+00
  5.7801998E-01    0.0000000E+00
  5.7862002E-01    0.0000000E+00
  5.7922995E-01    0.0000000E+00
  5.7982999E-01    0.0000000E+00
  5.8042997E-01    0.0000000E+00
  5.8102995E-01    0.0000000E+00
  5.8162999E-01    0.0000000E+00
  5.8222997E-01    0.0000000E+00
  5.8282995E-01    0.0000000E+00
  5.8342999E-01    0.0000000E+00
  5.8402997E-01    0.0000000E+00
  5.8462995E-01    0.0000000E+00
  5.8522999E-01    0.0000000E+00
  5.8582997E-01    0.0000000E+00
  5.8642995E-01    0.0000000E+00
  5.8702999E-01    0.0000000E+00
  5.8762997E-01    0.0000000E+00
  5.8823997E-01    0.0000000E+00
  5.8883995E-01    0.0000000E+00
  5.8943999E-01    0.0000000E+00
  5.9003997E-01    0.0000000E+00
  5.9063995E-01    0.0000000E+00
  5.9123999E-01    0.0000000E+00
  5.9183997E-01    0.0000000E+00
  5.9243995E-01    0.0000000E+00
  5.9303999E-01    0.0000000E+00
  5.9363997E-01    0.0000000E+00
  5.9423995E-01    0.0000000E+00
  5.9483999E-01    0.0000000E+00
  5.9543997E-01    0.0000000E+00
  5.9603995E-01    0.0000000E+00
  5.9663999E-01    0.0000000E+00
  5.9724998E-01    0.0000000E+00
  5.9784997E-01    0.0000000E+00
  5.9845001E-01    0.0000000E+00
  5.9904999E-01    0.0000000E+00
  5.9964997E-01    0.0000000E+00
  6.0025001E-01    0.0000000E+00
  6.0084999E-01    0.0000000E+00
  6.0144997E-01    0.0000000E+00
  6.0205001E-01    0.0000000E+00
  6.0264999E-01    0.0000000E+00
  6.0324997E-01    0.0000000E+00
