# wave[microns]    norm_trans
  3.2721001E-01    0.0000000E+00
  3.2780999E-01    0.0000000E+00
  3.2841000E-01    0.0000000E+00
  3.2901001E-01    0.0000000E+00
  3.2960999E-01    0.0000000E+00
  3.3021998E-01    0.0000000E+00
  3.3081999E-01    0.0000000E+00
  3.3141997E-01    0.0000000E+00
  3.3201998E-01    0.0000000E+00
  3.3261999E-01    0.0000000E+00
  3.3321998E-01    0.0000000E+00
  3.3381999E-01    0.0000000E+00
  3.3442000E-01    0.0000000E+00
  3.3501998E-01    0.0000000E+00
  3.3561999E-01    0.0000000E+00
  3.3622000E-01    0.0000000E+00
  3.3681998E-01    0.0000000E+00
  3.3741999E-01    0.0000000E+00
  3.3803001E-01    0.0000000E+00
  3.3862999E-01    0.0000000E+00
  3.3923000E-01    0.0000000E+00
  3.3983001E-01    0.0000000E+00
  3.4042999E-01    0.0000000E+00
  3.4103000E-01    0.0000000E+00
  3.4162998E-01    0.0000000E+00
  3.4222999E-01    0.0000000E+00
  3.4283000E-01    0.0000000E+00
  3.4342998E-01    0.0000000E+00
  3.4402999E-01    0.0000000E+00
  3.4463000E-01    0.0000000E+00
  3.4522998E-01    0.0000000E+00
  3.4583998E-01    0.0000000E+00
  3.4643999E-01    0.0000000E+00
  3.4703997E-01    0.0000000E+00
  3.4763998E-01    0.0000000E+00
  3.4823999E-01    0.0000000E+00
  3.4883997E-01    0.0000000E+00
  3.4943998E-01    0.0000000E+00
  3.5003999E-01    0.0000000E+00
  3.5063997E-01    0.0000000E+00
  3.5123998E-01    0.0000000E+00
  3.5183999E-01    0.0000000E+00
  3.5243997E-01    0.0000000E+00
  3.5303998E-01    0.0000000E+00
  3.5363999E-01    0.0000000E+00
  3.5424998E-01    0.0000000E+00
  3.5484999E-01    0.0000000E+00
  3.5545000E-01    0.0000000E+00
  3.5604998E-01    0.0000000E+00
  3.5664999E-01    0.0000000E+00
  3.5725001E-01    0.0000000E+00
  3.5784999E-01    0.0000000E+00
  3.5845000E-01    0.0000000E+00
  3.5905001E-01    0.0000000E+00
  3.5964999E-01    0.0000000E+00
  3.6025000E-01    0.0000000E+00
  3.6084998E-01    0.0000000E+00
  3.6144999E-01    0.0000000E+00
  3.6206001E-01    0.0000000E+00
  3.6265999E-01    0.0000000E+00
  3.6326000E-01    0.0000000E+00
  3.6386001E-01    0.0000000E+00
  3.6445999E-01    0.0000000E+00
  3.6506000E-01    0.0000000E+00
  3.6566001E-01    0.0000000E+00
  3.6625999E-01    0.0000000E+00
  3.6686000E-01    0.0000000E+00
  3.6746001E-01    0.0000000E+00
  3.6805999E-01    0.0000000E+00
  3.6866000E-01    0.0000000E+00
  3.6926001E-01    0.0000000E+00
  3.6986998E-01    0.0000000E+00
  3.7046999E-01    0.0000000E+00
  3.7107000E-01    0.0000000E+00
  3.7166998E-01    0.0000000E+00
  3.7226999E-01    0.0000000E+00
  3.7287000E-01    0.0000000E+00
  3.7346998E-01    0.0000000E+00
  3.7406999E-01    0.0000000E+00
  3.7467000E-01    0.0000000E+00
  3.7526998E-01    0.0000000E+00
  3.7586999E-01    0.0000000E+00
  3.7647000E-01    0.0000000E+00
  3.7706998E-01    0.0000000E+00
  3.7766999E-01    0.0000000E+00
  3.7827998E-01    0.0000000E+00
  3.7887999E-01    0.0000000E+00
  3.7948000E-01    0.0000000E+00
  3.8007998E-01    0.0000000E+00
  3.8067999E-01    0.0000000E+00
  3.8128000E-01    0.0000000E+00
  3.8187999E-01    0.0000000E+00
  3.8248000E-01    0.0000000E+00
  3.8308001E-01    0.0000000E+00
  3.8367999E-01    0.0000000E+00
  3.8428000E-01    0.0000000E+00
  3.8488001E-01    0.0000000E+00
  3.8547999E-01    0.0000000E+00
