# wave[microns]    norm_trans
  2.6359999E-01    0.0000000E+00
  2.6389998E-01    0.0000000E+00
  2.6420000E-01    0.0000000E+00
  2.6449999E-01    0.0000000E+00
  2.6479998E-01    0.0000000E+00
  2.6510000E-01    0.0000000E+00
  2.6539999E-01    0.0000000E+00
  2.6569998E-01    0.0000000E+00
  2.6600000E-01    0.0000000E+00
  2.6629999E-01    0.0000000E+00
  2.6659998E-01    0.0000000E+00
  2.6690000E-01    0.0000000E+00
  2.6719999E-01    0.0000000E+00
  2.6749998E-01    0.0000000E+00
  2.6780000E-01    0.0000000E+00
  2.6809999E-01    0.0000000E+00
  2.6839998E-01    0.0000000E+00
  2.6870000E-01    0.0000000E+00
  2.6899999E-01    0.0000000E+00
  2.6929998E-01    0.0000000E+00
  2.6960000E-01    0.0000000E+00
  2.6989999E-01    0.0000000E+00
  2.7019998E-01    0.0000000E+00
  2.7050000E-01    0.0000000E+00
  2.7079999E-01    0.0000000E+00
  2.7109998E-01    0.0000000E+00
  2.7140000E-01    0.0000000E+00
  2.7169999E-01    0.0000000E+00
  2.7199998E-01    0.0000000E+00
  2.7230000E-01    0.0000000E+00
  2.7260000E-01    0.0000000E+00
  2.7289999E-01    0.0000000E+00
  2.7320001E-01    0.0000000E+00
  2.7350000E-01    0.0000000E+00
  2.7379999E-01    0.0000000E+00
  2.7410001E-01    0.0000000E+00
  2.7440000E-01    0.0000000E+00
  2.7469999E-01    0.0000000E+00
  2.7500001E-01    0.0000000E+00
  2.7530000E-01    0.0000000E+00
  2.7559999E-01    0.0000000E+00
  2.7590001E-01    0.0000000E+00
  2.7620000E-01    0.0000000E+00
  2.7649999E-01    0.0000000E+00
  2.7680001E-01    0.0000000E+00
  2.7710000E-01    0.0000000E+00
  2.7739999E-01    0.0000000E+00
  2.7770001E-01    0.0000000E+00
  2.7800000E-01    0.0000000E+00
  2.7829999E-01    0.0000000E+00
  2.7860001E-01    0.0000000E+00
  2.7890000E-01    0.0000000E+00
  2.7919999E-01    0.0000000E+00
  2.7950001E-01    0.0000000E+00
  2.7980000E-01    0.0000000E+00
  2.8009999E-01    0.0000000E+00
  2.8039998E-01    0.0000000E+00
  2.8070000E-01    0.0000000E+00
  2.8099999E-01    0.0000000E+00
  2.8129998E-01    0.0000000E+00
  2.8160000E-01    0.0000000E+00
  2.8189999E-01    0.0000000E+00
  2.8219998E-01    0.0000000E+00
  2.8250000E-01    0.0000000E+00
  2.8279999E-01    0.0000000E+00
  2.8309998E-01    0.0000000E+00
  2.8340000E-01    0.0000000E+00
  2.8369999E-01    0.0000000E+00
  2.8399998E-01    0.0000000E+00
  2.8430000E-01    0.0000000E+00
  2.8459999E-01    0.0000000E+00
  2.8489998E-01    0.0000000E+00
  2.8520000E-01    0.0000000E+00
  2.8549999E-01    0.0000000E+00
  2.8579998E-01    0.0000000E+00
  2.8610000E-01    0.0000000E+00
  2.8639999E-01    0.0000000E+00
  2.8669998E-01    0.0000000E+00
  2.8700000E-01    0.0000000E+00
  2.8729999E-01    0.0000000E+00
  2.8759998E-01    0.0000000E+00
  2.8790000E-01    0.0000000E+00
  2.8819999E-01    0.0000000E+00
  2.8849998E-01    0.0000000E+00
  2.8880000E-01    0.0000000E+00
  2.8909999E-01    0.0000000E+00
  2.8939998E-01    0.0000000E+00
  2.8970000E-01    0.0000000E+00
  2.8999999E-01    0.0000000E+00
  2.9029998E-01    0.0000000E+00
  2.9060000E-01    0.0000000E+00
  2.9089999E-01    0.0000000E+00
  2.9119998E-01    0.0000000E+00
  2.9150000E-01    0.0000000E+00
  2.9179999E-01    0.0000000E+00
  2.9209998E-01    0.0000000E+00
  2.9240000E-01    0.0000000E+00
  2.9269999E-01    0.0000000E+00
  2.9299998E-01    0.0000000E+00
  2.9330000E-01    0.0000000E+00
  2.9359999E-01    0.0000000E+00
  2.9389998E-01    0.0000000E+00
  2.9420000E-01    0.0000000E+00
  2.9449999E-01    0.0000000E+00
  2.9479998E-01    0.0000000E+00
  2.9510000E-01    0.0000000E+00
  2.9539999E-01    0.0000000E+00
