# wave[microns]    norm_trans
  5.9480000E-01    0.0000000E+00
  5.9520000E-01    0.0000000E+00
  5.9560001E-01    0.0000000E+00
  5.9599996E-01    0.0000000E+00
  5.9639996E-01    0.0000000E+00
  5.9679997E-01    0.0000000E+00
  5.9719998E-01    0.0000000E+00
  5.9759998E-01    0.0000000E+00
  5.9799999E-01    0.0000000E+00
  5.9840000E-01    0.0000000E+00
  5.9880000E-01    0.0000000E+00
  5.9920001E-01    0.0000000E+00
  5.9959996E-01    0.0000000E+00
  5.9999996E-01    0.0000000E+00
  6.0039997E-01    0.0000000E+00
  6.0079998E-01    0.0000000E+00
  6.0119998E-01    0.0000000E+00
  6.0159999E-01    0.0000000E+00
  6.0200000E-01    0.0000000E+00
  6.0240000E-01    0.0000000E+00
  6.0280001E-01    0.0000000E+00
  6.0319996E-01    0.0000000E+00
  6.0359997E-01    0.0000000E+00
  6.0399997E-01    0.0000000E+00
  6.0439998E-01    0.0000000E+00
  6.0479999E-01    0.0000000E+00
  6.0519999E-01    0.0000000E+00
  6.0560000E-01    0.0000000E+00
  6.0600001E-01    0.0000000E+00
  6.0640001E-01    0.0000000E+00
  6.0679996E-01    0.0000000E+00
  6.0719997E-01    0.0000000E+00
  6.0759997E-01    0.0000000E+00
  6.0799998E-01    0.0000000E+00
  6.0839999E-01    0.0000000E+00
  6.0879999E-01    0.0000000E+00
  6.0920000E-01    0.0000000E+00
  6.0960001E-01    0.0000000E+00
  6.1000001E-01    0.0000000E+00
  6.1039996E-01    0.0000000E+00
  6.1079997E-01    0.0000000E+00
  6.1119998E-01    0.0000000E+00
  6.1159998E-01    0.0000000E+00
  6.1199999E-01    0.0000000E+00
  6.1240000E-01    0.0000000E+00
  6.1280000E-01    0.0000000E+00
  6.1320001E-01    0.0000000E+00
  6.1359996E-01    0.0000000E+00
  6.1399996E-01    0.0000000E+00
  6.1439997E-01    0.0000000E+00
  6.1479998E-01    0.0000000E+00
  6.1519998E-01    0.0000000E+00
  6.1559999E-01    0.0000000E+00
  6.1600000E-01    0.0000000E+00
  6.1640000E-01    0.0000000E+00
  6.1680001E-01    0.0000000E+00
  6.1719996E-01    0.0000000E+00
  6.1759996E-01    0.0000000E+00
  6.1799997E-01    0.0000000E+00
  6.1839998E-01    0.0000000E+00
