# wave[microns]    norm_trans
  3.8570002E-01    0.0000000E+00
  3.8607001E-01    3.8898736E-03
  3.8643003E-01    5.0784461E-03
  3.8680002E-01    4.7002640E-03
  3.8716003E-01    3.8574578E-03
  3.8753003E-01    3.3820288E-03
  3.8790002E-01    3.0902885E-03
  3.8826004E-01    4.0303413E-03
  3.8863003E-01    3.8250424E-03
  3.8899001E-01    6.0293041E-03
  3.8936001E-01    6.2454082E-03
  3.8972002E-01    7.1422402E-03
  3.9009002E-01    6.8937205E-03
  3.9045003E-01    9.2276437E-03
  3.9082003E-01    1.1961361E-02
  3.9118001E-01    1.5246144E-02
  3.9155000E-01    1.8520121E-02
  3.9191002E-01    2.5446257E-02
  3.9228001E-01    3.1151403E-02
  3.9264002E-01    3.8066734E-02
  3.9301002E-01    4.4917233E-02
  3.9337000E-01    5.5052511E-02
  3.9374000E-01    6.5382294E-02
  3.9410001E-01    7.5722873E-02
  3.9447001E-01    8.7165587E-02
  3.9483002E-01    1.0246575E-01
  3.9520004E-01    1.2007824E-01
  3.9556003E-01    1.3709643E-01
  3.9593002E-01    1.5498985E-01
  3.9629003E-01    1.7154342E-01
  3.9666003E-01    1.9251631E-01
  3.9702001E-01    2.1163073E-01
  3.9739004E-01    2.3384623E-01
  3.9775002E-01    2.5294983E-01
  3.9811000E-01    2.7456024E-01
  3.9848003E-01    2.9545751E-01
  3.9884001E-01    3.1681937E-01
  3.9921001E-01    3.3730605E-01
  3.9957002E-01    3.6005101E-01
  3.9994001E-01    3.8075379E-01
  4.0030000E-01    4.0170506E-01
  4.0066001E-01    4.2137057E-01
  4.0103000E-01    4.4495830E-01
  4.0139005E-01    4.6855685E-01
  4.0176004E-01    4.9068591E-01
  4.0212002E-01    5.0982195E-01
  4.0248004E-01    5.2783424E-01
  4.0285003E-01    5.4505771E-01
  4.0321001E-01    5.6445307E-01
  4.0358001E-01    5.8165497E-01
  4.0394002E-01    5.9691191E-01
  4.0430000E-01    6.0915416E-01
  4.0467003E-01    6.2248784E-01
  4.0503001E-01    6.3598353E-01
  4.0539002E-01    6.4877689E-01
  4.0576002E-01    6.5634054E-01
  4.0612000E-01    6.6342872E-01
  4.0648004E-01    6.6877735E-01
  4.0685004E-01    6.7717296E-01
  4.0721002E-01    6.8336433E-01
  4.0757003E-01    6.8801057E-01
  4.0794003E-01    6.8999875E-01
  4.0830001E-01    6.9335914E-01
  4.0866002E-01    6.9908589E-01
  4.0903002E-01    7.0642263E-01
  4.0939003E-01    7.1067995E-01
  4.0975001E-01    7.1186852E-01
  4.1012001E-01    7.1343523E-01
  4.1048002E-01    7.1934563E-01
  4.1084000E-01    7.2677964E-01
  4.1121000E-01    7.3444057E-01
  4.1157001E-01    7.3605055E-01
  4.1193002E-01    7.3935694E-01
  4.1230002E-01    7.4384111E-01
  4.1266003E-01    7.4941659E-01
  4.1302001E-01    7.5521892E-01
  4.1338003E-01    7.5980037E-01
  4.1375002E-01    7.6567835E-01
  4.1411000E-01    7.7256131E-01
  4.1447002E-01    7.7839613E-01
  4.1483000E-01    7.8293431E-01
  4.1520002E-01    7.8246969E-01
  4.1556001E-01    7.8299910E-01
  4.1592002E-01    7.8199428E-01
  4.1628003E-01    7.8464150E-01
  4.1665003E-01    7.8646761E-01
  4.1701004E-01    7.9324245E-01
  4.1737002E-01    7.9685140E-01
  4.1773003E-01    8.0357224E-01
  4.1810003E-01    8.0629516E-01
  4.1846001E-01    8.0693263E-01
  4.1882002E-01    8.0517137E-01
  4.1918001E-01    8.0379915E-01
  4.1954002E-01    8.0723518E-01
  4.1991001E-01    8.0921251E-01
  4.2027000E-01    8.1063884E-01
  4.2063004E-01    8.1121147E-01
  4.2099002E-01    8.0826169E-01
  4.2135003E-01    8.0855346E-01
  4.2172003E-01    8.0974203E-01
  4.2208001E-01    8.1717598E-01
  4.2244002E-01    8.2033110E-01
  4.2280000E-01    8.2300001E-01
  4.2316002E-01    8.2195187E-01
  4.2352000E-01    8.2369155E-01
  4.2389002E-01    8.2491255E-01
  4.2425001E-01    8.2641447E-01
  4.2461002E-01    8.2818651E-01
  4.2497003E-01    8.3246535E-01
  4.2533001E-01    8.3367550E-01
  4.2569003E-01    8.3605266E-01
  4.2606002E-01    8.3754379E-01
  4.2642003E-01    8.4237373E-01
  4.2678002E-01    8.4590703E-01
  4.2714003E-01    8.4562612E-01
  4.2750001E-01    8.5053164E-01
  4.2785999E-01    8.5090983E-01
  4.2822003E-01    8.5261703E-01
  4.2858002E-01    8.5217398E-01
  4.2894003E-01    8.5878676E-01
  4.2931002E-01    8.6706364E-01
  4.2967004E-01    8.7093186E-01
  4.3003002E-01    8.7035924E-01
  4.3039003E-01    8.7031597E-01
  4.3075001E-01    8.7179625E-01
  4.3110999E-01    8.7380612E-01
  4.3147004E-01    8.7544847E-01
  4.3183002E-01    8.7624806E-01
  4.3219003E-01    8.7787962E-01
  4.3255001E-01    8.7792283E-01
  4.3291003E-01    8.7969494E-01
  4.3327001E-01    8.7791204E-01
  4.3363002E-01    8.7701523E-01
  4.3400002E-01    8.7508106E-01
  4.3436000E-01    8.7430310E-01
  4.3472001E-01    8.7351435E-01
  4.3508002E-01    8.7367642E-01
  4.3544003E-01    8.7408698E-01
  4.3580002E-01    8.7730694E-01
  4.3616003E-01    8.7782556E-01
  4.3652001E-01    8.7697202E-01
  4.3688002E-01    8.7365484E-01
  4.3724000E-01    8.7114799E-01
  4.3760002E-01    8.7193674E-01
  4.3796000E-01    8.7405455E-01
  4.3832004E-01    8.7328738E-01
  4.3868002E-01    8.7219608E-01
  4.3904004E-01    8.7086701E-01
  4.3940002E-01    8.7549168E-01
  4.3976003E-01    8.7973809E-01
  4.4012001E-01    8.8032162E-01
  4.4048002E-01    8.8100237E-01
  4.4084001E-01    8.8055933E-01
  4.4120005E-01    8.8430876E-01
  4.4156003E-01    8.8343352E-01
  4.4192004E-01    8.8601595E-01
  4.4228002E-01    8.8971138E-01
  4.4263002E-01    8.9478976E-01
  4.4299001E-01    8.9505988E-01
  4.4335002E-01    8.9455205E-01
  4.4371000E-01    8.9902544E-01
  4.4407004E-01    9.0442806E-01
  4.4443002E-01    9.1123527E-01
  4.4479004E-01    9.1150546E-01
  4.4515002E-01    9.1302896E-01
  4.4551003E-01    9.1462815E-01
  4.4587001E-01    9.2058176E-01
  4.4623002E-01    9.2367208E-01
  4.4659001E-01    9.2268878E-01
  4.4695005E-01    9.2134893E-01
  4.4730002E-01    9.2150021E-01
  4.4766003E-01    9.2442846E-01
  4.4802001E-01    9.2509836E-01
  4.4838002E-01    9.2643821E-01
  4.4874001E-01    9.2649227E-01
  4.4910002E-01    9.2658943E-01
  4.4946000E-01    9.2660028E-01
  4.4982004E-01    9.2523879E-01
  4.5018002E-01    9.2438525E-01
  4.5053002E-01    9.2769164E-01
  4.5089003E-01    9.3137616E-01
  4.5125002E-01    9.3416393E-01
  4.5161000E-01    9.3211091E-01
  4.5197001E-01    9.3081427E-01
  4.5232999E-01    9.3217582E-01
  4.5268002E-01    9.3446648E-01
  4.5304003E-01    9.3144107E-01
  4.5340002E-01    9.2921513E-01
  4.5376003E-01    9.2926913E-01
  4.5412001E-01    9.3017679E-01
  4.5448002E-01    9.3026328E-01
  4.5483002E-01    9.2745388E-01
  4.5519003E-01    9.2734581E-01
  4.5555001E-01    9.2456895E-01
  4.5591003E-01    9.2325068E-01
  4.5627001E-01    9.2309940E-01
  4.5662001E-01    9.2668670E-01
  4.5698002E-01    9.3071711E-01
  4.5734003E-01    9.3145186E-01
  4.5770004E-01    9.3045771E-01
  4.5806003E-01    9.2953932E-01
  4.5841002E-01    9.2946362E-01
  4.5877001E-01    9.2924756E-01
  4.5913002E-01    9.2689198E-01
  4.5949000E-01    9.2934483E-01
  4.5984003E-01    9.2940962E-01
  4.6020004E-01    9.3350476E-01
  4.6056002E-01    9.3414235E-01
  4.6092004E-01    9.3582797E-01
  4.6127000E-01    9.3584955E-01
  4.6163002E-01    9.3369931E-01
  4.6199000E-01    9.3745953E-01
  4.6235004E-01    9.3897223E-01
  4.6270004E-01    9.4259197E-01
  4.6306002E-01    9.3626016E-01
  4.6342003E-01    9.3642223E-01
  4.6377000E-01    9.3811864E-01
  4.6413001E-01    9.4349962E-01
  4.6449003E-01    9.4500154E-01
  4.6485004E-01    9.4339156E-01
  4.6520004E-01    9.4326186E-01
  4.6556002E-01    9.4210577E-01
  4.6592003E-01    9.4448292E-01
  4.6627000E-01    9.4309980E-01
  4.6663004E-01    9.4425601E-01
