# wave[microns]    norm_trans
  3.1031001E-01    0.0000000E+00
  3.1068000E-01    0.0000000E+00
  3.1106001E-01    0.0000000E+00
  3.1143001E-01    1.4769216E-02
  3.1180000E-01    1.6618535E-02
  3.1218001E-01    1.6086537E-02
  3.1255001E-01    1.9886509E-02
  3.1292003E-01    1.6504535E-02
  3.1330001E-01    2.1254497E-02
  3.1367004E-01    2.3585144E-02
  3.1404004E-01    3.5846379E-02
  3.1441003E-01    4.3154988E-02
  3.1479001E-01    5.3402241E-02
  3.1516001E-01    6.6778131E-02
  3.1553000E-01    8.9071289E-02
  3.1591001E-01    1.1507575E-01
  3.1628001E-01    1.4366418E-01
  3.1665000E-01    1.7505193E-01
  3.1702000E-01    2.0614836E-01
  3.1740001E-01    2.3898010E-01
  3.1777000E-01    2.6873386E-01
  3.1814003E-01    2.9635963E-01
  3.1851003E-01    3.1880480E-01
  3.1889004E-01    3.3551201E-01
  3.1926003E-01    3.5035720E-01
  3.1963003E-01    3.6391044E-01
  3.2000002E-01    3.7823632E-01
  3.2038003E-01    3.9040890E-01
  3.2075003E-01    4.0415210E-01
  3.2112002E-01    4.1781932E-01
  3.2149002E-01    4.3132186E-01
  3.2187000E-01    4.4595179E-01
  3.2224000E-01    4.6003699E-01
  3.2260999E-01    4.7318488E-01
  3.2298002E-01    4.8293814E-01
  3.2336000E-01    4.9105743E-01
  3.2373002E-01    5.0193799E-01
  3.2410002E-01    5.1256526E-01
  3.2447001E-01    5.2258450E-01
  3.2484001E-01    5.3118509E-01
  3.2521001E-01    5.3807569E-01
  3.2559001E-01    5.4491568E-01
  3.2596001E-01    5.5226225E-01
  3.2633001E-01    5.6220549E-01
  3.2670003E-01    5.7259214E-01
  3.2707003E-01    5.8245939E-01
  3.2745004E-01    5.9219992E-01
  3.2782003E-01    6.0140854E-01
  3.2819003E-01    6.1140245E-01
  3.2856002E-01    6.2209302E-01
  3.2893002E-01    6.3445562E-01
  3.2930002E-01    6.4341086E-01
  3.2968000E-01    6.5087146E-01
  3.3004999E-01    6.5686280E-01
  3.3042002E-01    6.6828799E-01
  3.3079001E-01    6.7704058E-01
  3.3116001E-01    6.8755382E-01
  3.3153000E-01    6.9448245E-01
  3.3190000E-01    7.0326036E-01
  3.3227000E-01    7.0979631E-01
  3.3265001E-01    7.1504033E-01
  3.3302000E-01    7.1578759E-01
  3.3339003E-01    7.1751028E-01
  3.3376002E-01    7.2226024E-01
  3.3413002E-01    7.2856820E-01
  3.3450001E-01    7.3471147E-01
  3.3487001E-01    7.3898011E-01
  3.3524001E-01    7.4557936E-01
  3.3561000E-01    7.5309068E-01
  3.3598003E-01    7.6139992E-01
  3.3636001E-01    7.7338248E-01
  3.3673003E-01    7.8250241E-01
  3.3710003E-01    7.9296499E-01
  3.3747002E-01    8.0050164E-01
  3.3784002E-01    8.1237024E-01
  3.3821002E-01    8.2298476E-01
  3.3858001E-01    8.3306730E-01
  3.3895004E-01    8.4174401E-01
  3.3932003E-01    8.4882456E-01
  3.3969003E-01    8.5903382E-01
  3.4006003E-01    8.6814111E-01
  3.4043002E-01    8.7477833E-01
  3.4080002E-01    8.7836301E-01
  3.4117004E-01    8.8106096E-01
  3.4154004E-01    8.8662159E-01
  3.4191003E-01    8.9049757E-01
  3.4228000E-01    8.9237219E-01
  3.4265000E-01    8.9276493E-01
  3.4301999E-01    8.9446217E-01
  3.4339002E-01    8.9686882E-01
