# wave[microns]    norm_trans
  7.7798003E-01    0.0000000E+00
  7.7832007E-01    1.2454720E-03
  7.7866000E-01    6.5781974E-04
  7.7900004E-01    1.0963662E-03
  7.7934009E-01    6.9290347E-04
  7.7968001E-01    1.0437407E-03
  7.8002006E-01    1.1753046E-03
  7.8037006E-01    7.2798715E-04
  7.8071004E-01    1.1840755E-03
  7.8105003E-01    1.2016173E-03
  7.8139007E-01    1.3068685E-03
  7.8173000E-01    2.1225649E-03
  7.8207004E-01    1.5086000E-03
  7.8241003E-01    8.4200926E-04
  7.8275001E-01    0.0000000E+00
  7.8309005E-01    1.1665337E-03
  7.8343004E-01    2.3681510E-03
  7.8377008E-01    0.0000000E+00
  7.8411001E-01    1.2279302E-03
  7.8445005E-01    1.9296044E-03
  7.8479004E-01    1.2717848E-03
  7.8513002E-01    2.1225649E-03
  7.8547001E-01    9.2971855E-04
  7.8581005E-01    1.4033488E-03
  7.8615004E-01    2.1927324E-03
  7.8649002E-01    2.0787104E-03
  7.8684008E-01    2.2278163E-03
  7.8718001E-01    2.4909440E-03
  7.8752005E-01    2.2278163E-03
  7.8786004E-01    3.4382043E-03
  7.8820002E-01    2.9207196E-03
  7.8854001E-01    2.4821730E-03
  7.8887004E-01    2.4909440E-03
  7.8921008E-01    1.8682081E-03
  7.8955001E-01    1.7366441E-03
  7.8989005E-01    3.6399357E-03
  7.9023004E-01    3.9118347E-03
  7.9057002E-01    2.5347986E-03
  7.9091001E-01    3.9556893E-03
  7.9125005E-01    3.2978693E-03
  7.9159003E-01    3.9293766E-03
  7.9193002E-01    5.0608264E-03
  7.9227006E-01    4.7713858E-03
  7.9261005E-01    4.8240116E-03
  7.9295003E-01    3.7451868E-03
  7.9329002E-01    4.7275308E-03
  7.9363006E-01    5.3151832E-03
  7.9396999E-01    6.2799859E-03
  7.9431003E-01    6.1045666E-03
  7.9465008E-01    6.1396505E-03
  7.9497999E-01    4.8327823E-03
  7.9532003E-01    6.2098182E-03
  7.9566002E-01    8.2271323E-03
  7.9600006E-01    6.4378628E-03
  7.9634005E-01    7.3061846E-03
  7.9668003E-01    9.2884144E-03
  7.9702008E-01    8.7007619E-03
  7.9736000E-01    7.5342287E-03
  7.9770005E-01    8.2095899E-03
  7.9803008E-01    9.4638327E-03
  7.9837000E-01    9.7269602E-03
  7.9871005E-01    1.1472376E-02
  7.9905003E-01    1.1796901E-02
  7.9939008E-01    1.1919693E-02
  7.9973000E-01    1.2963435E-02
  8.0006003E-01    1.3796672E-02
  8.0040008E-01    1.4664995E-02
  8.0074000E-01    1.5121083E-02
  8.0108005E-01    1.4358011E-02
  8.0142003E-01    1.7041916E-02
  8.0176008E-01    1.7769903E-02
  8.0209005E-01    1.7769903E-02
  8.0243003E-01    1.9085543E-02
  8.0277008E-01    1.9629341E-02
  8.0311000E-01    2.2006262E-02
  8.0345005E-01    2.1927323E-02
  8.0378008E-01    2.4172682E-02
  8.0412000E-01    2.5707595E-02
  8.0446005E-01    2.6768878E-02
  8.0480003E-01    2.7637199E-02
  8.0513006E-01    2.9768536E-02
  8.0546999E-01    3.0829819E-02
  8.0581003E-01    3.3820704E-02
  8.0615008E-01    3.4539919E-02
  8.0647999E-01    3.5697684E-02
  8.0682003E-01    3.8074605E-02
  8.0716002E-01    3.9258681E-02
  8.0750006E-01    4.1539121E-02
  8.0783004E-01    4.3872189E-02
  8.0817002E-01    4.5047496E-02
  8.0851007E-01    4.8064694E-02
  8.0884004E-01    5.0274968E-02
  8.0918002E-01    5.2678205E-02
  8.0952007E-01    5.5414733E-02
  8.0986005E-01    5.7449590E-02
  8.1019002E-01    6.1203547E-02
  8.1053007E-01    6.4150579E-02
  8.1087005E-01    6.7115150E-02
  8.1120002E-01    6.9649950E-02
  8.1154001E-01    7.4289776E-02
  8.1188005E-01    7.6263227E-02
  8.1221008E-01    8.0876738E-02
  8.1255001E-01    8.3534338E-02
  8.1289005E-01    8.7314606E-02
  8.1322002E-01    9.2226326E-02
  8.1356001E-01    9.4638333E-02
  8.1390005E-01    9.9672846E-02
  8.1423002E-01    1.0293563E-01
  8.1457007E-01    1.0682993E-01
  8.1490004E-01    1.1189075E-01
  8.1524003E-01    1.1511845E-01
  8.1558007E-01    1.2059151E-01
  8.1591004E-01    1.2592424E-01
  8.1625003E-01    1.3065177E-01
  8.1658006E-01    1.3797550E-01
  8.1692004E-01    1.4033487E-01
  8.1726003E-01    1.4408882E-01
  8.1759006E-01    1.5116698E-01
  8.1793004E-01    1.5845561E-01
  8.1826007E-01    1.6334102E-01
  8.1860000E-01    1.6825275E-01
  8.1894004E-01    1.7472568E-01
  8.1927007E-01    1.8234764E-01
  8.1961000E-01    1.8739091E-01
  8.1994003E-01    1.9329375E-01
  8.2028008E-01    2.0188926E-01
  8.2061005E-01    2.0818679E-01
  8.2095003E-01    2.1387912E-01
  8.2128006E-01    2.1967670E-01
  8.2162005E-01    2.2608826E-01
  8.2195008E-01    2.3051757E-01
  8.2229000E-01    2.4070063E-01
  8.2262003E-01    2.4669117E-01
  8.2296008E-01    2.5350618E-01
  8.2328999E-01    2.6267180E-01
  8.2363003E-01    2.6790804E-01
  8.2396007E-01    2.7732801E-01
  8.2430005E-01    2.8299403E-01
  8.2463002E-01    2.9131767E-01
  8.2497001E-01    2.9782569E-01
  8.2530004E-01    3.0495647E-01
  8.2564008E-01    3.1241173E-01
  8.2596999E-01    3.1749013E-01
  8.2631004E-01    3.2676098E-01
  8.2664007E-01    3.3648792E-01
  8.2697999E-01    3.4318015E-01
  8.2731003E-01    3.4875849E-01
  8.2764006E-01    3.5720488E-01
  8.2798004E-01    3.6354628E-01
  8.2831001E-01    3.7141380E-01
  8.2865006E-01    3.8231605E-01
  8.2898003E-01    3.8452631E-01
  8.2932007E-01    3.9588469E-01
  8.2965004E-01    4.0100691E-01
  8.2998002E-01    4.0858498E-01
  8.3032006E-01    4.1550526E-01
  8.3065009E-01    4.2267987E-01
  8.3099002E-01    4.2758283E-01
  8.3132005E-01    4.3563452E-01
  8.3165008E-01    4.4232675E-01
  8.3199000E-01    4.4872075E-01
  8.3232003E-01    4.5725486E-01
  8.3265007E-01    4.6480665E-01
  8.3299005E-01    4.7105154E-01
  8.3332002E-01    4.8195383E-01
  8.3366001E-01    4.8388341E-01
  8.3399004E-01    4.9364546E-01
  8.3432007E-01    5.0018859E-01
  8.3465999E-01    5.0419688E-01
  8.3499002E-01    5.1033658E-01
  8.3532006E-01    5.1642358E-01
  8.3565009E-01    5.2218604E-01
  8.3599001E-01    5.2692235E-01
  8.3632004E-01    5.3718436E-01
  8.3665007E-01    5.4164875E-01
  8.3699006E-01    5.5397189E-01
  8.3732003E-01    5.5467361E-01
  8.3765006E-01    5.6155002E-01
  8.3799005E-01    5.6326914E-01
  8.3832008E-01    5.7057530E-01
  8.3865005E-01    5.7633775E-01
  8.3898002E-01    5.8474910E-01
  8.3932006E-01    5.9030986E-01
  8.3965003E-01    5.9649342E-01
  8.3998001E-01    5.9868616E-01
  8.4031004E-01    6.0451001E-01
  8.4065008E-01    6.1512285E-01
  8.4097999E-01    6.1826283E-01
  8.4131002E-01    6.2366575E-01
  8.4164006E-01    6.2965626E-01
  8.4198004E-01    6.2926161E-01
  8.4231001E-01    6.3365585E-01
  8.4264004E-01    6.3528723E-01
  8.4297001E-01    6.4160228E-01
  8.4330004E-01    6.5698647E-01
  8.4364003E-01    6.5615320E-01
  8.4397000E-01    6.6491538E-01
  8.4430003E-01    6.7104632E-01
  8.4463006E-01    6.7007273E-01
  8.4496003E-01    6.7751926E-01
  8.4529001E-01    6.7289698E-01
  8.4563005E-01    6.7824721E-01
  8.4596008E-01    6.8235201E-01
  8.4628999E-01    6.7968559E-01
  8.4662002E-01    6.9083351E-01
  8.4695005E-01    6.9434190E-01
  8.4728009E-01    7.0336717E-01
  8.4762001E-01    7.0506871E-01
  8.4795004E-01    7.0850694E-01
  8.4828007E-01    7.0489329E-01
  8.4861004E-01    7.1270823E-01
  8.4894001E-01    7.1056807E-01
  8.4927005E-01    7.2016352E-01
  8.4960002E-01    7.2177732E-01
  8.4993005E-01    7.2522432E-01
  8.5026008E-01    7.2485590E-01
  8.5059005E-01    7.3212701E-01
  8.5093004E-01    7.3755628E-01
  8.5126007E-01    7.4231011E-01
  8.5159010E-01    7.3852986E-01
  8.5192001E-01    7.3959982E-01
  8.5225004E-01    7.4436247E-01
  8.5258007E-01    7.5261593E-01
  8.5291004E-01    7.4788839E-01
  8.5324001E-01    7.5409818E-01
  8.5357004E-01    7.5661546E-01
  8.5390007E-01    7.5839597E-01
  8.5423005E-01    7.6398301E-01
  8.5456002E-01    7.6995611E-01
  8.5489005E-01    7.6171142E-01
  8.5522002E-01    7.6894736E-01
  8.5555005E-01    7.6649153E-01
  8.5588002E-01    7.7198213E-01
  8.5621005E-01    7.6665813E-01
  8.5654002E-01    7.7264875E-01
  8.5687006E-01    7.7413982E-01
  8.5720003E-01    7.8000754E-01
  8.5753006E-01    7.7749026E-01
  8.5786003E-01    7.8161263E-01
  8.5819006E-01    7.8504205E-01
  8.5852003E-01    7.9203248E-01
  8.5885000E-01    7.8481400E-01
  8.5918003E-01    7.8748912E-01
  8.5951006E-01    7.9266399E-01
  8.5984010E-01    7.8672606E-01
  8.6017001E-01    7.9137462E-01
  8.6050004E-01    7.9698801E-01
  8.6083007E-01    7.9401469E-01
  8.6115009E-01    7.9874223E-01
  8.6148000E-01    8.0365396E-01
  8.6181003E-01    7.9967195E-01
  8.6214006E-01    8.0201381E-01
  8.6247003E-01    8.0645186E-01
  8.6280000E-01    8.0863583E-01
  8.6313003E-01    8.0179453E-01
  8.6346006E-01    8.0513620E-01
  8.6379004E-01    8.0076832E-01
