# wave[microns]    norm_trans
  4.1000000E-01    1.2331255E-04
  4.1099998E-01    2.0358033E-04
  4.1200000E-01    3.6821185E-04
  4.1299999E-01    7.1894273E-04
  4.1399997E-01    1.6385503E-03
  4.1499999E-01    4.1493410E-03
  4.1599998E-01    1.1795277E-02
  4.1700000E-01    3.9451033E-02
  4.1799998E-01    1.4175221E-01
  4.1900000E-01    4.4691265E-01
  4.1999999E-01    8.2476193E-01
  4.2100000E-01    9.4621712E-01
  4.2199999E-01    9.5167983E-01
  4.2299998E-01    9.5426953E-01
  4.2399999E-01    9.5757902E-01
  4.2499998E-01    9.6313024E-01
  4.2600000E-01    9.7180831E-01
  4.2699999E-01    9.7621322E-01
  4.2800000E-01    9.7603786E-01
  4.2899999E-01    9.7746414E-01
  4.2999998E-01    9.7607565E-01
  4.3099999E-01    9.7001481E-01
  4.3199998E-01    9.6764064E-01
  4.3300000E-01    9.6751726E-01
  4.3399999E-01    9.7723812E-01
  4.3500000E-01    9.9128807E-01
  4.3599999E-01    1.0000000E+00
  4.3699998E-01    9.7530490E-01
  4.3799999E-01    8.4881181E-01
  4.3899998E-01    5.5829072E-01
  4.4000000E-01    2.6360956E-01
  4.4099998E-01    1.0327680E-01
  4.4200000E-01    3.8519192E-02
  4.4299999E-01    1.5417510E-02
  4.4399998E-01    6.7470265E-03
  4.4499999E-01    3.3029991E-03
  4.4599998E-01    1.7072029E-03
  4.4700000E-01    9.7174430E-04
  4.4799998E-01    5.8895332E-04
  4.4900000E-01    3.7127378E-04
  4.4999999E-01    2.3666471E-04
  4.5099998E-01    1.5356902E-04
  4.5199999E-01    9.9102268E-05
  4.5299998E-01    6.7648762E-05
  4.5400000E-01    5.5229022E-05
