# wave[microns]    norm_trans
  5.0000000E-01    1.0360466E-05
  5.0099999E-01    1.0251289E-05
  5.0199997E-01    1.2711615E-05
  5.0299996E-01    1.0029629E-05
  5.0400001E-01    1.2115877E-05
  5.0500000E-01    1.0693057E-05
  5.0599998E-01    7.6178985E-06
  5.0699997E-01    9.3864846E-06
  5.0800002E-01    1.2040587E-05
  5.0900000E-01    9.5884361E-06
  5.0999999E-01    1.0704105E-05
  5.1099998E-01    1.0349478E-05
  5.1199996E-01    9.3841572E-06
  5.1300001E-01    9.5225732E-06
  5.1400000E-01    8.4800886E-06
  5.1499999E-01    1.3212930E-05
  5.1599997E-01    1.1242119E-05
  5.1699996E-01    1.0393685E-05
  5.1800001E-01    9.3853314E-06
  5.1899999E-01    9.8272376E-06
  5.1999998E-01    1.3674383E-05
  5.2099997E-01    1.2144947E-05
  5.2200001E-01    1.3560810E-05
  5.2300000E-01    6.0271477E-06
  5.2399999E-01    1.2731288E-05
  5.2499998E-01    1.3392631E-05
  5.2599996E-01    1.4266300E-05
  5.2700001E-01    1.7127601E-05
  5.2800000E-01    3.2170883E-05
  5.2899998E-01    6.4479886E-05
  5.2999997E-01    1.3683733E-04
  5.3099996E-01    3.0819155E-04
  5.3200001E-01    6.9458620E-04
  5.3299999E-01    1.4992179E-03
  5.3399998E-01    3.0538898E-03
  5.3499997E-01    5.8546257E-03
  5.3600001E-01    1.0555623E-02
  5.3700000E-01    1.7567411E-02
  5.3799999E-01    2.7604265E-02
  5.3899997E-01    4.1704137E-02
  5.3999996E-01    6.0333837E-02
  5.4100001E-01    8.2607165E-02
  5.4200000E-01    1.1019551E-01
  5.4299998E-01    1.4267093E-01
  5.4399997E-01    1.7749180E-01
  5.4499996E-01    2.1579419E-01
  5.4600000E-01    2.5691944E-01
  5.4699999E-01    2.9870087E-01
  5.4799998E-01    3.4102660E-01
  5.4899997E-01    3.8056493E-01
  5.5000001E-01    4.1797447E-01
  5.5100000E-01    4.5158520E-01
  5.5199999E-01    4.8573163E-01
  5.5299997E-01    5.1827127E-01
  5.5399996E-01    5.5293930E-01
  5.5500001E-01    5.8650964E-01
  5.5599999E-01    6.2195814E-01
  5.5699998E-01    6.5808123E-01
  5.5799997E-01    6.8566048E-01
  5.5900002E-01    7.0726603E-01
  5.6000000E-01    7.2406185E-01
  5.6099999E-01    7.3615563E-01
  5.6199998E-01    7.4807280E-01
  5.6299996E-01    7.6051420E-01
  5.6400001E-01    7.7196795E-01
  5.6500000E-01    7.8288066E-01
  5.6599998E-01    7.9454982E-01
  5.6699997E-01    8.0413485E-01
  5.6799996E-01    8.1331819E-01
  5.6900001E-01    8.2019496E-01
  5.6999999E-01    8.3085358E-01
  5.7099998E-01    8.3884907E-01
  5.7199997E-01    8.4427077E-01
  5.7300001E-01    8.4901834E-01
  5.7400000E-01    8.5263610E-01
  5.7499999E-01    8.5551959E-01
  5.7599998E-01    8.5851663E-01
  5.7699996E-01    8.6619568E-01
  5.7800001E-01    8.7097239E-01
  5.7900000E-01    8.7716150E-01
  5.7999998E-01    8.8224357E-01
  5.8099997E-01    8.9021915E-01
  5.8199996E-01    8.9427328E-01
  5.8300000E-01    8.9604676E-01
  5.8399999E-01    9.0030479E-01
  5.8499998E-01    9.0335304E-01
  5.8599997E-01    9.0765440E-01
  5.8700001E-01    9.1069371E-01
  5.8800000E-01    9.1030914E-01
  5.8899999E-01    9.0780222E-01
  5.8999997E-01    9.0825820E-01
  5.9099996E-01    9.1467834E-01
  5.9200001E-01    9.1560799E-01
  5.9299999E-01    9.2130297E-01
  5.9399998E-01    9.2276877E-01
  5.9499997E-01    9.2001086E-01
  5.9599996E-01    9.2019391E-01
  5.9700000E-01    9.1728210E-01
  5.9799999E-01    9.1843390E-01
  5.9899998E-01    9.1827035E-01
  5.9999996E-01    9.1981423E-01
  6.0100001E-01    9.2357445E-01
  6.0200000E-01    9.2676824E-01
  6.0299999E-01    9.3037808E-01
  6.0399997E-01    9.3321186E-01
  6.0499996E-01    9.3422210E-01
  6.0600001E-01    9.3484610E-01
  6.0699999E-01    9.3808460E-01
  6.0799998E-01    9.3788302E-01
  6.0899997E-01    9.4065124E-01
  6.1000001E-01    9.4249094E-01
  6.1100000E-01    9.4523197E-01
  6.1199999E-01    9.4674402E-01
  6.1299998E-01    9.4726592E-01
  6.1399996E-01    9.5009732E-01
  6.1500001E-01    9.4930214E-01
  6.1600000E-01    9.4901240E-01
  6.1699998E-01    9.5135707E-01
  6.1799997E-01    9.5042914E-01
  6.1899996E-01    9.5026314E-01
  6.2000000E-01    9.4731182E-01
  6.2099999E-01    9.4592154E-01
  6.2199998E-01    9.4423264E-01
  6.2299997E-01    9.4208592E-01
  6.2400001E-01    9.4242299E-01
  6.2500000E-01    9.4516695E-01
  6.2599999E-01    9.5007652E-01
  6.2699997E-01    9.4686198E-01
  6.2799996E-01    9.2038924E-01
  6.2900001E-01    9.3755460E-01
  6.3000000E-01    9.3159044E-01
  6.3099998E-01    9.3746859E-01
  6.3199997E-01    9.3583739E-01
  6.3299996E-01    9.3632871E-01
  6.3400000E-01    9.3670845E-01
  6.3499999E-01    9.4395292E-01
  6.3599998E-01    9.4723898E-01
  6.3699996E-01    9.5266616E-01
  6.3800001E-01    9.5480686E-01
  6.3900000E-01    9.6022952E-01
  6.3999999E-01    9.5881742E-01
  6.4099997E-01    9.5552975E-01
  6.4199996E-01    9.5348662E-01
  6.4300001E-01    9.5406801E-01
  6.4399999E-01    9.5875597E-01
  6.4499998E-01    9.6480799E-01
  6.4599997E-01    9.6977091E-01
  6.4699996E-01    9.7266465E-01
  6.4800000E-01    9.8013610E-01
  6.4899999E-01    9.8448300E-01
  6.4999998E-01    9.9124026E-01
  6.5099996E-01    9.9045449E-01
  6.5200001E-01    9.8341942E-01
  6.5300000E-01    9.8686260E-01
  6.5399998E-01    9.9020910E-01
