# wave[microns]    norm_trans
  7.4000001E-01    9.3609320E-05
  7.4100000E-01    9.8277560E-05
  7.4199998E-01    1.0629810E-04
  7.4299997E-01    1.1370714E-04
  7.4399996E-01    1.2125319E-04
  7.4500000E-01    1.3256866E-04
  7.4599999E-01    1.4409798E-04
  7.4699998E-01    1.5385437E-04
  7.4799997E-01    1.6480814E-04
  7.4899995E-01    1.7801837E-04
  7.5000000E-01    1.9312567E-04
  7.5099999E-01    2.0995789E-04
  7.5199997E-01    2.2593638E-04
  7.5299996E-01    2.4468190E-04
  7.5400001E-01    2.6602572E-04
  7.5500000E-01    2.9077483E-04
  7.5599998E-01    3.1651120E-04
  7.5699997E-01    3.4355634E-04
  7.5799996E-01    3.7410131E-04
  7.5900000E-01    4.0977303E-04
  7.5999999E-01    2.0623633E-04
  7.6099998E-01    1.7030469E-04
  7.6199996E-01    4.2042258E-04
  7.6299995E-01    3.4842483E-04
  7.6400000E-01    4.0020311E-04
  7.6499999E-01    5.8706268E-04
  7.6599997E-01    6.7246414E-04
  7.6699996E-01    8.0840057E-04
  7.6800001E-01    9.6141390E-04
  7.6899999E-01    1.1251596E-03
  7.6999998E-01    1.2768229E-03
  7.7099997E-01    1.4451675E-03
  7.7199996E-01    1.6177843E-03
  7.7300000E-01    1.8103796E-03
  7.7399999E-01    2.0290348E-03
  7.7499998E-01    2.2790714E-03
  7.7599996E-01    2.5585147E-03
  7.7700001E-01    2.8713320E-03
  7.7800000E-01    3.2240332E-03
  7.7899998E-01    3.6221698E-03
  7.7999997E-01    4.0697427E-03
  7.8099996E-01    4.5824042E-03
  7.8200001E-01    5.1768110E-03
  7.8299999E-01    5.8632363E-03
  7.8399998E-01    6.6618528E-03
  7.8499997E-01    7.5796708E-03
  7.8599995E-01    8.6320685E-03
  7.8700000E-01    9.8384684E-03
  7.8799999E-01    1.1241784E-02
  7.8899997E-01    1.2860531E-02
  7.8999996E-01    1.4735105E-02
  7.9100001E-01    1.6886689E-02
  7.9200000E-01    1.9353380E-02
  7.9299998E-01    2.2068089E-02
  7.9399997E-01    2.5311092E-02
  7.9499996E-01    2.8991977E-02
  7.9600000E-01    3.2915767E-02
  7.9699999E-01    3.7482731E-02
  7.9799998E-01    4.2633727E-02
  7.9899997E-01    4.8466157E-02
  7.9999995E-01    5.4982007E-02
  8.0100000E-01    6.2362798E-02
  8.0199999E-01    7.0684247E-02
  8.0299997E-01    7.9649821E-02
  8.0399996E-01    8.9874558E-02
  8.0500001E-01    1.0126491E-01
  8.0599999E-01    1.1390834E-01
  8.0699998E-01    1.2779276E-01
  8.0799997E-01    1.4269598E-01
  8.0899996E-01    1.5891528E-01
  8.1000000E-01    1.7548865E-01
  8.1099999E-01    1.9386515E-01
  8.1199998E-01    2.1388292E-01
  8.1299996E-01    2.3448415E-01
  8.1399995E-01    2.5280580E-01
  8.1500000E-01    2.7297324E-01
  8.1599998E-01    2.9457060E-01
  8.1699997E-01    3.1410217E-01
  8.1799996E-01    3.3232531E-01
  8.1900001E-01    3.6749095E-01
  8.1999999E-01    3.9018255E-01
  8.2099998E-01    4.2853642E-01
  8.2199997E-01    4.5043796E-01
  8.2299995E-01    4.4537902E-01
  8.2400000E-01    5.0261271E-01
  8.2499999E-01    5.3378141E-01
  8.2599998E-01    5.5176300E-01
  8.2699996E-01    5.8587539E-01
  8.2799995E-01    5.9301627E-01
  8.2900000E-01    6.1586589E-01
  8.2999998E-01    6.5536577E-01
  8.3099997E-01    6.7965961E-01
  8.3199996E-01    6.9491655E-01
  8.3300000E-01    7.2818947E-01
  8.3399999E-01    7.4440843E-01
  8.3499998E-01    7.7281606E-01
  8.3599997E-01    7.8911650E-01
  8.3699995E-01    8.0845904E-01
  8.3800000E-01    8.2504350E-01
  8.3899999E-01    8.4256750E-01
  8.3999997E-01    8.5765111E-01
  8.4099996E-01    8.7060654E-01
  8.4200001E-01    8.8447547E-01
  8.4299999E-01    8.9753729E-01
  8.4399998E-01    9.0880990E-01
  8.4499997E-01    9.2050391E-01
  8.4599996E-01    9.3002969E-01
  8.4700000E-01    9.3920392E-01
  8.4799999E-01    9.4699228E-01
  8.4899998E-01    9.5492214E-01
  8.4999996E-01    9.6352154E-01
  8.5099995E-01    9.7113454E-01
  8.5200000E-01    9.7740191E-01
  8.5299999E-01    9.8238558E-01
  8.5399997E-01    9.8610377E-01
  8.5499996E-01    9.9004972E-01
  8.5600001E-01    9.9275768E-01
  8.5699999E-01    9.9532086E-01
  8.5799998E-01    9.9711442E-01
  8.5899997E-01    9.9847353E-01
  8.5999995E-01    9.9937230E-01
  8.6100000E-01    1.0000000E+00
  8.6199999E-01    9.9971896E-01
  8.6299998E-01    9.9869460E-01
  8.6399996E-01    9.9773884E-01
  8.6499995E-01    9.9636006E-01
  8.6600000E-01    9.9460173E-01
  8.6699998E-01    9.9310267E-01
  8.6799997E-01    9.9152219E-01
  8.6899996E-01    9.8920828E-01
  8.7000000E-01    9.8672211E-01
  8.7099999E-01    9.8423672E-01
  8.7199998E-01    9.8171788E-01
  8.7299997E-01    9.7869372E-01
  8.7399995E-01    9.7538966E-01
  8.7500000E-01    9.7228998E-01
