# wave[microns]    norm_trans
  2.2400000E+00    2.2916723E-04
  2.2402501E+00    2.8567662E-04
  2.2405002E+00    2.4156543E-04
  2.2407501E+00    1.5889447E-04
  2.2410002E+00    2.5017516E-04
  2.2412500E+00    1.7260657E-04
  2.2415001E+00    2.2849065E-04
  2.2417500E+00    1.8163216E-04
  2.2420001E+00    1.2139193E-04
  2.2422502E+00    1.9443099E-04
  2.2425001E+00    1.4973692E-04
  2.2427502E+00    2.3490289E-04
  2.2430000E+00    2.1980879E-04
  2.2432501E+00    1.7314519E-04
  2.2435000E+00    2.2587726E-04
  2.2437501E+00    2.1184261E-04
  2.2440002E+00    2.4383735E-04
  2.2442501E+00    2.1599827E-04
  2.2445002E+00    1.8009740E-04
  2.2447500E+00    1.7148898E-04
  2.2450001E+00    1.9793696E-04
  2.2452502E+00    1.4593871E-04
  2.2455001E+00    1.6638050E-04
  2.2457502E+00    2.0837924E-04
  2.2460001E+00    2.6268800E-04
  2.2462502E+00    2.9354275E-04
  2.2465000E+00    2.1096924E-04
  2.2467501E+00    2.4808286E-04
  2.2470002E+00    2.5038238E-04
  2.2472501E+00    2.4380797E-04
  2.2475002E+00    2.7235763E-04
  2.2477500E+00    3.1326292E-04
  2.2480001E+00    2.8238667E-04
  2.2482500E+00    2.0440045E-04
  2.2485001E+00    2.6612412E-04
  2.2487502E+00    2.4634294E-04
  2.2490001E+00    2.4772552E-04
  2.2492502E+00    1.9455902E-04
  2.2495000E+00    2.2963894E-04
  2.2497501E+00    2.9805239E-04
  2.2500000E+00    2.1273627E-04
  2.2502501E+00    3.1035725E-04
  2.2505002E+00    2.9175117E-04
  2.2507501E+00    3.0709885E-04
  2.2510002E+00    2.8196274E-04
  2.2512500E+00    2.4481458E-04
  2.2515001E+00    2.7260490E-04
  2.2517500E+00    2.6120385E-04
  2.2520001E+00    3.0952119E-04
  2.2522502E+00    3.1324406E-04
  2.2525001E+00    3.4676524E-04
  2.2527502E+00    2.9901232E-04
  2.2530000E+00    3.1057201E-04
  2.2532501E+00    2.8535404E-04
  2.2535002E+00    2.2173081E-04
  2.2537501E+00    3.2874083E-04
  2.2540002E+00    2.7025671E-04
  2.2542500E+00    3.1523078E-04
  2.2545002E+00    2.7481807E-04
  2.2547500E+00    2.2615331E-04
  2.2550001E+00    3.3978932E-04
  2.2552502E+00    3.4868531E-04
  2.2555001E+00    3.8275504E-04
  2.2557502E+00    2.5314253E-04
  2.2560000E+00    3.4086342E-04
  2.2562501E+00    3.3643568E-04
  2.2565000E+00    3.3628193E-04
  2.2567501E+00    3.3845645E-04
  2.2570002E+00    3.3720979E-04
  2.2572501E+00    2.9654102E-04
  2.2575002E+00    2.6848330E-04
  2.2577500E+00    1.8083028E-04
  2.2580001E+00    3.8339177E-04
  2.2582500E+00    3.7593825E-04
  2.2585001E+00    3.5982393E-04
  2.2587502E+00    4.3211508E-04
  2.2590001E+00    3.6227170E-04
  2.2592502E+00    4.2814942E-04
  2.2595000E+00    4.7101133E-04
  2.2597501E+00    4.2432459E-04
  2.2600000E+00    4.7215025E-04
  2.2602501E+00    5.1746372E-04
