# wave[microns]    norm_trans
  2.0900002E+00    1.1476649E-04
  2.0901999E+00    1.0684942E-04
  2.0904000E+00    1.3349002E-04
  2.0906003E+00    9.0028931E-05
  2.0908000E+00    1.2173864E-04
  2.0910001E+00    1.3222196E-04
  2.0912001E+00    1.2254674E-04
  2.0913999E+00    1.6252046E-04
  2.0916002E+00    1.3598723E-04
  2.0918002E+00    1.3918926E-04
  2.0920000E+00    1.3378685E-04
  2.0922000E+00    1.5395333E-04
  2.0924001E+00    1.4556861E-04
  2.0926001E+00    1.4413314E-04
  2.0928001E+00    1.9540843E-04
  2.0930002E+00    1.8661923E-04
  2.0932000E+00    1.2923467E-04
  2.0934000E+00    1.8695820E-04
  2.0936003E+00    2.0342547E-04
  2.0938001E+00    2.2372584E-04
  2.0940001E+00    1.8844237E-04
  2.0942001E+00    2.0803500E-04
  2.0943999E+00    1.8693246E-04
  2.0946002E+00    2.3943676E-04
  2.0948002E+00    2.3244215E-04
  2.0950000E+00    2.3293719E-04
  2.0952001E+00    2.4353989E-04
  2.0954001E+00    2.6810158E-04
  2.0956001E+00    2.6728003E-04
  2.0958002E+00    2.5780310E-04
  2.0960002E+00    2.7509072E-04
  2.0962000E+00    2.8940965E-04
  2.0964000E+00    3.1356816E-04
  2.0966003E+00    3.2697324E-04
  2.0968001E+00    3.1876354E-04
  2.0970001E+00    3.5028628E-04
  2.0972002E+00    3.4341478E-04
  2.0974000E+00    3.4668564E-04
  2.0976002E+00    3.9943750E-04
  2.0978003E+00    3.8152144E-04
  2.0980000E+00    3.6306176E-04
  2.0982001E+00    3.8705708E-04
  2.0984001E+00    4.6470796E-04
  2.0986001E+00    4.5050768E-04
  2.0988002E+00    4.4294537E-04
  2.0990002E+00    4.8725234E-04
  2.0992000E+00    4.8202151E-04
  2.0994000E+00    4.9145683E-04
  2.0996003E+00    5.3036539E-04
  2.0998001E+00    5.7963311E-04
  2.1000001E+00    5.7123648E-04
  2.1001999E+00    5.7938695E-04
  2.1004000E+00    6.4248411E-04
  2.1006002E+00    6.1943248E-04
  2.1008000E+00    6.2957959E-04
  2.1010001E+00    7.1885367E-04
  2.1012001E+00    6.7083363E-04
  2.1013999E+00    7.5638999E-04
  2.1016002E+00    7.2573929E-04
  2.1018002E+00    8.0073188E-04
  2.1020000E+00    8.0840936E-04
  2.1022000E+00    8.5083762E-04
  2.1024001E+00    8.7465235E-04
  2.1026001E+00    8.8777894E-04
  2.1028001E+00    1.0069552E-03
  2.1030002E+00    1.0003044E-03
  2.1032000E+00    1.0319315E-03
  2.1034000E+00    1.0682023E-03
  2.1036003E+00    1.1665922E-03
  2.1038001E+00    1.1741644E-03
  2.1040001E+00    1.2345219E-03
  2.1042001E+00    1.2158257E-03
  2.1043999E+00    1.3318358E-03
  2.1046002E+00    1.3991315E-03
  2.1048002E+00    1.4332767E-03
  2.1050000E+00    1.4802417E-03
  2.1052001E+00    1.5439150E-03
  2.1054001E+00    1.5933084E-03
  2.1056001E+00    1.6979055E-03
  2.1058002E+00    1.7170056E-03
  2.1060002E+00    1.8057914E-03
  2.1062000E+00    1.9070670E-03
  2.1064000E+00    2.0324294E-03
  2.1066003E+00    2.0910057E-03
  2.1068001E+00    2.2131049E-03
  2.1070001E+00    2.2853161E-03
  2.1072001E+00    2.4632239E-03
  2.1073999E+00    2.5596905E-03
  2.1076002E+00    2.5931806E-03
  2.1078002E+00    2.7187017E-03
  2.1080000E+00    2.8965320E-03
  2.1082001E+00    3.0586298E-03
  2.1084001E+00    3.1672427E-03
  2.1086001E+00    3.3214348E-03
  2.1088002E+00    3.5183046E-03
  2.1090002E+00    3.7100753E-03
  2.1092000E+00    3.8794123E-03
  2.1094000E+00    4.0774443E-03
  2.1096003E+00    4.2674071E-03
  2.1098001E+00    4.5500109E-03
  2.1100001E+00    4.7434685E-03
  2.1102002E+00    5.0033526E-03
  2.1104000E+00    5.2172542E-03
  2.1106002E+00    5.5702361E-03
  2.1108003E+00    5.8680535E-03
  2.1110001E+00    6.1682109E-03
  2.1112001E+00    6.4855274E-03
  2.1113999E+00    6.9191745E-03
  2.1116002E+00    7.3258695E-03
  2.1118002E+00    7.6898732E-03
  2.1120000E+00    8.1676701E-03
  2.1122000E+00    8.6055305E-03
  2.1124001E+00    9.2106853E-03
  2.1126001E+00    9.7040487E-03
  2.1128001E+00    1.0249441E-02
  2.1130002E+00    1.0858770E-02
  2.1131999E+00    1.1651933E-02
  2.1134000E+00    1.2297771E-02
  2.1136003E+00    1.3136048E-02
  2.1138000E+00    1.3904518E-02
  2.1140001E+00    1.4859442E-02
  2.1142001E+00    1.5862238E-02
  2.1143999E+00    1.6901229E-02
  2.1146002E+00    1.7984908E-02
  2.1148002E+00    1.9204248E-02
  2.1150000E+00    2.0739140E-02
  2.1152000E+00    2.1984205E-02
  2.1154001E+00    2.3554247E-02
  2.1156001E+00    2.4979077E-02
  2.1158001E+00    2.7178900E-02
  2.1160002E+00    2.8838227E-02
  2.1162000E+00    3.0877236E-02
  2.1164000E+00    3.2965917E-02
  2.1166003E+00    3.5798810E-02
  2.1168001E+00    3.8333640E-02
  2.1170001E+00    4.1077908E-02
  2.1172001E+00    4.4258371E-02
  2.1173999E+00    4.7578532E-02
  2.1176002E+00    5.1629569E-02
  2.1178002E+00    5.5155899E-02
  2.1180000E+00    5.9410486E-02
  2.1182001E+00    6.3437954E-02
  2.1184001E+00    6.9384612E-02
  2.1186001E+00    7.3935643E-02
  2.1188002E+00    7.9777859E-02
  2.1190002E+00    8.4975764E-02
  2.1192000E+00    9.2712693E-02
  2.1194000E+00    9.9311084E-02
  2.1196003E+00    1.0652241E-01
  2.1198001E+00    1.1423583E-01
  2.1200001E+00    1.2340856E-01
  2.1202002E+00    1.3315970E-01
  2.1204000E+00    1.4206453E-01
  2.1206002E+00    1.5257865E-01
  2.1208003E+00    1.6220284E-01
  2.1210001E+00    1.7582512E-01
  2.1212001E+00    1.8619829E-01
  2.1214001E+00    1.9882429E-01
  2.1216002E+00    2.1030180E-01
  2.1218002E+00    2.2695953E-01
  2.1220002E+00    2.4047275E-01
  2.1222000E+00    2.5510755E-01
  2.1224000E+00    2.7035847E-01
  2.1226003E+00    2.8743750E-01
  2.1228001E+00    3.0523917E-01
  2.1230001E+00    3.2043305E-01
  2.1231999E+00    3.3836466E-01
  2.1234000E+00    3.5517520E-01
  2.1236002E+00    3.7688375E-01
  2.1238000E+00    3.9360791E-01
  2.1240001E+00    4.1347936E-01
  2.1242001E+00    4.3076214E-01
  2.1243999E+00    4.5404106E-01
  2.1246002E+00    4.7244161E-01
  2.1248002E+00    4.9164885E-01
  2.1250000E+00    5.1097596E-01
  2.1252000E+00    5.3313798E-01
  2.1254001E+00    5.5456281E-01
  2.1256001E+00    5.7335436E-01
  2.1258001E+00    5.9379905E-01
  2.1260002E+00    6.1230099E-01
  2.1262000E+00    6.3544279E-01
  2.1264000E+00    6.5221643E-01
  2.1266003E+00    6.7100972E-01
  2.1268001E+00    6.8709773E-01
  2.1270001E+00    7.0895642E-01
  2.1272001E+00    7.2533953E-01
  2.1273999E+00    7.4263066E-01
  2.1276002E+00    7.5796771E-01
  2.1278002E+00    7.7599418E-01
  2.1280000E+00    7.9211295E-01
  2.1282001E+00    8.0589700E-01
  2.1284001E+00    8.1963277E-01
  2.1286001E+00    8.3334303E-01
  2.1288002E+00    8.4833807E-01
  2.1290002E+00    8.5876608E-01
  2.1292000E+00    8.7081116E-01
  2.1294000E+00    8.8048571E-01
  2.1296003E+00    8.9275563E-01
  2.1298001E+00    9.0140307E-01
  2.1300001E+00    9.1022605E-01
  2.1302001E+00    9.1812140E-01
  2.1303999E+00    9.2685157E-01
  2.1306002E+00    9.3433142E-01
  2.1308002E+00    9.4049865E-01
  2.1310000E+00    9.4644040E-01
  2.1312001E+00    9.5206922E-01
  2.1314001E+00    9.5795953E-01
  2.1316001E+00    9.6180636E-01
  2.1318002E+00    9.6600693E-01
  2.1320002E+00    9.6952373E-01
