# wave[microns]    norm_trans
  2.0700002E+00    1.3826457E-04
  2.0702000E+00    1.4470749E-04
  2.0704000E+00    1.5385222E-04
  2.0706003E+00    1.4103895E-04
  2.0708001E+00    1.4637105E-04
  2.0710001E+00    1.7300023E-04
  2.0712001E+00    1.3315899E-04
  2.0713999E+00    1.8146768E-04
  2.0716002E+00    2.0152955E-04
  2.0718002E+00    1.8422933E-04
  2.0720000E+00    2.1882883E-04
  2.0722001E+00    1.9031686E-04
  2.0724001E+00    1.8145578E-04
  2.0726001E+00    2.4435294E-04
  2.0728002E+00    2.3423095E-04
  2.0730002E+00    2.6207528E-04
  2.0732000E+00    2.8079015E-04
  2.0734000E+00    2.8968012E-04
  2.0736003E+00    2.6867157E-04
  2.0738001E+00    3.1130877E-04
  2.0740001E+00    3.2948193E-04
  2.0742002E+00    3.3673210E-04
  2.0743999E+00    3.0909784E-04
  2.0746002E+00    3.6996815E-04
  2.0748003E+00    3.7058437E-04
  2.0750000E+00    3.7444429E-04
  2.0752001E+00    4.1354279E-04
  2.0754001E+00    4.3765892E-04
  2.0756001E+00    4.4325745E-04
  2.0758002E+00    5.0611590E-04
  2.0760002E+00    4.8359184E-04
  2.0762000E+00    5.1909953E-04
  2.0764000E+00    5.1618810E-04
  2.0766003E+00    5.2288832E-04
  2.0768001E+00    5.7000166E-04
  2.0770001E+00    5.9315568E-04
  2.0771999E+00    6.3015177E-04
  2.0774000E+00    6.6918117E-04
  2.0776002E+00    6.7361986E-04
  2.0778000E+00    7.2402478E-04
  2.0780001E+00    7.6188578E-04
  2.0782001E+00    7.7971676E-04
  2.0783999E+00    8.0913649E-04
  2.0786002E+00    8.1597682E-04
  2.0788002E+00    8.9094287E-04
  2.0790000E+00    9.3063642E-04
  2.0792000E+00    9.8334008E-04
  2.0794001E+00    1.0500023E-03
  2.0796001E+00    1.1178576E-03
  2.0798001E+00    1.1663758E-03
  2.0800002E+00    1.2270387E-03
  2.0802000E+00    1.2710926E-03
  2.0804000E+00    1.3363677E-03
  2.0806003E+00    1.3696331E-03
  2.0808001E+00    1.4436189E-03
  2.0810001E+00    1.5162241E-03
  2.0812001E+00    1.6054659E-03
  2.0813999E+00    1.6766282E-03
  2.0816002E+00    1.7880922E-03
  2.0818002E+00    1.8447180E-03
  2.0820000E+00    1.9575502E-03
  2.0822001E+00    2.0828214E-03
  2.0824001E+00    2.1677297E-03
  2.0826001E+00    2.2661628E-03
  2.0828001E+00    2.3694588E-03
  2.0830002E+00    2.5195300E-03
  2.0832000E+00    2.6387698E-03
  2.0834000E+00    2.7509469E-03
  2.0836003E+00    2.8738533E-03
  2.0838001E+00    3.0733638E-03
  2.0840001E+00    3.2297862E-03
  2.0842001E+00    3.4083368E-03
  2.0843999E+00    3.5732640E-03
  2.0846002E+00    3.7624331E-03
  2.0848002E+00    3.9584497E-03
  2.0850000E+00    4.1542398E-03
  2.0852001E+00    4.4335006E-03
  2.0854001E+00    4.6278425E-03
  2.0856001E+00    4.9559912E-03
  2.0858002E+00    5.1067583E-03
  2.0860002E+00    5.4439316E-03
  2.0862000E+00    5.7069906E-03
  2.0864000E+00    6.0636275E-03
  2.0866003E+00    6.3760877E-03
  2.0868001E+00    6.7373263E-03
  2.0870001E+00    7.1163592E-03
  2.0872002E+00    7.5474363E-03
  2.0874000E+00    7.9825083E-03
  2.0876002E+00    8.4164925E-03
  2.0878003E+00    8.9331828E-03
  2.0880001E+00    9.3851723E-03
  2.0882001E+00    1.0037074E-02
  2.0883999E+00    1.0540254E-02
  2.0886002E+00    1.1175064E-02
  2.0888002E+00    1.1723465E-02
  2.0890000E+00    1.2594261E-02
  2.0892000E+00    1.3331844E-02
  2.0894001E+00    1.4108315E-02
  2.0896001E+00    1.4887899E-02
  2.0898001E+00    1.5904782E-02
  2.0900002E+00    1.6962709E-02
  2.0901999E+00    1.7876588E-02
  2.0904000E+00    1.9062368E-02
  2.0906003E+00    2.0197589E-02
  2.0908000E+00    2.1685410E-02
  2.0910001E+00    2.2909787E-02
  2.0912001E+00    2.4417713E-02
  2.0913999E+00    2.5762310E-02
  2.0916002E+00    2.7827302E-02
  2.0918002E+00    2.9496308E-02
  2.0920000E+00    3.1337325E-02
  2.0922000E+00    3.3308141E-02
  2.0924001E+00    3.5820611E-02
  2.0926001E+00    3.8261790E-02
  2.0928001E+00    4.0733967E-02
  2.0930002E+00    4.3545950E-02
  2.0932000E+00    4.6439715E-02
  2.0934000E+00    5.0240062E-02
  2.0936003E+00    5.3210165E-02
  2.0938001E+00    5.6865182E-02
  2.0940001E+00    6.0414858E-02
  2.0942001E+00    6.5431178E-02
  2.0943999E+00    6.9630310E-02
  2.0946002E+00    7.4499376E-02
  2.0948002E+00    7.9196975E-02
  2.0950000E+00    8.5606828E-02
  2.0952001E+00    9.1768220E-02
  2.0954001E+00    9.7551718E-02
  2.0956001E+00    1.0448077E-01
  2.0958002E+00    1.1164243E-01
  2.0960002E+00    1.2041156E-01
  2.0962000E+00    1.2752751E-01
  2.0964000E+00    1.3642369E-01
  2.0966003E+00    1.4458905E-01
  2.0968001E+00    1.5625572E-01
  2.0970001E+00    1.6541065E-01
  2.0972002E+00    1.7587766E-01
  2.0974000E+00    1.8633753E-01
  2.0976002E+00    2.0007451E-01
  2.0978003E+00    2.1259521E-01
  2.0980000E+00    2.2505586E-01
  2.0982001E+00    2.3830198E-01
  2.0984001E+00    2.5306979E-01
  2.0986001E+00    2.6959911E-01
  2.0988002E+00    2.8308830E-01
  2.0990002E+00    2.9927057E-01
  2.0992000E+00    3.1410009E-01
  2.0994000E+00    3.3415347E-01
  2.0996003E+00    3.4951314E-01
  2.0998001E+00    3.6758399E-01
  2.1000001E+00    3.8368326E-01
  2.1001999E+00    4.0487710E-01
  2.1004000E+00    4.2362860E-01
  2.1006002E+00    4.4207948E-01
  2.1008000E+00    4.6057215E-01
  2.1010001E+00    4.8188755E-01
  2.1012001E+00    5.0339639E-01
  2.1013999E+00    5.2122611E-01
  2.1016002E+00    5.4190367E-01
  2.1018002E+00    5.5978197E-01
  2.1020000E+00    5.8352453E-01
  2.1022000E+00    6.0009289E-01
  2.1024001E+00    6.2022424E-01
  2.1026001E+00    6.3755786E-01
  2.1028001E+00    6.5995121E-01
  2.1030002E+00    6.7804843E-01
  2.1032000E+00    6.9610840E-01
  2.1034000E+00    7.1320045E-01
  2.1036003E+00    7.3276579E-01
  2.1038001E+00    7.5137323E-01
  2.1040001E+00    7.6616150E-01
  2.1042001E+00    7.8261745E-01
  2.1043999E+00    7.9745299E-01
  2.1046002E+00    8.1545383E-01
  2.1048002E+00    8.2738930E-01
  2.1050000E+00    8.4190893E-01
  2.1052001E+00    8.5340112E-01
  2.1054001E+00    8.6809742E-01
  2.1056001E+00    8.7910491E-01
  2.1058002E+00    8.9020538E-01
  2.1060002E+00    9.0014809E-01
  2.1062000E+00    9.1084057E-01
  2.1064000E+00    9.2073911E-01
  2.1066003E+00    9.2876929E-01
  2.1068001E+00    9.3662345E-01
  2.1070001E+00    9.4370532E-01
  2.1072001E+00    9.5175165E-01
  2.1073999E+00    9.5700037E-01
