# wave[microns]    norm_trans
  6.9000006E-01    0.0000000E+00
  6.9500005E-01    1.1325029E-03
  7.0000005E-01    3.3975085E-03
  7.0500004E-01    9.0600234E-03
  7.1000004E-01    3.2842580E-02
  7.1500003E-01    1.4609286E-01
  7.2000003E-01    5.2774632E-01
  7.2500002E-01    8.6976218E-01
  7.3000002E-01    9.7734988E-01
  7.3500001E-01    9.9660248E-01
  7.4000001E-01    9.9660248E-01
  7.4500006E-01    9.8754245E-01
  7.5000006E-01    9.8187989E-01
  7.5500005E-01    9.8414499E-01
  7.6000005E-01    9.9433750E-01
  7.6500005E-01    1.0000000E+00
  7.7000004E-01    9.9433750E-01
  7.7500004E-01    9.7848243E-01
  7.8000003E-01    9.6489239E-01
  7.8500003E-01    9.6602488E-01
  7.9000002E-01    9.7734988E-01
  7.9500002E-01    9.7395241E-01
  8.0000001E-01    9.4677240E-01
  8.0500007E-01    9.1959226E-01
  8.1000006E-01    9.1732728E-01
  8.1500006E-01    9.3544728E-01
  8.2000005E-01    9.5809740E-01
  8.2500005E-01    9.7168738E-01
  8.3000004E-01    9.8074740E-01
  8.3500004E-01    9.8527747E-01
  8.4000003E-01    9.8640996E-01
  8.4500003E-01    9.7961491E-01
  8.5000002E-01    9.7055489E-01
  8.5500002E-01    9.6375990E-01
  8.6000001E-01    9.5696491E-01
  8.6500007E-01    9.4903737E-01
  8.7000006E-01    9.4337487E-01
  8.7500006E-01    9.3431479E-01
  8.8000005E-01    9.1053230E-01
  8.8500005E-01    8.5843712E-01
  8.9000005E-01    7.4858439E-01
  8.9500004E-01    5.4473388E-01
  9.0000004E-01    3.2616079E-01
  9.0500003E-01    1.5402038E-01
  9.1000003E-01    7.3612683E-02
  9.1500002E-01    3.6240093E-02
  9.2000002E-01    1.8120047E-02
  9.2500007E-01    1.0192525E-02
  9.3000007E-01    5.6625139E-03
  9.3500006E-01    3.3975085E-03
  9.4000006E-01    2.2650058E-03
  9.4500005E-01    1.1325029E-03
  9.5000005E-01    7.9275202E-03
  9.5500004E-01    1.1325029E-03
  9.6000004E-01    0.0000000E+00
