# wave[microns]    norm_trans
  4.4000003E-01    0.0000000E+00
  4.5000002E-01    1.1695906E-03
  4.6000001E-01    1.1695906E-03
  4.7000003E-01    7.4853800E-02
  4.8000002E-01    5.9532166E-01
  4.9000001E-01    8.9941519E-01
  5.0000000E-01    9.8011696E-01
  5.1000005E-01    1.0000000E+00
  5.2000004E-01    9.9766076E-01
  5.3000003E-01    9.8011696E-01
  5.4000002E-01    9.4619882E-01
  5.5000001E-01    8.9122808E-01
  5.6000000E-01    8.1403506E-01
  5.7000005E-01    7.1345031E-01
  5.8000004E-01    5.9532166E-01
  5.9000003E-01    4.6666664E-01
  6.0000002E-01    3.4269008E-01
  6.1000001E-01    2.3040935E-01
  6.2000000E-01    1.4502923E-01
  6.3000005E-01    8.3040938E-02
  6.4000005E-01    4.3274853E-02
  6.5000004E-01    2.1052631E-02
  6.6000003E-01    9.3567250E-03
  6.7000002E-01    3.5087718E-03
  6.8000001E-01    1.1695906E-03
  6.9000006E-01    0.0000000E+00
