# wave[microns]    norm_trans
  6.7000002E-01    0.0000000E+00
  6.7100000E-01    0.0000000E+00
  6.7200005E-01    0.0000000E+00
  6.7300004E-01    1.0309279E-03
  6.7400002E-01    2.0618557E-03
  6.7500001E-01    5.1546390E-03
  6.7600006E-01    8.2474230E-03
  6.7700005E-01    1.2371134E-02
  6.7800003E-01    1.9587629E-02
  6.7900002E-01    2.9896906E-02
  6.8000001E-01    4.4329897E-02
  6.8100005E-01    6.1855666E-02
  6.8200004E-01    8.3505154E-02
  6.8300003E-01    1.1340206E-01
  6.8400002E-01    1.5051545E-01
  6.8500006E-01    1.8556701E-01
  6.8600005E-01    2.1958762E-01
  6.8700004E-01    2.6185566E-01
  6.8800002E-01    3.1030926E-01
  6.8900001E-01    3.5463917E-01
  6.9000006E-01    3.9381441E-01
  6.9100004E-01    4.2989689E-01
  6.9200003E-01    4.7010309E-01
  6.9300002E-01    5.1649481E-01
  6.9400001E-01    5.5876285E-01
  6.9500005E-01    5.9278345E-01
  6.9600004E-01    6.3092780E-01
  6.9700003E-01    6.7628866E-01
  6.9800001E-01    7.1134019E-01
  6.9900006E-01    7.3298967E-01
  7.0000005E-01    7.5154632E-01
  7.0100003E-01    7.7113402E-01
  7.0200002E-01    7.9072165E-01
  7.0300001E-01    8.1030929E-01
  7.0400006E-01    8.2680410E-01
  7.0500004E-01    8.4123707E-01
  7.0600003E-01    8.5463917E-01
  7.0700002E-01    8.6701030E-01
  7.0800000E-01    8.7731957E-01
  7.0900005E-01    8.8659793E-01
  7.1000004E-01    8.9793813E-01
  7.1100003E-01    9.0824735E-01
  7.1200001E-01    9.1649485E-01
  7.1300006E-01    9.2371136E-01
  7.1400005E-01    9.3092781E-01
  7.1500003E-01    9.3711334E-01
  7.1600002E-01    9.4329894E-01
  7.1700001E-01    9.4845361E-01
  7.1800005E-01    9.5257729E-01
  7.1900004E-01    9.5567006E-01
  7.2000003E-01    9.5876288E-01
  7.2100002E-01    9.6082467E-01
  7.2200006E-01    9.6288657E-01
  7.2300005E-01    9.6391749E-01
  7.2400004E-01    9.6597934E-01
  7.2500002E-01    9.6701032E-01
  7.2600001E-01    9.6907216E-01
  7.2700006E-01    9.7113395E-01
  7.2800004E-01    9.7422677E-01
  7.2900003E-01    9.7628868E-01
  7.3000002E-01    9.7835046E-01
  7.3100001E-01    9.7938138E-01
  7.3200005E-01    9.8041230E-01
  7.3300004E-01    9.8247421E-01
  7.3400003E-01    9.8453605E-01
  7.3500001E-01    9.8556697E-01
  7.3600006E-01    9.8762882E-01
  7.3700005E-01    9.8762882E-01
  7.3800004E-01    9.8865974E-01
  7.3900002E-01    9.8762882E-01
