# wave[microns]    norm_trans
  8.1500006E-01    0.0000000E+00
  8.1600004E-01    0.0000000E+00
  8.1700003E-01    1.0460252E-03
  8.1800002E-01    2.0920504E-03
  8.1900007E-01    3.1380753E-03
  8.2000005E-01    4.1841008E-03
  8.2100004E-01    4.1841008E-03
  8.2200003E-01    5.2301255E-03
  8.2300001E-01    6.2761507E-03
  8.2400006E-01    8.3682016E-03
  8.2500005E-01    1.0460251E-02
  8.2600003E-01    1.2552301E-02
  8.2700002E-01    1.4644353E-02
  8.2800007E-01    1.8828452E-02
  8.2900006E-01    2.4058579E-02
  8.3000004E-01    3.3472806E-02
  8.3100003E-01    4.7071133E-02
  8.3200002E-01    6.5899588E-02
  8.3300006E-01    8.8912137E-02
  8.3400005E-01    1.1924686E-01
  8.3500004E-01    1.6108787E-01
  8.3600003E-01    2.1966527E-01
  8.3700001E-01    3.0125523E-01
  8.3800006E-01    4.1213390E-01
  8.3900005E-01    5.3033477E-01
  8.4000003E-01    6.4016736E-01
  8.4100002E-01    7.4267781E-01
  8.4200007E-01    8.3786613E-01
  8.4300005E-01    9.0690380E-01
  8.4400004E-01    9.4665271E-01
  8.4500003E-01    9.6652722E-01
  8.4600002E-01    9.7384942E-01
  8.4700006E-01    9.7594148E-01
  8.4800005E-01    9.7594148E-01
  8.4900004E-01    9.7384942E-01
  8.5000002E-01    9.7384942E-01
  8.5100001E-01    9.7803348E-01
  8.5200006E-01    9.8012555E-01
  8.5300004E-01    9.8012555E-01
  8.5400003E-01    9.8221761E-01
  8.5500002E-01    9.8744774E-01
  8.5600007E-01    9.9163187E-01
  8.5700005E-01    9.9267787E-01
  8.5800004E-01    9.9581593E-01
  8.5900003E-01    9.9895400E-01
  8.6000001E-01    1.0000000E+00
  8.6100006E-01    9.9895400E-01
  8.6200005E-01    9.9790800E-01
  8.6300004E-01    9.9686199E-01
  8.6400002E-01    9.9163187E-01
  8.6500007E-01    9.8953974E-01
  8.6600006E-01    9.9058580E-01
  8.6700004E-01    9.9163187E-01
  8.6800003E-01    9.8953974E-01
  8.6900002E-01    9.8953974E-01
  8.7000006E-01    9.9058580E-01
  8.7100005E-01    9.9058580E-01
  8.7200004E-01    9.8953974E-01
  8.7300003E-01    9.8640174E-01
  8.7400001E-01    9.8326361E-01
  8.7500006E-01    9.8221761E-01
  8.7600005E-01    9.8535568E-01
  8.7700003E-01    9.9267787E-01
  8.7800002E-01    9.9686199E-01
  8.7900007E-01    9.9581593E-01
  8.8000005E-01    9.9058580E-01
  8.8100004E-01    9.8326361E-01
  8.8200003E-01    9.8012555E-01
  8.8300002E-01    9.7907954E-01
  8.8400006E-01    9.7803348E-01
  8.8500005E-01    9.7594148E-01
  8.8600004E-01    9.7489542E-01
