# wave[microns]    norm_trans
  6.1000001E-01    1.4339793E-04
  6.1100000E-01    2.0139455E-04
  6.1200005E-01    2.9099869E-04
  6.1300004E-01    4.1670978E-04
  6.1400002E-01    6.1740261E-04
  6.1500001E-01    9.4769662E-04
  6.1600006E-01    1.4628009E-03
  6.1700004E-01    2.3610760E-03
  6.1800003E-01    3.9888001E-03
  6.1900002E-01    6.8700095E-03
  6.2000000E-01    1.2042536E-02
  6.2100005E-01    1.8850436E-02
  6.2200004E-01    3.0535264E-02
  6.2300003E-01    4.9443066E-02
  6.2400001E-01    7.8379981E-02
  6.2500000E-01    1.2019399E-01
  6.2600005E-01    1.7675820E-01
  6.2700003E-01    2.4869074E-01
  6.2800002E-01    3.3421773E-01
  6.2900001E-01    4.3006912E-01
  6.3000005E-01    5.3032273E-01
  6.3100004E-01    6.2972367E-01
  6.3200003E-01    7.2238439E-01
  6.3300002E-01    8.0234867E-01
  6.3400000E-01    8.6814672E-01
  6.3500005E-01    9.1835880E-01
  6.3600004E-01    9.5554179E-01
  6.3700002E-01    9.7945768E-01
  6.3800001E-01    9.9338388E-01
  6.3900006E-01    9.9236590E-01
  6.4000005E-01    9.7917229E-01
  6.4100003E-01    9.5518047E-01
  6.4200002E-01    9.3278843E-01
  6.4300001E-01    9.1864520E-01
  6.4400005E-01    9.1232991E-01
  6.4500004E-01    9.1185182E-01
  6.4600003E-01    9.1391039E-01
  6.4700001E-01    9.1884029E-01
  6.4800000E-01    9.2377681E-01
  6.4900005E-01    9.2759168E-01
  6.5000004E-01    9.3184167E-01
  6.5100002E-01    9.3484265E-01
  6.5200001E-01    9.3664432E-01
  6.5300006E-01    9.3797410E-01
  6.5400004E-01    9.3893963E-01
  6.5500003E-01    9.3979859E-01
  6.5600002E-01    9.4152671E-01
  6.5700001E-01    9.4287658E-01
  6.5800005E-01    9.4551396E-01
  6.5900004E-01    9.4704115E-01
  6.6000003E-01    9.5010734E-01
  6.6100001E-01    9.5229113E-01
  6.6200006E-01    9.5502138E-01
  6.6300005E-01    9.5718020E-01
  6.6400003E-01    9.6039212E-01
  6.6500002E-01    9.6359146E-01
  6.6600001E-01    9.6696091E-01
  6.6700006E-01    9.6995175E-01
  6.6800004E-01    9.7219843E-01
  6.6900003E-01    9.7401202E-01
  6.7000002E-01    9.7567809E-01
  6.7100000E-01    9.7829980E-01
  6.7200005E-01    9.7909105E-01
  6.7300004E-01    9.8183262E-01
  6.7400002E-01    9.8272133E-01
  6.7500001E-01    9.8320580E-01
  6.7600006E-01    9.8309571E-01
  6.7700005E-01    9.8340428E-01
  6.7800003E-01    9.8390073E-01
  6.7900002E-01    9.8420745E-01
  6.8000001E-01    9.8362881E-01
  6.8100005E-01    9.8288995E-01
  6.8200004E-01    9.8182815E-01
  6.8300003E-01    9.8116291E-01
  6.8400002E-01    9.8067403E-01
  6.8500006E-01    9.8064488E-01
  6.8600005E-01    9.8070616E-01
  6.8700004E-01    9.8090082E-01
  6.8800002E-01    9.8130840E-01
  6.8900001E-01    9.8272431E-01
  6.9000006E-01    9.8275959E-01
  6.9100004E-01    9.8406172E-01
  6.9200003E-01    9.8612982E-01
  6.9300002E-01    9.8494983E-01
  6.9400001E-01    9.8671925E-01
  6.9500005E-01    9.8689079E-01
  6.9600004E-01    9.8812926E-01
  6.9700003E-01    9.8888135E-01
  6.9800001E-01    9.8950738E-01
  6.9900006E-01    9.9101090E-01
  7.0000005E-01    9.9144953E-01
  7.0100003E-01    9.9195063E-01
  7.0200002E-01    9.9036252E-01
  7.0300001E-01    9.9030769E-01
  7.0400006E-01    9.9154818E-01
  7.0500004E-01    9.9167478E-01
  7.0600003E-01    9.9176812E-01
  7.0700002E-01    9.9061775E-01
  7.0800000E-01    9.8940420E-01
  7.0900005E-01    9.8852211E-01
  7.1000004E-01    9.8822379E-01
  7.1100003E-01    9.8760056E-01
  7.1200001E-01    9.8668319E-01
  7.1300006E-01    9.8562604E-01
  7.1400005E-01    9.8509371E-01
  7.1500003E-01    9.8362559E-01
  7.1600002E-01    9.8340642E-01
  7.1700001E-01    9.8339731E-01
  7.1800005E-01    9.8252928E-01
  7.1900004E-01    9.8242432E-01
  7.2000003E-01    9.8424977E-01
  7.2100002E-01    9.8322237E-01
  7.2200006E-01    9.8358428E-01
  7.2300005E-01    9.8389363E-01
  7.2400004E-01    9.8645508E-01
  7.2500002E-01    9.8677737E-01
  7.2600001E-01    9.8997563E-01
  7.2700006E-01    9.9089402E-01
  7.2800004E-01    9.9145621E-01
  7.2900003E-01    9.9316216E-01
  7.3000002E-01    9.9409038E-01
  7.3100001E-01    9.9655217E-01
  7.3200005E-01    9.9736702E-01
  7.3300004E-01    9.9875200E-01
  7.3400003E-01    9.9956286E-01
  7.3500001E-01    1.0000000E+00
  7.3600006E-01    9.9925297E-01
  7.3700005E-01    9.9890733E-01
  7.3800004E-01    9.9964523E-01
  7.3900002E-01    9.9994713E-01
  7.4000001E-01    9.9930716E-01
  7.4100006E-01    9.9802732E-01
  7.4200004E-01    9.9696678E-01
  7.4300003E-01    9.9657005E-01
  7.4400002E-01    9.9515015E-01
  7.4500006E-01    9.9494040E-01
  7.4600005E-01    9.9338531E-01
  7.4700004E-01    9.9277431E-01
  7.4800003E-01    9.9357516E-01
  7.4900001E-01    9.9319196E-01
  7.5000006E-01    9.9251759E-01
  7.5100005E-01    9.9301374E-01
  7.5200003E-01    9.9373454E-01
  7.5300002E-01    9.9280852E-01
  7.5400001E-01    9.9305761E-01
  7.5500005E-01    9.9478656E-01
