# wave[microns]    norm_trans
  5.5400002E-01    4.8455920E-05
  5.5500001E-01    5.4659369E-05
  5.5600005E-01    6.2527752E-06
  5.5700004E-01    7.8067187E-06
  5.5800003E-01    3.8848601E-05
  5.5900002E-01    3.5691381E-05
  5.6000000E-01    1.2406887E-05
  5.6100005E-01    3.5580386E-05
  5.6200004E-01    3.5543388E-05
  5.6300002E-01    5.0922499E-05
  5.6400001E-01    8.0250109E-05
  5.6500000E-01    3.1078880E-06
  5.6600004E-01    6.1541118E-06
  5.6700003E-01    6.2638741E-05
  5.6800002E-01    6.9261507E-05
  5.6900001E-01    1.0041439E-04
  5.7000005E-01    7.3306699E-05
  5.7100004E-01    8.4233630E-05
  5.7200003E-01    5.2081788E-05
  5.7300001E-01    1.1523852E-04
  5.7400000E-01    1.2398254E-04
  5.7500005E-01    1.4399883E-04
  5.7600003E-01    1.7892556E-04
  5.7700002E-01    2.3052636E-04
  5.7800001E-01    2.6405949E-04
  5.7900006E-01    3.2738887E-04
  5.8000004E-01    4.5783384E-04
  5.8100003E-01    5.5861822E-04
  5.8200002E-01    7.9180853E-04
  5.8300000E-01    1.0828400E-03
  5.8400005E-01    1.4566376E-03
  5.8500004E-01    1.9693158E-03
  5.8600003E-01    2.7414779E-03
  5.8700001E-01    3.8109862E-03
  5.8800000E-01    5.3866361E-03
  5.8900005E-01    7.5804107E-03
  5.9000003E-01    1.0588772E-02
  5.9100002E-01    1.4774801E-02
  5.9200001E-01    2.0660056E-02
  5.9300005E-01    2.8358247E-02
  5.9400004E-01    3.8756102E-02
  5.9500003E-01    5.2224856E-02
  5.9600002E-01    6.9266438E-02
  5.9700000E-01    9.0354450E-02
  5.9800005E-01    1.1597479E-01
  5.9900004E-01    1.4612007E-01
  6.0000002E-01    1.8142915E-01
  6.0100001E-01    2.2059838E-01
  6.0200006E-01    2.6345518E-01
  6.0300004E-01    3.0972818E-01
  6.0400003E-01    3.5791278E-01
  6.0500002E-01    4.0749100E-01
  6.0600001E-01    4.5682257E-01
  6.0700005E-01    5.0583345E-01
  6.0800004E-01    5.5374676E-01
  6.0900003E-01    5.9920573E-01
  6.1000001E-01    6.4274091E-01
  6.1100000E-01    6.8325442E-01
  6.1200005E-01    7.2096837E-01
  6.1300004E-01    7.5580877E-01
  6.1400002E-01    7.8701097E-01
  6.1500001E-01    8.1573427E-01
  6.1600006E-01    8.4109068E-01
  6.1700004E-01    8.6379558E-01
  6.1800003E-01    8.8432986E-01
  6.1900002E-01    9.0183020E-01
  6.2000000E-01    9.1759163E-01
  6.2100005E-01    9.3125653E-01
  6.2200004E-01    9.4368798E-01
  6.2300003E-01    9.5392430E-01
  6.2400001E-01    9.6260673E-01
  6.2500000E-01    9.7067243E-01
  6.2600005E-01    9.7728276E-01
  6.2700003E-01    9.8251200E-01
  6.2800002E-01    9.8712450E-01
  6.2900001E-01    9.9082428E-01
  6.3000005E-01    9.9391991E-01
  6.3100004E-01    9.9639881E-01
  6.3200003E-01    9.9731141E-01
  6.3300002E-01    9.9855709E-01
  6.3400000E-01    9.9967933E-01
  6.3500005E-01    9.9985200E-01
  6.3600004E-01    1.0000000E+00
  6.3700002E-01    9.9946970E-01
  6.3800001E-01    9.9885303E-01
  6.3900006E-01    9.9761975E-01
  6.4000005E-01    9.9633718E-01
  6.4100003E-01    9.9456120E-01
  6.4200002E-01    9.9337721E-01
  6.4300001E-01    9.9163830E-01
  6.4400005E-01    9.8928267E-01
  6.4500004E-01    9.8721075E-01
  6.4600003E-01    9.8474425E-01
  6.4700001E-01    9.8198169E-01
  6.4800000E-01    9.7968769E-01
  6.4900005E-01    9.7729510E-01
  6.5000004E-01    9.7396529E-01
  6.5100002E-01    9.7135073E-01
  6.5200001E-01    9.6864980E-01
  6.5300006E-01    9.6506095E-01
  6.5400004E-01    9.6195304E-01
  6.5500003E-01    9.5920283E-01
  6.5600002E-01    9.5582360E-01
  6.5700001E-01    9.5207435E-01
  6.5800005E-01    9.4878149E-01
  6.5900004E-01    9.4583398E-01
  6.6000003E-01    9.4218349E-01
  6.6100001E-01    9.3844658E-01
  6.6200006E-01    9.3559766E-01
  6.6300005E-01    9.3191016E-01
  6.6400003E-01    9.2755657E-01
  6.6500002E-01    9.2410338E-01
  6.6600001E-01    9.2005819E-01
  6.6700006E-01    9.1660500E-01
  6.6800004E-01    9.1255987E-01
  6.6900003E-01    9.0885997E-01
  6.7000002E-01    9.0513539E-01
  6.7100000E-01    9.0084356E-01
  6.7200005E-01    8.9693403E-01
  6.7300004E-01    8.9293820E-01
  6.7400002E-01    8.8836265E-01
  6.7500001E-01    8.8432986E-01
  6.7600006E-01    8.7968040E-01
  6.7700005E-01    8.7527752E-01
  6.7800003E-01    8.7092394E-01
  6.7900002E-01    8.6627448E-01
  6.8000001E-01    8.6169904E-01
  6.8100005E-01    8.5686445E-01
  6.8200004E-01    8.5226434E-01
  6.8300003E-01    8.4757781E-01
  6.8400002E-01    8.4278029E-01
  6.8500006E-01    8.3782250E-01
  6.8600005E-01    8.3325940E-01
  6.8700004E-01    8.2833850E-01
  6.8800002E-01    8.2289970E-01
  6.8900001E-01    8.1822556E-01
  6.9000006E-01    8.1347740E-01
  6.9100004E-01    8.0842096E-01
  6.9200003E-01    8.0336440E-01
  6.9300002E-01    7.9820925E-01
  6.9400001E-01    7.9323912E-01
  6.9500005E-01    7.8823191E-01
  6.9600004E-01    7.8318781E-01
  6.9700003E-01    7.7784765E-01
  6.9800001E-01    7.7277887E-01
  6.9900006E-01    7.6763606E-01
  7.0000005E-01    7.6235753E-01
  7.0100003E-01    7.5695574E-01
  7.0200002E-01    7.5182527E-01
  7.0300001E-01    7.4652213E-01
  7.0400006E-01    7.4183565E-01
  7.0500004E-01    7.3635983E-01
  7.0600003E-01    7.3124170E-01
  7.0700002E-01    7.2598791E-01
  7.0800000E-01    7.2079569E-01
  7.0900005E-01    7.1529526E-01
  7.1000004E-01    7.1012777E-01
  7.1100003E-01    7.0489860E-01
  7.1200001E-01    6.9976819E-01
  7.1300006E-01    6.9456369E-01
  7.1400005E-01    6.8938386E-01
  7.1500003E-01    6.8395740E-01
  7.1600002E-01    6.7851853E-01
  7.1700001E-01    6.7335111E-01
  7.1800005E-01    6.6838092E-01
  7.1900004E-01    6.6321349E-01
  7.2000003E-01    6.5784866E-01
  7.2100002E-01    6.5280449E-01
  7.2200006E-01    6.4766169E-01
  7.2300005E-01    6.4209956E-01
  7.2400004E-01    6.3683343E-01
  7.2500002E-01    6.3157958E-01
  7.2600001E-01    6.2679446E-01
  7.2700006E-01    6.2135565E-01
  7.2800004E-01    6.1639780E-01
  7.2900003E-01    6.1109465E-01
  7.3000002E-01    6.0582852E-01
  7.3100001E-01    6.0063636E-01
  7.3200005E-01    5.9532088E-01
  7.3300004E-01    5.9007943E-01
  7.3400003E-01    5.8539295E-01
  7.3500001E-01    5.7984310E-01
  7.3600006E-01    5.7468796E-01
  7.3700005E-01    5.6975484E-01
  7.3800004E-01    5.6443936E-01
  7.3900002E-01    5.5935818E-01
  7.4000001E-01    5.5412906E-01
  7.4100006E-01    5.4906023E-01
  7.4200004E-01    5.4410243E-01
  7.4300003E-01    5.3892261E-01
  7.4400002E-01    5.3368109E-01
  7.4500006E-01    5.2836561E-01
  7.4600005E-01    5.2318585E-01
  7.4700004E-01    5.1798135E-01
  7.4800003E-01    5.1294953E-01
  7.4900001E-01    5.0823838E-01
  7.5000006E-01    5.0302154E-01
  7.5100005E-01    4.9789107E-01
  7.5200003E-01    4.9283457E-01
  7.5300002E-01    4.8770410E-01
  7.5400001E-01    4.8265997E-01
  7.5500005E-01    4.7777617E-01
  7.5600004E-01    4.7260866E-01
  7.5700003E-01    4.6757680E-01
  7.5800002E-01    4.6282867E-01
  7.5900006E-01    4.5741454E-01
  7.6000005E-01    4.5275268E-01
  7.6100004E-01    4.4783187E-01
  7.6200002E-01    4.4263971E-01
  7.6300001E-01    4.3790391E-01
  7.6400006E-01    4.3314338E-01
  7.6500005E-01    4.2813626E-01
  7.6600003E-01    4.2325243E-01
  7.6700002E-01    4.1855359E-01
  7.6800001E-01    4.1378075E-01
  7.6900005E-01    4.0913126E-01
  7.7000004E-01    4.0442011E-01
  7.7100003E-01    3.9970896E-01
  7.7200001E-01    3.9514577E-01
  7.7300006E-01    3.9022496E-01
  7.7400005E-01    3.8563710E-01
  7.7500004E-01    3.8095063E-01
  7.7600002E-01    3.7656012E-01
  7.7700001E-01    3.7189829E-01
  7.7800006E-01    3.6733511E-01
  7.7900004E-01    3.6277196E-01
  7.8000003E-01    3.5830742E-01
  7.8100002E-01    3.5392925E-01
  7.8200006E-01    3.4962508E-01
  7.8300005E-01    3.4523457E-01
  7.8400004E-01    3.4110308E-01
  7.8500003E-01    3.3657688E-01
  7.8600001E-01    3.3224806E-01
  7.8700006E-01    3.2793152E-01
  7.8800005E-01    3.2386169E-01
  7.8900003E-01    3.1961918E-01
  7.9000002E-01    3.1561098E-01
  7.9100001E-01    3.1154111E-01
  7.9200006E-01    3.0732328E-01
  7.9300004E-01    3.0314243E-01
  7.9400003E-01    2.9923290E-01
  7.9500002E-01    2.9524937E-01
  7.9600006E-01    2.9141384E-01
  7.9700005E-01    2.8756598E-01
  7.9800004E-01    2.8354546E-01
  7.9900002E-01    2.7864930E-01
  8.0000001E-01    2.7494943E-01
  8.0100006E-01    2.7111390E-01
  8.0200005E-01    2.6736471E-01
  8.0300003E-01    2.6381284E-01
  8.0400002E-01    2.6013765E-01
  8.0500007E-01    2.5661042E-01
  8.0600005E-01    2.5310791E-01
  8.0700004E-01    2.4950670E-01
  8.0800003E-01    2.4600415E-01
  8.0900002E-01    2.4258794E-01
  8.1000006E-01    2.3918405E-01
  8.1100005E-01    2.3580486E-01
  8.1200004E-01    2.3242564E-01
  8.1300002E-01    2.2910808E-01
  8.1400001E-01    2.2586453E-01
  8.1500006E-01    2.2244833E-01
  8.1600004E-01    2.1938977E-01
  8.1700003E-01    2.1615855E-01
  8.1800002E-01    2.1290268E-01
  8.1900007E-01    2.0979477E-01
  8.2000005E-01    2.0673624E-01
  8.2100004E-01    2.0350499E-01
  8.2200003E-01    2.0050810E-01
  8.2300001E-01    1.9752356E-01
  8.2400006E-01    1.9471166E-01
  8.2500005E-01    1.9181344E-01
  8.2600003E-01    1.8884121E-01
  8.2700002E-01    1.8589364E-01
  8.2800007E-01    1.8319274E-01
  8.2900006E-01    1.8035617E-01
  8.3000004E-01    1.7765526E-01
  8.3100003E-01    1.7495437E-01
  8.3200002E-01    1.7221646E-01
  8.3300006E-01    1.6950324E-01
  8.3400005E-01    1.6693799E-01
  8.3500004E-01    1.6433574E-01
  8.3600003E-01    1.6170885E-01
  8.3700001E-01    1.5925460E-01
  8.3800006E-01    1.5680036E-01
  8.3900005E-01    1.5427211E-01
  8.4000003E-01    1.5171921E-01
  8.4100002E-01    1.4948696E-01
  8.4200007E-01    1.4697105E-01
  8.4300005E-01    1.4468946E-01
  8.4400004E-01    1.4239554E-01
  8.4500003E-01    1.4007695E-01
  8.4600002E-01    1.3783237E-01
  8.4700006E-01    1.3558780E-01
  8.4800005E-01    1.3345420E-01
  8.4900004E-01    1.3128361E-01
  8.5000002E-01    1.2917468E-01
  8.5100001E-01    1.2700410E-01
  8.5200006E-01    1.2483350E-01
  8.5300004E-01    1.2279488E-01
  8.5400003E-01    1.2081792E-01
  8.5500002E-01    1.1876079E-01
  8.5600007E-01    1.1689236E-01
  8.5700005E-01    1.1494129E-01
  8.5800004E-01    1.1302722E-01
  8.5900003E-01    1.1113042E-01
  8.6000001E-01    1.0935450E-01
  8.6100006E-01    1.0742317E-01
  8.6200005E-01    1.0574713E-01
  8.6300004E-01    1.0394776E-01
  8.6400002E-01    1.0219648E-01
  8.6500007E-01    1.0052662E-01
  8.6600006E-01    9.8861672E-02
  8.6700004E-01    9.7211532E-02
  8.6800003E-01    9.5576197E-02
  8.6900002E-01    9.3992651E-02
  8.7000006E-01    9.2515171E-02
  8.7100005E-01    9.0848997E-02
  8.7200004E-01    8.9338213E-02
  8.7300003E-01    8.7911300E-02
  8.7400001E-01    8.6379558E-02
  8.7500006E-01    8.4910713E-02
  8.7600005E-01    8.3530657E-02
  8.7700003E-01    8.2100049E-02
  8.7800002E-01    8.0826059E-02
  8.7900007E-01    7.9368308E-02
  8.8000005E-01    7.8041293E-02
  8.8100004E-01    7.6722905E-02
  8.8200003E-01    7.5474821E-02
  8.8300002E-01    7.4121900E-02
  8.8400006E-01    7.2979875E-02
  8.8500005E-01    7.1659021E-02
  8.8600004E-01    7.0439301E-02
  8.8700002E-01    6.9294803E-02
  8.8800007E-01    6.8068914E-02
  8.8900006E-01    6.6955253E-02
  8.9000005E-01    6.5803364E-02
  8.9100003E-01    6.4700805E-02
  8.9200002E-01    6.3579746E-02
  8.9300007E-01    6.2520348E-02
  8.9400005E-01    6.1410390E-02
  8.9500004E-01    6.0418826E-02
  8.9600003E-01    5.9358198E-02
  8.9700001E-01    5.8339503E-02
  8.9800006E-01    5.7389867E-02
  8.9900005E-01    5.6337871E-02
  9.0000004E-01    5.5432636E-02
  9.0100002E-01    5.4529872E-02
  9.0200007E-01    5.3562973E-02
  9.0300006E-01    5.2689802E-02
  9.0400004E-01    5.1827736E-02
  9.0500003E-01    5.0870705E-02
  9.0600002E-01    5.0051801E-02
  9.0700006E-01    4.9192194E-02
  9.0800005E-01    4.8415225E-02
  9.0900004E-01    4.7526024E-02
  9.1000003E-01    4.6670120E-02
  9.1100007E-01    4.5962211E-02
  9.1200006E-01    4.5163039E-02
  9.1300005E-01    4.4430468E-02
  9.1400003E-01    4.3638695E-02
  9.1500002E-01    4.2936955E-02
  9.1600007E-01    4.2209312E-02
  9.1700006E-01    4.1468106E-02
  9.1800004E-01    4.0776230E-02
  9.1900003E-01    4.0047359E-02
  9.2000002E-01    3.9429478E-02
  9.2100006E-01    3.8790636E-02
  9.2200005E-01    3.8114797E-02
  9.2300004E-01    3.7445121E-02
  9.2400002E-01    3.6737211E-02
  9.2500007E-01    3.6211830E-02
  9.2600006E-01    3.5621084E-02
  9.2700005E-01    3.5009373E-02
  9.2800003E-01    3.4401365E-02
  9.2900002E-01    3.3845145E-02
  9.3000007E-01    3.3247005E-02
  9.3100005E-01    3.2662425E-02
  9.3200004E-01    3.2108676E-02
  9.3300003E-01    3.1679492E-02
  9.3400002E-01    3.1103548E-02
  9.3500006E-01    3.0601600E-02
  9.3600005E-01    3.0097181E-02
  9.3700004E-01    2.9610032E-02
  9.3800002E-01    2.9077254E-02
  9.3900007E-01    2.8624637E-02
  9.4000006E-01    2.8191753E-02
  9.4100004E-01    2.7668837E-02
  9.4200003E-01    2.7179221E-02
  9.4300002E-01    2.6722904E-02
  9.4400007E-01    2.6318386E-02
  9.4500005E-01    2.5938533E-02
  9.4600004E-01    2.5451383E-02
  9.4700003E-01    2.5041930E-02
  9.4800007E-01    2.4660846E-02
  9.4900006E-01    2.4269894E-02
  9.5000005E-01    2.3871541E-02
  9.5100003E-01    2.3481822E-02
  9.5200002E-01    2.3101969E-02
  9.5300007E-01    2.2733215E-02
  9.5400006E-01    2.2348430E-02
  9.5500004E-01    2.1993242E-02
  9.5600003E-01    2.1676285E-02
  9.5700002E-01    2.1396330E-02
  9.5800006E-01    2.1075675E-02
  9.5900005E-01    2.0608258E-02
  9.6000004E-01    2.0412166E-02
  9.6100003E-01    2.0029845E-02
  9.6200007E-01    1.9716591E-02
  9.6300006E-01    1.9404568E-02
  9.6400005E-01    1.9074047E-02
  9.6500003E-01    1.8853288E-02
  9.6600002E-01    1.8563466E-02
  9.6700007E-01    1.8248975E-02
  9.6800005E-01    1.7909823E-02
  9.6900004E-01    1.7712496E-02
  9.7000003E-01    1.7427607E-02
  9.7100008E-01    1.7176015E-02
  9.7200006E-01    1.6925657E-02
  9.7300005E-01    1.6676534E-02
  9.7400004E-01    1.6407676E-02
  9.7500002E-01    1.6218983E-02
  9.7600007E-01    1.5908193E-02
  9.7700006E-01    1.5693603E-02
  9.7800004E-01    1.5474075E-02
  9.7900003E-01    1.5190419E-02
  9.8000002E-01    1.5007893E-02
  9.8100007E-01    1.4779735E-02
  9.8200005E-01    1.4586109E-02
  9.8300004E-01    1.4354250E-02
  9.8400003E-01    1.4181589E-02
  9.8500007E-01    1.3952198E-02
  9.8600006E-01    1.3784470E-02
  9.8700005E-01    1.3598244E-02
  9.8800004E-01    1.3319521E-02
  9.8900002E-01    1.3143161E-02
  9.9000007E-01    1.3016132E-02
  9.9100006E-01    1.2800305E-02
  9.9200004E-01    1.2615313E-02
  9.9300003E-01    1.2395787E-02
  9.9400002E-01    1.2285038E-02
  9.9500006E-01    1.2112130E-02
  9.9600005E-01    1.1923067E-02
  9.9700004E-01    1.1770510E-02
  9.9800003E-01    1.1622269E-02
  9.9900007E-01    1.1494130E-02
  1.0000000E+00    1.1332445E-02
