# wave[microns]    norm_trans
  7.8520006E-01    0.0000000E+00
  7.8540003E-01    1.1460406E-10
  7.8560001E-01    1.3595651E-10
  7.8580004E-01    1.5620683E-10
  7.8600001E-01    1.7334048E-10
  7.8620005E-01    1.8612299E-10
  7.8640008E-01    1.9435692E-10
  7.8659999E-01    1.9883828E-10
  7.8680003E-01    2.0086302E-10
  7.8700006E-01    2.0169727E-10
  7.8720003E-01    2.0230193E-10
  7.8740007E-01    2.0346982E-10
  7.8760004E-01    2.0568376E-10
  7.8780001E-01    2.0931484E-10
  7.8800005E-01    2.1453592E-10
  7.8820002E-01    2.2161543E-10
  7.8840005E-01    2.3072784E-10
  7.8860003E-01    2.4199143E-10
  7.8880000E-01    2.5562305E-10
  7.8900003E-01    2.7189426E-10
  7.8920007E-01    2.9093772E-10
  7.8940004E-01    3.1318431E-10
  7.8960001E-01    3.3876613E-10
  7.8980005E-01    3.6812900E-10
  7.9000002E-01    4.0160583E-10
  7.9020005E-01    4.3954163E-10
  7.9040009E-01    4.8239190E-10
  7.9060000E-01    5.3051785E-10
  7.9080003E-01    5.8438626E-10
  7.9100001E-01    6.4446604E-10
  7.9120004E-01    7.1121353E-10
  7.9140007E-01    7.8505485E-10
  7.9159999E-01    8.6676233E-10
  7.9180002E-01    9.5675345E-10
  7.9200006E-01    1.0558446E-09
  7.9220003E-01    1.1646623E-09
  7.9240006E-01    1.2846949E-09
  7.9260004E-01    1.4164460E-09
  7.9280001E-01    1.5624281E-09
  7.9300004E-01    1.7234553E-09
  7.9320008E-01    1.9019539E-09
  7.9340005E-01    2.1008739E-09
  7.9360002E-01    2.3227369E-09
  7.9380000E-01    2.5709876E-09
  7.9400003E-01    2.8497058E-09
  7.9420006E-01    3.1644629E-09
  7.9440004E-01    3.5204648E-09
  7.9460001E-01    3.9228349E-09
  7.9480004E-01    4.3812700E-09
  7.9500002E-01    4.9023017E-09
  7.9520005E-01    5.4966747E-09
  7.9540008E-01    6.1744747E-09
  7.9560000E-01    6.9502435E-09
  7.9580003E-01    7.8361007E-09
  7.9600006E-01    8.8531946E-09
  7.9620004E-01    1.0016131E-08
  7.9640007E-01    1.1347495E-08
  7.9659998E-01    1.2873600E-08
  7.9680002E-01    1.4621771E-08
  7.9700005E-01    1.6622639E-08
  7.9720002E-01    1.8914724E-08
  7.9740006E-01    2.1542693E-08
  7.9760003E-01    2.4552744E-08
  7.9780000E-01    2.8002708E-08
  7.9800004E-01    3.1959502E-08
  7.9820007E-01    3.6509007E-08
  7.9840004E-01    4.1734960E-08
  7.9860002E-01    4.7752930E-08
  7.9880005E-01    5.4701598E-08
  7.9900002E-01    6.2733569E-08
  7.9920006E-01    7.2044365E-08
  7.9940009E-01    8.2851429E-08
  7.9960001E-01    9.5477269E-08
  7.9980004E-01    1.1020467E-07
  8.0000001E-01    1.2746766E-07
  8.0020005E-01    1.4780871E-07
  8.0040008E-01    1.7179084E-07
  8.0059999E-01    2.0012438E-07
  8.0080003E-01    2.3382988E-07
  8.0100006E-01    2.7390502E-07
  8.0120003E-01    3.2181035E-07
  8.0140007E-01    3.7914037E-07
  8.0160004E-01    4.4791955E-07
  8.0180001E-01    5.3076224E-07
  8.0200005E-01    6.3066682E-07
  8.0220008E-01    7.5162291E-07
  8.0240005E-01    8.9825573E-07
  8.0260003E-01    1.0762175E-06
  8.0280000E-01    1.2930045E-06
  8.0300003E-01    1.5570408E-06
  8.0320007E-01    1.8797497E-06
  8.0340004E-01    2.2750976E-06
  8.0360001E-01    2.7599424E-06
  8.0380005E-01    3.3550577E-06
  8.0400002E-01    4.0878977E-06
  8.0420005E-01    4.9922924E-06
  8.0440009E-01    6.1108276E-06
  8.0460000E-01    7.4989421E-06
  8.0480003E-01    9.2257142E-06
  8.0500007E-01    1.1378893E-05
  8.0520004E-01    1.4076672E-05
  8.0540007E-01    1.7466262E-05
  8.0559999E-01    2.1742026E-05
  8.0580002E-01    2.7170649E-05
  8.0600005E-01    3.4080032E-05
  8.0620003E-01    4.2943753E-05
  8.0640006E-01    5.4350057E-05
  8.0660003E-01    6.9135327E-05
  8.0680001E-01    8.8409724E-05
  8.0700004E-01    1.1368417E-04
  8.0720007E-01    1.4706184E-04
  8.0740005E-01    1.9146968E-04
  8.0760002E-01    2.5095738E-04
  8.0780005E-01    3.3128366E-04
  8.0800003E-01    4.4045347E-04
  8.0820006E-01    5.9020112E-04
  8.0840003E-01    7.9707656E-04
  8.0860001E-01    1.0856754E-03
  8.0880004E-01    1.4914201E-03
  8.0900002E-01    2.0677594E-03
  8.0920005E-01    2.8933436E-03
  8.0940008E-01    4.0878975E-03
  8.0960000E-01    5.8357948E-03
  8.0980003E-01    8.4197661E-03
  8.1000006E-01    1.2285703E-02
  8.1020004E-01    1.8130092E-02
  8.1040007E-01    2.7076965E-02
  8.1060004E-01    4.0916644E-02
  8.1080002E-01    6.2502876E-02
  8.1100005E-01    9.6272007E-02
  8.1120002E-01    1.4883326E-01
  8.1140006E-01    2.2855990E-01
  8.1160003E-01    3.4316266E-01
  8.1180000E-01    4.9203956E-01
  8.1200004E-01    6.5750641E-01
  8.1220007E-01    8.0630618E-01
  8.1240004E-01    9.1117126E-01
  8.1260002E-01    9.6805495E-01
  8.1280005E-01    9.9014777E-01
  8.1300002E-01    9.9380231E-01
  8.1320006E-01    9.9083197E-01
  8.1340009E-01    9.8718828E-01
  8.1360000E-01    9.8537153E-01
  8.1380004E-01    9.8559844E-01
  8.1400001E-01    9.8741561E-01
  8.1420004E-01    9.9014777E-01
  8.1440008E-01    9.9288738E-01
  8.1459999E-01    9.9494714E-01
  8.1480002E-01    9.9632269E-01
  8.1500006E-01    9.9701118E-01
  8.1520003E-01    9.9678159E-01
  8.1540006E-01    9.9609327E-01
  8.1560004E-01    9.9540544E-01
  8.1580001E-01    9.9471807E-01
  8.1600004E-01    9.9403119E-01
  8.1620008E-01    9.9380231E-01
  8.1640005E-01    9.9380231E-01
