# wave[microns]    norm_trans
  1.2215000E+00    1.2729123E-04
  1.2220000E+00    1.2729123E-04
  1.2225000E+00    2.5458247E-04
  1.2230000E+00    1.2729123E-04
  1.2235000E+00    1.2729123E-04
  1.2240000E+00    2.5458247E-04
  1.2244999E+00    2.5458247E-04
  1.2250000E+00    2.5458247E-04
  1.2255000E+00    2.5458247E-04
  1.2260000E+00    2.5458247E-04
  1.2265000E+00    2.5458247E-04
  1.2270000E+00    2.5458247E-04
  1.2275000E+00    3.8187375E-04
  1.2280000E+00    3.8187375E-04
  1.2285000E+00    3.8187375E-04
  1.2290000E+00    5.0916494E-04
  1.2295001E+00    3.8187375E-04
  1.2300000E+00    5.0916494E-04
  1.2305000E+00    5.0916494E-04
  1.2309999E+00    6.3645624E-04
  1.2315000E+00    5.0916494E-04
  1.2320000E+00    7.6374749E-04
  1.2325000E+00    7.6374749E-04
  1.2330000E+00    7.6374749E-04
  1.2335000E+00    8.9103868E-04
  1.2340000E+00    1.1456212E-03
  1.2345001E+00    1.1456212E-03
  1.2350000E+00    1.4002037E-03
  1.2355000E+00    1.4002037E-03
  1.2359999E+00    1.5274950E-03
  1.2365000E+00    1.7820774E-03
  1.2370000E+00    1.9093687E-03
  1.2375000E+00    2.1639511E-03
  1.2380000E+00    2.4185337E-03
  1.2385000E+00    2.6731160E-03
  1.2390000E+00    3.0549900E-03
  1.2395000E+00    3.4368637E-03
  1.2400000E+00    3.8187373E-03
  1.2405000E+00    4.3279021E-03
  1.2410001E+00    4.8370673E-03
  1.2415000E+00    5.3462321E-03
  1.2420000E+00    6.1099799E-03
  1.2424999E+00    6.8737273E-03
  1.2430000E+00    7.6374747E-03
  1.2435000E+00    8.6558042E-03
  1.2440000E+00    9.8014260E-03
  1.2445000E+00    1.1074338E-02
  1.2450000E+00    1.2474542E-02
  1.2455000E+00    1.4129328E-02
  1.2460001E+00    1.5911406E-02
  1.2465000E+00    1.8075356E-02
  1.2470000E+00    2.0621182E-02
  1.2474999E+00    2.3294298E-02
  1.2480000E+00    2.6349287E-02
  1.2485000E+00    2.9786149E-02
  1.2490000E+00    3.3604886E-02
  1.2495000E+00    3.8060080E-02
  1.2500000E+00    4.2897150E-02
  1.2505000E+00    4.8752546E-02
  1.2510000E+00    5.4862525E-02
  1.2515000E+00    6.2118124E-02
  1.2520000E+00    7.0264764E-02
  1.2525001E+00    7.9047859E-02
  1.2530000E+00    8.9485742E-02
  1.2535000E+00    1.0094196E-01
  1.2539999E+00    1.1392567E-01
  1.2545000E+00    1.2818228E-01
  1.2550000E+00    1.4447556E-01
  1.2555000E+00    1.6267821E-01
  1.2560000E+00    1.8253563E-01
  1.2565000E+00    2.0544808E-01
  1.2570000E+00    2.3001528E-01
  1.2575001E+00    2.5661916E-01
  1.2580000E+00    2.8538695E-01
  1.2585000E+00    3.1491852E-01
  1.2589999E+00    3.4737778E-01
  1.2595000E+00    3.7996435E-01
  1.2600000E+00    4.1471487E-01
  1.2605000E+00    4.5010182E-01
  1.2610000E+00    4.8408857E-01
  1.2615000E+00    5.1692975E-01
  1.2620000E+00    5.4887980E-01
  1.2625000E+00    5.8133912E-01
  1.2630000E+00    6.0985231E-01
  1.2635000E+00    6.3709271E-01
  1.2640001E+00    6.6178721E-01
  1.2645000E+00    6.8355399E-01
  1.2650000E+00    7.0175660E-01
  1.2654999E+00    7.1754074E-01
  1.2660000E+00    7.3230648E-01
  1.2665000E+00    7.4287164E-01
  1.2670000E+00    7.5101829E-01
  1.2675000E+00    7.5801933E-01
