# wave[microns]    norm_trans
  8.6250001E-01    1.2664640E-04
  8.6299998E-01    1.2664640E-04
  8.6350000E-01    1.2664640E-04
  8.6400002E-01    1.2664640E-04
  8.6449999E-01    1.2664640E-04
  8.6500001E-01    1.2664640E-04
  8.6549997E-01    1.2664640E-04
  8.6600000E-01    2.5329279E-04
  8.6650002E-01    1.2664640E-04
  8.6699998E-01    2.5329279E-04
  8.6750001E-01    2.5329279E-04
  8.6799997E-01    2.5329279E-04
  8.6849999E-01    2.5329279E-04
  8.6900002E-01    2.5329279E-04
  8.6949998E-01    2.5329279E-04
  8.7000000E-01    2.5329279E-04
  8.7050003E-01    3.7993921E-04
  8.7099999E-01    2.5329279E-04
  8.7150002E-01    2.5329279E-04
  8.7199998E-01    3.7993921E-04
  8.7250000E-01    5.0658558E-04
  8.7300003E-01    3.7993921E-04
  8.7349999E-01    5.0658558E-04
  8.7400001E-01    5.0658558E-04
  8.7449998E-01    6.3323206E-04
  8.7500000E-01    6.3323206E-04
  8.7550002E-01    7.5987843E-04
  8.7599999E-01    7.5987843E-04
  8.7650001E-01    7.5987843E-04
  8.7699997E-01    1.0131712E-03
  8.7750000E-01    1.2664641E-03
  8.7800002E-01    1.2664641E-03
  8.7849998E-01    1.6464032E-03
  8.7900001E-01    2.0263423E-03
  8.7949997E-01    2.6595744E-03
  8.8000000E-01    2.9128673E-03
  8.8050002E-01    3.4194528E-03
  8.8099998E-01    3.9260387E-03
  8.8150001E-01    4.5592706E-03
  8.8200003E-01    4.9392097E-03
  8.8249999E-01    5.8257347E-03
  8.8300002E-01    6.0790274E-03
  8.8349998E-01    6.7122593E-03
  8.8400000E-01    6.9655520E-03
  8.8450003E-01    7.8520775E-03
  8.8499999E-01    7.9787234E-03
  8.8550001E-01    8.8652484E-03
  8.8599998E-01    9.4984798E-03
  8.8650000E-01    1.0005065E-02
  8.8700002E-01    1.1018237E-02
  8.8749999E-01    1.1778115E-02
  8.8800001E-01    1.3171226E-02
  8.8849998E-01    1.4817628E-02
  8.8900000E-01    1.6843971E-02
  8.8950002E-01    1.9630192E-02
  8.8999999E-01    2.2416413E-02
  8.9050001E-01    2.6342452E-02
  8.9099997E-01    3.1408310E-02
  8.9150000E-01    3.7867274E-02
  8.9200002E-01    4.5972642E-02
  8.9249998E-01    5.5091184E-02
  8.9300001E-01    6.6362716E-02
  8.9349997E-01    7.8774057E-02
  8.9399999E-01    9.2451870E-02
  8.9450002E-01    1.0815603E-01
  8.9499998E-01    1.2246706E-01
  8.9550000E-01    1.3652483E-01
  8.9600003E-01    1.4842959E-01
  8.9649999E-01    1.5818135E-01
  8.9700001E-01    1.6641338E-01
  8.9749998E-01    1.7350556E-01
  8.9800000E-01    1.8021782E-01
  8.9850003E-01    1.8629685E-01
  8.9899999E-01    1.9288246E-01
  8.9950001E-01    1.9997467E-01
  8.9999998E-01    2.0858662E-01
  9.0050000E-01    2.1859169E-01
  9.0100002E-01    2.2998987E-01
  9.0149999E-01    2.4240121E-01
  9.0200001E-01    2.5569910E-01
  9.0249997E-01    2.6988348E-01
  9.0300000E-01    2.8394124E-01
  9.0350002E-01    2.9799899E-01
  9.0399998E-01    3.1268996E-01
  9.0450001E-01    3.2586119E-01
  9.0499997E-01    3.3877915E-01
  9.0549999E-01    3.4929076E-01
  9.0600002E-01    3.5714287E-01
  9.0649998E-01    3.6499491E-01
  9.0700001E-01    3.6980748E-01
  9.0750003E-01    3.7310031E-01
  9.0799999E-01    3.7512666E-01
  9.0850002E-01    3.7487334E-01
  9.0899998E-01    3.7462005E-01
  9.0950000E-01    3.7398684E-01
  9.1000003E-01    3.7246704E-01
  9.1049999E-01    3.7158054E-01
  9.1100001E-01    3.7094730E-01
  9.1149998E-01    3.7069401E-01
  9.1200000E-01    3.7183383E-01
  9.1250002E-01    3.7322694E-01
  9.1299999E-01    3.7525329E-01
  9.1350001E-01    3.7803951E-01
  9.1399997E-01    3.8069907E-01
  9.1450000E-01    3.8221887E-01
  9.1500002E-01    3.8437182E-01
  9.1549999E-01    3.8500506E-01
  9.1600001E-01    3.8601825E-01
  9.1649997E-01    3.8639817E-01
