# wave[microns]    norm_trans
  1.9720000E+00    3.9274778E-06
  1.9730000E+00    5.2366368E-06
  1.9740000E+00    5.2366368E-06
  1.9750000E+00    5.2366368E-06
  1.9760000E+00    3.9274778E-06
  1.9770000E+00    5.2366368E-06
  1.9780000E+00    5.2366368E-06
  1.9790000E+00    5.2366368E-06
  1.9800000E+00    5.2366368E-06
  1.9809999E+00    5.2366368E-06
  1.9820000E+00    6.5457962E-06
  1.9830000E+00    6.5457962E-06
  1.9840000E+00    9.1641150E-06
  1.9850000E+00    5.2366368E-06
  1.9859999E+00    6.5457962E-06
  1.9870000E+00    5.2366368E-06
  1.9880000E+00    6.5457962E-06
  1.9890000E+00    5.2366368E-06
  1.9900000E+00    5.2366368E-06
  1.9910001E+00    5.2366368E-06
  1.9920000E+00    5.2366368E-06
  1.9930000E+00    5.2366368E-06
  1.9940000E+00    6.5457962E-06
  1.9950000E+00    3.9274778E-06
  1.9960001E+00    5.2366368E-06
  1.9970000E+00    5.2366368E-06
  1.9980000E+00    6.5457962E-06
  1.9990000E+00    7.8549556E-06
  2.0000000E+00    9.1641150E-06
  2.0009999E+00    9.1641150E-06
  2.0020001E+00    6.5457962E-06
  2.0030000E+00    7.8549556E-06
  2.0039999E+00    5.2366368E-06
  2.0050001E+00    9.1641150E-06
  2.0060000E+00    6.5457962E-06
  2.0070000E+00    9.1641150E-06
  2.0079999E+00    9.1641150E-06
  2.0090001E+00    9.1641150E-06
  2.0100000E+00    7.8549556E-06
  2.0109999E+00    6.5457962E-06
  2.0120001E+00    1.0473274E-05
  2.0130000E+00    9.1641150E-06
  2.0139999E+00    7.8549556E-06
  2.0150001E+00    1.0473274E-05
  2.0160000E+00    1.1782434E-05
  2.0170000E+00    1.0473274E-05
  2.0179999E+00    1.1782434E-05
  2.0190001E+00    1.1782434E-05
  2.0200000E+00    1.3091592E-05
  2.0209999E+00    1.1782434E-05
  2.0220001E+00    1.1782434E-05
  2.0230000E+00    1.3091592E-05
  2.0239999E+00    1.1782434E-05
  2.0250001E+00    1.1782434E-05
  2.0260000E+00    1.8328230E-05
  2.0270000E+00    1.7019071E-05
  2.0280001E+00    1.5709911E-05
  2.0290000E+00    1.7019071E-05
  2.0300000E+00    1.8328230E-05
  2.0309999E+00    1.8328230E-05
  2.0320001E+00    1.8328230E-05
  2.0330000E+00    2.0946547E-05
  2.0339999E+00    2.2255708E-05
  2.0350001E+00    1.9637388E-05
  2.0360000E+00    2.2255708E-05
  2.0369999E+00    2.2255708E-05
  2.0380001E+00    2.3564868E-05
  2.0390000E+00    2.3564868E-05
  2.0400000E+00    2.4874025E-05
  2.0409999E+00    2.6183185E-05
  2.0420001E+00    2.8801504E-05
  2.0430000E+00    2.7492344E-05
  2.0439999E+00    2.8801504E-05
  2.0450001E+00    3.2728982E-05
  2.0460000E+00    3.0110663E-05
  2.0469999E+00    3.2728982E-05
  2.0480001E+00    3.4038141E-05
  2.0490000E+00    3.5347301E-05
  2.0500000E+00    3.6656460E-05
  2.0510001E+00    4.0583935E-05
  2.0520000E+00    4.0583935E-05
  2.0530000E+00    4.3202253E-05
  2.0539999E+00    4.4511416E-05
  2.0550001E+00    4.7129735E-05
  2.0560000E+00    4.5820576E-05
  2.0569999E+00    5.2366369E-05
  2.0580001E+00    5.2366369E-05
  2.0590000E+00    5.3675529E-05
  2.0599999E+00    5.7603007E-05
  2.0610001E+00    5.7603007E-05
  2.0620000E+00    6.0221326E-05
  2.0630000E+00    6.2839645E-05
  2.0639999E+00    6.5457964E-05
  2.0650001E+00    7.2003757E-05
  2.0660000E+00    7.4622076E-05
  2.0669999E+00    7.5931239E-05
  2.0680001E+00    8.1167869E-05
  2.0690000E+00    8.7713670E-05
  2.0699999E+00    9.1641152E-05
  2.0710001E+00    9.5568626E-05
  2.0720000E+00    1.0080526E-04
  2.0730000E+00    1.0996938E-04
  2.0739999E+00    1.1389685E-04
  2.0750000E+00    1.1913350E-04
  2.0760000E+00    1.2829760E-04
  2.0769999E+00    1.3877088E-04
  2.0780001E+00    1.4531668E-04
  2.0790000E+00    1.5578994E-04
  2.0799999E+00    1.6233574E-04
  2.0810001E+00    1.7280901E-04
  2.0820000E+00    1.8459145E-04
  2.0829999E+00    1.9768304E-04
  2.0840001E+00    2.0815633E-04
  2.0850000E+00    2.2124792E-04
  2.0860000E+00    2.3433950E-04
  2.0869999E+00    2.5004940E-04
  2.0880001E+00    2.6445015E-04
  2.0890000E+00    2.7885093E-04
  2.0899999E+00    2.9848830E-04
  2.0910001E+00    3.1681653E-04
  2.0920000E+00    3.3645393E-04
  2.0929999E+00    3.5609133E-04
  2.0940001E+00    3.7703788E-04
  2.0950000E+00    4.0322103E-04
  2.0960000E+00    4.2678593E-04
  2.0969999E+00    4.5689658E-04
  2.0980000E+00    4.8700726E-04
  2.0990000E+00    5.1711791E-04
  2.0999999E+00    5.5246521E-04
  2.1010001E+00    5.8650336E-04
  2.1020000E+00    6.2185066E-04
  2.1029999E+00    6.6374376E-04
  2.1040001E+00    7.0956431E-04
  2.1050000E+00    7.5538491E-04
  2.1059999E+00    8.0382382E-04
  2.1070001E+00    8.5749925E-04
  2.1080000E+00    9.1772061E-04
  2.1090000E+00    9.8317862E-04
  2.1099999E+00    1.0473274E-03
  2.1110001E+00    1.1245678E-03
  2.1120000E+00    1.2004990E-03
  2.1129999E+00    1.2882127E-03
  2.1140001E+00    1.3890180E-03
  2.1150000E+00    1.4950598E-03
  2.1159999E+00    1.6102659E-03
  2.1170001E+00    1.7307086E-03
  2.1180000E+00    1.8681703E-03
  2.1190000E+00    2.0108686E-03
  2.1199999E+00    2.1705860E-03
  2.1210001E+00    2.3460134E-03
  2.1220000E+00    2.5306048E-03
  2.1229999E+00    2.7413797E-03
  2.1240001E+00    2.9626274E-03
  2.1250000E+00    3.2126768E-03
  2.1259999E+00    3.4915279E-03
  2.1270001E+00    3.7965619E-03
  2.1280000E+00    4.1382522E-03
  2.1289999E+00    4.5100534E-03
  2.1300001E+00    4.9211294E-03
  2.1310000E+00    5.3610075E-03
  2.1320000E+00    5.8440869E-03
  2.1329999E+00    6.3978615E-03
  2.1340001E+00    6.9869827E-03
  2.1350000E+00    7.6310891E-03
  2.1359999E+00    8.3602909E-03
  2.1370001E+00    9.1287671E-03
  2.1380000E+00    9.9744843E-03
  2.1389999E+00    1.0915769E-02
  2.1400001E+00    1.1968334E-02
  2.1410000E+00    1.3098138E-02
  2.1420000E+00    1.4335293E-02
  2.1429999E+00    1.5709911E-02
  2.1440001E+00    1.7190570E-02
  2.1450000E+00    1.8820472E-02
  2.1459999E+00    2.0692572E-02
  2.1470001E+00    2.2713913E-02
  2.1480000E+00    2.4893662E-02
  2.1489999E+00    2.7333936E-02
  2.1500001E+00    2.9923452E-02
  2.1510000E+00    3.2789204E-02
  2.1520000E+00    3.6052935E-02
  2.1530001E+00    3.9670143E-02
  2.1540000E+00    4.3735079E-02
  2.1550000E+00    4.7968905E-02
  2.1559999E+00    5.2746028E-02
  2.1570001E+00    5.8061209E-02
  2.1580000E+00    6.3907914E-02
  2.1589999E+00    7.0506081E-02
  2.1600001E+00    7.7714317E-02
  2.1610000E+00    8.5471079E-02
  2.1619999E+00    9.3243554E-02
  2.1630001E+00    1.0139307E-01
  2.1640000E+00    1.0992748E-01
  2.1650000E+00    1.1987709E-01
  2.1659999E+00    1.3120262E-01
  2.1670001E+00    1.4320107E-01
  2.1680000E+00    1.5737273E-01
  2.1689999E+00    1.7191093E-01
  2.1700001E+00    1.8761037E-01
  2.1710000E+00    2.0535603E-01
  2.1719999E+00    2.2476169E-01
  2.1730001E+00    2.4640733E-01
  2.1740000E+00    2.6980987E-01
  2.1750000E+00    2.9556105E-01
  2.1760001E+00    3.2307300E-01
  2.1770000E+00    3.5378325E-01
  2.1780000E+00    3.8668767E-01
  2.1789999E+00    4.2197475E-01
  2.1800001E+00    4.5814681E-01
  2.1810000E+00    4.9402696E-01
  2.1819999E+00    5.3113902E-01
  2.1830001E+00    5.6818819E-01
  2.1840000E+00    6.0606611E-01
  2.1849999E+00    6.4495993E-01
  2.1860001E+00    6.8199211E-01
  2.1870000E+00    7.1808565E-01
  2.1880000E+00    7.5122964E-01
  2.1889999E+00    7.8358942E-01
  2.1900001E+00    8.1282157E-01
  2.1910000E+00    8.4012938E-01
  2.1919999E+00    8.6438286E-01
  2.1930001E+00    8.8452035E-01
  2.1940000E+00    9.0212858E-01
  2.1949999E+00    9.1599250E-01
  2.1960001E+00    9.2813241E-01
  2.1970000E+00    9.3756485E-01
  2.1980000E+00    9.4451123E-01
  2.1989999E+00    9.4991940E-01
  2.2000000E+00    9.5434570E-01
  2.2010000E+00    9.5628846E-01
  2.2019999E+00    9.5762515E-01
  2.2030001E+00    9.5827574E-01
  2.2040000E+00    9.5828623E-01
  2.2049999E+00    9.5927334E-01
  2.2060001E+00    9.6002609E-01
  2.2070000E+00    9.6060735E-01
  2.2079999E+00    9.6044242E-01
  2.2090001E+00    9.6105248E-01
  2.2100000E+00    9.6079332E-01
  2.2110000E+00    9.6124232E-01
  2.2119999E+00    9.6165335E-01
  2.2130001E+00    9.6110487E-01
  2.2140000E+00    9.6143872E-01
  2.2149999E+00    9.6147138E-01
  2.2160001E+00    9.6189821E-01
  2.2170000E+00    9.6148974E-01
  2.2179999E+00    9.6189946E-01
  2.2190001E+00    9.6157354E-01
  2.2200000E+00    9.6179610E-01
  2.2210000E+00    9.6158791E-01
  2.2219999E+00    9.6180522E-01
  2.2230000E+00    9.6167040E-01
  2.2240000E+00    9.6143740E-01
  2.2249999E+00    9.6140468E-01
  2.2260001E+00    9.6118861E-01
  2.2270000E+00    9.6119916E-01
  2.2279999E+00    9.6088880E-01
  2.2290001E+00    9.6104199E-01
  2.2300000E+00    9.6061778E-01
  2.2309999E+00    9.6103287E-01
  2.2320001E+00    9.6087581E-01
  2.2330000E+00    9.6039134E-01
  2.2340000E+00    9.5930731E-01
  2.2349999E+00    9.5880336E-01
  2.2360001E+00    9.5772332E-01
  2.2370000E+00    9.5784634E-01
  2.2379999E+00    9.5769840E-01
  2.2390001E+00    9.5801789E-01
  2.2400000E+00    9.5779401E-01
  2.2409999E+00    9.5876145E-01
