# wave[microns]    norm_trans
  1.8380001E+00    9.1157702E-04
  1.8390000E+00    1.9533795E-03
  1.8400000E+00    1.9533795E-03
  1.8410000E+00    1.9533795E-03
  1.8420000E+00    1.9533795E-03
  1.8430001E+00    1.9533795E-03
  1.8440000E+00    1.9533795E-03
  1.8450000E+00    1.9533795E-03
  1.8460000E+00    1.9533795E-03
  1.8470000E+00    1.9533795E-03
  1.8480000E+00    1.9533795E-03
  1.8490000E+00    2.8649564E-03
  1.8500000E+00    2.8649564E-03
  1.8510000E+00    2.8649564E-03
  1.8520000E+00    2.8649564E-03
  1.8530000E+00    2.8649564E-03
  1.8540000E+00    3.7765333E-03
  1.8550000E+00    3.7765333E-03
  1.8559999E+00    3.7765333E-03
  1.8570000E+00    4.6881102E-03
  1.8580000E+00    4.6881102E-03
  1.8590000E+00    5.5996878E-03
  1.8600000E+00    5.5996878E-03
  1.8609999E+00    6.6414899E-03
  1.8620000E+00    6.6414899E-03
  1.8630000E+00    7.5530666E-03
  1.8640000E+00    8.4646437E-03
  1.8650000E+00    8.4646437E-03
  1.8660001E+00    1.0418024E-02
  1.8670000E+00    1.1329601E-02
  1.8680000E+00    1.2371402E-02
  1.8690000E+00    1.4194557E-02
  1.8700000E+00    1.5236359E-02
  1.8710001E+00    1.7059512E-02
  1.8720000E+00    1.9012893E-02
  1.8730000E+00    2.0966273E-02
  1.8740000E+00    2.3831230E-02
  1.8750000E+00    2.5654383E-02
  1.8760000E+00    2.8649565E-02
  1.8770000E+00    3.2426096E-02
  1.8780000E+00    3.6202632E-02
  1.8789999E+00    3.9979164E-02
  1.8800000E+00    4.5709081E-02
  1.8810000E+00    5.1438991E-02
  1.8820000E+00    5.8210704E-02
  1.8830000E+00    6.5894000E-02
  1.8839999E+00    7.4488863E-02
  1.8850000E+00    8.4125534E-02
  1.8860000E+00    9.5715590E-02
  1.8870000E+00    1.0925902E-01
  1.8880000E+00    1.2475583E-01
  1.8890001E+00    1.4285715E-01
  1.8900000E+00    1.6108869E-01
  1.8910000E+00    1.8218519E-01
  1.8920000E+00    2.0419326E-01
  1.8930000E+00    2.2906628E-01
  1.8940001E+00    2.5758561E-01
  1.8950000E+00    2.8883970E-01
  1.8960000E+00    3.2308894E-01
  1.8970000E+00    3.6215654E-01
  1.8980000E+00    4.0317750E-01
  1.8990000E+00    4.4706345E-01
  1.9000000E+00    4.9277249E-01
  1.9010000E+00    5.3913271E-01
  1.9020000E+00    5.8549291E-01
  1.9030000E+00    6.3068110E-01
  1.9040000E+00    6.7469728E-01
  1.9050000E+00    7.1428573E-01
  1.9060000E+00    7.5087905E-01
  1.9069999E+00    7.8369582E-01
  1.9080000E+00    8.1247556E-01
  1.9090000E+00    8.3786952E-01
  1.9100000E+00    8.5935670E-01
  1.9110000E+00    8.7797892E-01
  1.9119999E+00    8.9282459E-01
  1.9130000E+00    9.0467513E-01
  1.9140000E+00    9.1457224E-01
  1.9150000E+00    9.2069286E-01
  1.9160000E+00    9.2486006E-01
  1.9170001E+00    9.2694360E-01
  1.9180000E+00    9.2707384E-01
  1.9190000E+00    9.2629254E-01
  1.9200000E+00    9.2551112E-01
  1.9210000E+00    9.2277640E-01
  1.9220001E+00    9.1991144E-01
  1.9230000E+00    9.1613489E-01
  1.9240000E+00    9.1327000E-01
  1.9250000E+00    9.1118634E-01
  1.9260000E+00    9.0988415E-01
  1.9270000E+00    9.0884233E-01
  1.9280000E+00    9.0767032E-01
  1.9290000E+00    9.0662849E-01
  1.9299999E+00    9.0584707E-01
  1.9310000E+00    9.0584707E-01
  1.9320000E+00    9.0597737E-01
  1.9330000E+00    9.0675873E-01
  1.9340000E+00    9.0754008E-01
  1.9349999E+00    9.0832138E-01
  1.9360000E+00    9.0910274E-01
  1.9370000E+00    9.1014457E-01
  1.9380000E+00    9.1014457E-01
  1.9390000E+00    9.1118634E-01
  1.9400001E+00    9.1131663E-01
  1.9410000E+00    9.1366065E-01
  1.9420000E+00    9.1496289E-01
  1.9430000E+00    9.1652560E-01
  1.9440000E+00    9.1795814E-01
  1.9450001E+00    9.1860920E-01
  1.9460000E+00    9.1952080E-01
  1.9470000E+00    9.2030215E-01
  1.9480000E+00    9.2108351E-01
  1.9490000E+00    9.2199504E-01
  1.9500000E+00    9.2199504E-01
  1.9510000E+00    9.2290664E-01
  1.9520000E+00    9.2277640E-01
  1.9529999E+00    9.2264622E-01
  1.9540000E+00    9.2147416E-01
  1.9550000E+00    9.2056257E-01
  1.9560000E+00    9.2056257E-01
  1.9570000E+00    9.2082298E-01
  1.9579999E+00    9.2108351E-01
  1.9590000E+00    9.2134392E-01
  1.9600000E+00    9.2147416E-01
  1.9610000E+00    9.2160439E-01
  1.9620000E+00    9.2069286E-01
  1.9630001E+00    9.2004168E-01
  1.9640000E+00    9.2030215E-01
  1.9650000E+00    9.1808826E-01
  1.9660000E+00    9.1691631E-01
  1.9670000E+00    9.1483265E-01
  1.9680001E+00    9.1379082E-01
  1.9690000E+00    9.1183752E-01
  1.9700000E+00    9.0897256E-01
  1.9710000E+00    9.0701914E-01
  1.9720000E+00    9.0506577E-01
  1.9730000E+00    9.0571690E-01
  1.9740000E+00    9.0532625E-01
  1.9750000E+00    9.0493554E-01
  1.9760000E+00    9.0558666E-01
  1.9770000E+00    9.0558666E-01
  1.9780000E+00    9.0649825E-01
  1.9790000E+00    9.0767032E-01
  1.9800000E+00    9.0793073E-01
  1.9809999E+00    9.0923297E-01
  1.9820000E+00    9.1053522E-01
  1.9830000E+00    9.1183752E-01
  1.9840000E+00    9.1300952E-01
  1.9850000E+00    9.1379082E-01
  1.9859999E+00    9.1470248E-01
  1.9870000E+00    9.1613489E-01
  1.9880000E+00    9.1678607E-01
  1.9890000E+00    9.1769761E-01
  1.9900000E+00    9.1873944E-01
  1.9910001E+00    9.2082298E-01
  1.9920000E+00    9.2186481E-01
  1.9930000E+00    9.2290664E-01
  1.9940000E+00    9.2407864E-01
  1.9950000E+00    9.2499030E-01
  1.9960001E+00    9.2590183E-01
  1.9970000E+00    9.2616224E-01
  1.9980000E+00    9.2642272E-01
  1.9990000E+00    9.2590183E-01
  2.0000000E+00    9.2616224E-01
  2.0009999E+00    9.2551112E-01
  2.0020001E+00    9.2590183E-01
  2.0030000E+00    9.2525071E-01
  2.0039999E+00    9.2551112E-01
  2.0050001E+00    9.2564136E-01
  2.0060000E+00    9.2590183E-01
  2.0070000E+00    9.2603201E-01
  2.0079999E+00    9.2707384E-01
  2.0090001E+00    9.2577159E-01
  2.0100000E+00    9.2525071E-01
  2.0109999E+00    9.2472976E-01
  2.0120001E+00    9.2420888E-01
  2.0130000E+00    9.2290664E-01
  2.0139999E+00    9.2238575E-01
  2.0150001E+00    9.2095327E-01
  2.0160000E+00    9.1965103E-01
  2.0170000E+00    9.2186481E-01
  2.0179999E+00    9.2316705E-01
  2.0190001E+00    9.2433912E-01
  2.0200000E+00    9.2577159E-01
  2.0209999E+00    9.2499030E-01
  2.0220001E+00    9.2433912E-01
  2.0230000E+00    9.2355782E-01
  2.0239999E+00    9.2186481E-01
  2.0250001E+00    9.2147416E-01
  2.0260000E+00    9.2095327E-01
  2.0270000E+00    9.2082298E-01
  2.0280001E+00    9.2043233E-01
  2.0290000E+00    9.1886967E-01
  2.0300000E+00    9.1730696E-01
  2.0309999E+00    9.1561407E-01
  2.0320001E+00    9.1392106E-01
  2.0330000E+00    9.1170728E-01
  2.0339999E+00    9.1066545E-01
  2.0350001E+00    9.0962362E-01
  2.0360000E+00    9.0858191E-01
  2.0369999E+00    9.0871203E-01
  2.0380001E+00    9.0780050E-01
  2.0390000E+00    9.0688890E-01
  2.0400000E+00    9.0597737E-01
  2.0409999E+00    9.0428442E-01
  2.0420001E+00    9.0350306E-01
  2.0430000E+00    9.0194041E-01
  2.0439999E+00    9.0128922E-01
  2.0450001E+00    9.0063816E-01
  2.0460000E+00    9.0089858E-01
  2.0469999E+00    9.0141946E-01
  2.0480001E+00    9.0089858E-01
  2.0490000E+00    9.0207064E-01
  2.0500000E+00    9.0298218E-01
  2.0510001E+00    9.0415418E-01
  2.0520000E+00    9.0519601E-01
  2.0530000E+00    9.0454483E-01
  2.0539999E+00    9.0480536E-01
  2.0550001E+00    9.0415418E-01
