# wave[microns]    norm_trans
  6.9850004E-01    0.0000000E+00
  6.9890004E-01    0.0000000E+00
  6.9920003E-01    0.0000000E+00
  6.9959998E-01    5.2192067E-03
  6.9990003E-01    5.2192067E-03
  7.0030004E-01    6.2630479E-03
  7.0060003E-01    6.2630479E-03
  7.0100003E-01    6.2630479E-03
  7.0130002E-01    6.2630479E-03
  7.0170003E-01    6.2630479E-03
  7.0200002E-01    6.2630479E-03
  7.0230001E-01    6.2630479E-03
  7.0270002E-01    6.2630479E-03
  7.0300001E-01    6.2630479E-03
  7.0340008E-01    6.2630479E-03
  7.0370007E-01    6.2630479E-03
  7.0410001E-01    6.2630479E-03
  7.0440006E-01    6.2630479E-03
  7.0480001E-01    6.2630479E-03
  7.0510000E-01    6.2630479E-03
  7.0550001E-01    6.2630479E-03
  7.0580000E-01    6.2630479E-03
  7.0620006E-01    6.2630479E-03
  7.0650005E-01    6.2630479E-03
  7.0680004E-01    6.2630479E-03
  7.0720005E-01    6.2630479E-03
  7.0750004E-01    6.2630479E-03
  7.0790005E-01    6.2630479E-03
  7.0820004E-01    6.2630479E-03
  7.0859998E-01    6.2630479E-03
  7.0890003E-01    6.2630479E-03
  7.0930004E-01    6.2630479E-03
  7.0960003E-01    6.2630479E-03
  7.1000004E-01    6.2630479E-03
  7.1030003E-01    6.2630479E-03
  7.1060002E-01    6.2630479E-03
  7.1100003E-01    6.2630479E-03
  7.1130002E-01    6.2630479E-03
  7.1170002E-01    6.2630479E-03
  7.1200001E-01    6.2630479E-03
  7.1240008E-01    6.2630479E-03
  7.1270007E-01    6.2630479E-03
  7.1310002E-01    6.2630479E-03
  7.1340007E-01    6.2630479E-03
  7.1380001E-01    6.2630479E-03
  7.1410000E-01    6.2630479E-03
  7.1450001E-01    6.2630479E-03
  7.1480000E-01    6.2630479E-03
  7.1509999E-01    6.2630479E-03
  7.1550006E-01    6.2630479E-03
  7.1580005E-01    6.2630479E-03
  7.1620005E-01    6.2630479E-03
  7.1650004E-01    6.2630479E-03
  7.1690005E-01    6.2630479E-03
  7.1720004E-01    6.2630479E-03
  7.1759999E-01    6.2630479E-03
  7.1790004E-01    6.2630479E-03
  7.1830004E-01    6.2630479E-03
  7.1860003E-01    6.2630479E-03
  7.1890008E-01    7.3068896E-03
  7.1930003E-01    6.2630479E-03
  7.1960002E-01    7.3068896E-03
  7.2000003E-01    7.3068896E-03
  7.2030002E-01    7.3068896E-03
  7.2070003E-01    6.2630479E-03
  7.2100002E-01    6.2630479E-03
  7.2140008E-01    7.3068896E-03
  7.2170007E-01    7.3068896E-03
  7.2210002E-01    7.3068896E-03
  7.2240007E-01    7.3068896E-03
  7.2270006E-01    7.3068896E-03
  7.2310001E-01    7.3068896E-03
  7.2340006E-01    7.3068896E-03
  7.2380000E-01    6.2630479E-03
  7.2409999E-01    7.3068896E-03
  7.2450006E-01    7.3068896E-03
  7.2480005E-01    7.3068896E-03
  7.2520006E-01    7.3068896E-03
  7.2550005E-01    7.3068896E-03
  7.2590005E-01    7.3068896E-03
  7.2620004E-01    7.3068896E-03
  7.2659999E-01    7.3068896E-03
  7.2690004E-01    7.3068896E-03
  7.2720003E-01    7.3068896E-03
  7.2760004E-01    8.3507309E-03
  7.2790009E-01    7.3068896E-03
  7.2830003E-01    7.3068896E-03
  7.2860003E-01    7.3068896E-03
  7.2900003E-01    7.3068896E-03
  7.2930002E-01    7.3068896E-03
  7.2970003E-01    8.3507309E-03
  7.3000002E-01    8.3507309E-03
  7.3040009E-01    8.3507309E-03
  7.3070008E-01    8.3507309E-03
  7.3100001E-01    8.3507309E-03
  7.3140007E-01    8.3507309E-03
  7.3170006E-01    8.3507309E-03
  7.3210001E-01    8.3507309E-03
  7.3240006E-01    8.3507309E-03
  7.3280001E-01    8.3507309E-03
  7.3310000E-01    9.3945712E-03
  7.3350006E-01    9.3945712E-03
  7.3379999E-01    8.3507309E-03
  7.3420006E-01    9.3945712E-03
  7.3450005E-01    9.3945712E-03
  7.3490006E-01    9.3945712E-03
  7.3520005E-01    9.3945712E-03
  7.3550004E-01    9.3945712E-03
  7.3590004E-01    9.3945712E-03
  7.3620003E-01    9.3945712E-03
  7.3659998E-01    9.3945712E-03
  7.3690003E-01    1.0438413E-02
  7.3730004E-01    1.0438413E-02
  7.3760003E-01    1.0438413E-02
  7.3800004E-01    1.0438413E-02
  7.3830003E-01    1.0438413E-02
  7.3870003E-01    1.1482255E-02
  7.3900002E-01    1.1482255E-02
  7.3930001E-01    1.1482255E-02
  7.3970002E-01    1.2526096E-02
  7.4000001E-01    1.2526096E-02
  7.4040008E-01    1.2526096E-02
  7.4070007E-01    1.2526096E-02
  7.4110001E-01    1.2526096E-02
  7.4140006E-01    1.3569938E-02
  7.4180001E-01    1.4613779E-02
  7.4210000E-01    1.4613779E-02
  7.4250001E-01    1.4613779E-02
  7.4280000E-01    1.5657621E-02
  7.4309999E-01    1.5657621E-02
  7.4350005E-01    1.6701462E-02
  7.4380004E-01    1.7745303E-02
  7.4420005E-01    1.7745303E-02
  7.4450004E-01    1.8789142E-02
  7.4490005E-01    1.8789142E-02
  7.4520004E-01    1.9832985E-02
  7.4559999E-01    1.9832985E-02
  7.4590003E-01    2.0876827E-02
  7.4630004E-01    2.1920668E-02
  7.4660003E-01    2.2964509E-02
  7.4700004E-01    2.2964509E-02
  7.4730003E-01    2.4008350E-02
  7.4760002E-01    2.5052192E-02
  7.4800003E-01    2.7139876E-02
  7.4830002E-01    2.8183717E-02
  7.4870002E-01    2.9227559E-02
  7.4900001E-01    3.0271398E-02
  7.4940008E-01    3.1315241E-02
  7.4970007E-01    3.2359082E-02
  7.5010002E-01    3.4446765E-02
  7.5040007E-01    3.5490606E-02
  7.5080001E-01    3.6534447E-02
  7.5110000E-01    3.8622130E-02
  7.5140005E-01    4.0709812E-02
  7.5180000E-01    4.2797495E-02
  7.5209999E-01    4.3841336E-02
  7.5250006E-01    4.5929018E-02
  7.5280005E-01    4.8016701E-02
  7.5320005E-01    5.0104383E-02
  7.5350004E-01    5.2192066E-02
  7.5390005E-01    5.4279752E-02
  7.5420004E-01    5.6367435E-02
  7.5459999E-01    5.8455117E-02
  7.5490004E-01    6.0542796E-02
  7.5530005E-01    6.4718165E-02
  7.5560004E-01    6.6805847E-02
  7.5590008E-01    6.9937371E-02
  7.5630003E-01    7.3068894E-02
  7.5660002E-01    7.6200418E-02
  7.5700003E-01    7.9331942E-02
  7.5730002E-01    8.3507307E-02
  7.5770003E-01    8.6638831E-02
  7.5800002E-01    9.0814196E-02
  7.5840008E-01    9.3945727E-02
  7.5870007E-01    9.8121084E-02
  7.5910002E-01    1.0125262E-01
  7.5940007E-01    1.0438413E-01
  7.5970006E-01    1.0855950E-01
  7.6010001E-01    1.1273487E-01
  7.6040006E-01    1.1691023E-01
  7.6080000E-01    1.2212943E-01
  7.6109999E-01    1.2734865E-01
  7.6150006E-01    1.3152401E-01
  7.6180005E-01    1.3674322E-01
  7.6220006E-01    1.4196242E-01
  7.6250005E-01    1.4718163E-01
  7.6290005E-01    1.5240084E-01
  7.6320004E-01    1.5553236E-01
  7.6350003E-01    1.6075157E-01
  7.6390004E-01    1.6701461E-01
  7.6420003E-01    1.7223382E-01
  7.6460004E-01    1.7745303E-01
  7.6490009E-01    1.8475991E-01
  7.6530004E-01    1.9102296E-01
  7.6560003E-01    1.9728601E-01
  7.6600003E-01    2.0354906E-01
  7.6630002E-01    2.0981212E-01
  7.6670003E-01    2.1607515E-01
  7.6700002E-01    2.2338204E-01
  7.6740009E-01    2.2964509E-01
  7.6770008E-01    2.3590814E-01
  7.6800001E-01    2.4425887E-01
  7.6840007E-01    2.5052193E-01
  7.6870006E-01    2.5678498E-01
  7.6910001E-01    2.6409185E-01
  7.6940006E-01    2.7035490E-01
  7.6980001E-01    2.7766180E-01
  7.7010000E-01    2.8392485E-01
  7.7050006E-01    2.8914407E-01
  7.7080005E-01    2.9645094E-01
  7.7120006E-01    3.0584553E-01
  7.7150005E-01    3.1419623E-01
  7.7180004E-01    3.2254696E-01
  7.7220005E-01    3.3089772E-01
  7.7250004E-01    3.3924842E-01
  7.7290004E-01    3.4759918E-01
  7.7320004E-01    3.5281837E-01
  7.7360004E-01    3.5803756E-01
  7.7390003E-01    3.6638832E-01
  7.7430004E-01    3.7682673E-01
  7.7460003E-01    3.8413361E-01
  7.7500004E-01    3.9039668E-01
  7.7530003E-01    3.9770356E-01
  7.7570003E-01    4.0396658E-01
  7.7600002E-01    4.0918580E-01
  7.7630001E-01    4.1858035E-01
  7.7670002E-01    4.2693111E-01
  7.7700001E-01    4.3215030E-01
  7.7740008E-01    4.3945721E-01
  7.7770007E-01    4.4885179E-01
  7.7810001E-01    4.5615867E-01
  7.7840006E-01    4.6346557E-01
  7.7880001E-01    4.7390395E-01
  7.7910000E-01    4.8016703E-01
  7.7950001E-01    4.8538622E-01
  7.7980000E-01    4.8956159E-01
  7.8009999E-01    4.9582464E-01
  7.8050005E-01    5.0208771E-01
  7.8080004E-01    5.0835073E-01
  7.8120005E-01    5.1670146E-01
  7.8150004E-01    5.2400833E-01
  7.8190005E-01    5.3235906E-01
  7.8220004E-01    5.3966600E-01
  7.8259999E-01    5.4801667E-01
  7.8290004E-01    5.5636740E-01
  7.8330004E-01    5.6471819E-01
  7.8360003E-01    5.7306892E-01
  7.8390008E-01    5.7933193E-01
  7.8430003E-01    5.8663881E-01
  7.8460002E-01    5.9603339E-01
  7.8500003E-01    6.0125256E-01
  7.8530002E-01    6.0647178E-01
  7.8570002E-01    6.1482251E-01
  7.8600001E-01    6.2108564E-01
  7.8640008E-01    6.2839246E-01
  7.8670007E-01    6.3987470E-01
  7.8710002E-01    6.4822549E-01
  7.8740007E-01    6.5344465E-01
  7.8780001E-01    6.6388309E-01
  7.8810000E-01    6.7118996E-01
  7.8840005E-01    6.7745304E-01
  7.8880000E-01    6.8893528E-01
  7.8909999E-01    6.9519836E-01
  7.8950006E-01    7.0250517E-01
  7.8980005E-01    7.0772439E-01
  7.9020005E-01    7.1503133E-01
  7.9050004E-01    7.2129434E-01
  7.9090005E-01    7.2546971E-01
  7.9120004E-01    7.3173273E-01
  7.9159999E-01    7.3903966E-01
  7.9190004E-01    7.4634653E-01
  7.9220003E-01    7.5260961E-01
  7.9260004E-01    7.6200420E-01
  7.9290009E-01    7.6617956E-01
  7.9330003E-01    7.7244258E-01
  7.9360002E-01    7.8079337E-01
  7.9400003E-01    7.8705639E-01
  7.9430002E-01    7.8914404E-01
  7.9470003E-01    7.9123175E-01
  7.9500002E-01    7.9540712E-01
  7.9540008E-01    8.0062634E-01
  7.9570007E-01    8.0688936E-01
  7.9600006E-01    8.1106472E-01
  7.9640007E-01    8.1524009E-01
  7.9670006E-01    8.1941545E-01
  7.9710001E-01    8.2045931E-01
  7.9740006E-01    8.2359076E-01
  7.9780000E-01    8.3089769E-01
  7.9809999E-01    8.3402926E-01
  7.9850006E-01    8.3820456E-01
  7.9880005E-01    8.4237993E-01
  7.9900002E-01    8.4655529E-01
  8.0000001E-01    8.5490608E-01
  8.0100006E-01    8.6221290E-01
  8.0200005E-01    8.6847603E-01
  8.0300003E-01    8.7473905E-01
  8.0400002E-01    8.7995821E-01
  8.0500007E-01    8.8517743E-01
  8.0600005E-01    8.8935280E-01
  8.0700004E-01    8.9352816E-01
  8.0800003E-01    8.9770359E-01
  8.0900002E-01    8.9979124E-01
  8.1000006E-01    9.0292275E-01
