# wave[microns]    norm_trans
  6.4740008E-01    1.3581275E-04
  6.4760000E-01    1.1961049E-04
  6.4780003E-01    8.8221976E-05
  6.4800000E-01    4.3059776E-05
  6.4820004E-01    1.7240569E-04
  6.4840007E-01    1.0628498E-04
  6.4859998E-01    1.1148238E-04
  6.4880002E-01    1.3483898E-04
  6.4900005E-01    1.0973191E-04
  6.4920002E-01    1.5483076E-04
  6.4940006E-01    1.4022409E-04
  6.4960003E-01    1.9981229E-04
  6.4980000E-01    2.3064468E-04
  6.5000004E-01    2.7885259E-04
  6.5020007E-01    3.3740836E-04
  6.5040004E-01    3.1036546E-04
  6.5060002E-01    3.2145245E-04
  6.5079999E-01    4.2234999E-04
  6.5100002E-01    4.5630315E-04
  6.5120006E-01    4.9185194E-04
  6.5140003E-01    5.9855694E-04
  6.5160000E-01    6.8893057E-04
  6.5180004E-01    7.5999298E-04
  6.5200001E-01    8.7215344E-04
  6.5220004E-01    9.8195579E-04
  6.5240008E-01    1.2720127E-03
  6.5259999E-01    1.3786589E-03
  6.5280002E-01    1.6825247E-03
  6.5300006E-01    1.9824016E-03
  6.5320003E-01    2.3606501E-03
  6.5340006E-01    2.8036605E-03
  6.5359998E-01    3.2961813E-03
  6.5380001E-01    3.9570597E-03
  6.5400004E-01    4.6983049E-03
  6.5420002E-01    5.7498682E-03
  6.5440005E-01    6.9792923E-03
  6.5460002E-01    8.5238460E-03
  6.5480000E-01    1.0375902E-02
  6.5500003E-01    1.2744765E-02
  6.5520006E-01    1.5809232E-02
  6.5540004E-01    1.9707866E-02
  6.5560001E-01    2.4916995E-02
  6.5580004E-01    3.1559806E-02
  6.5600002E-01    4.0482197E-02
  6.5620005E-01    5.1989209E-02
  6.5640008E-01    6.7598991E-02
  6.5660000E-01    8.7932192E-02
  6.5680003E-01    1.1461020E-01
  6.5700001E-01    1.4848360E-01
  6.5720004E-01    1.9034435E-01
  6.5740007E-01    2.4037075E-01
  6.5759999E-01    2.9798791E-01
  6.5780002E-01    3.6371207E-01
  6.5800005E-01    4.3530241E-01
  6.5820003E-01    5.1010734E-01
  6.5840006E-01    5.8544028E-01
  6.5860003E-01    6.5927142E-01
  6.5880001E-01    7.2833931E-01
  6.5900004E-01    7.8942925E-01
  6.5920007E-01    8.4262329E-01
  6.5940005E-01    8.8597405E-01
  6.5960002E-01    9.2112398E-01
  6.5979999E-01    9.4675893E-01
  6.6000003E-01    9.6487355E-01
  6.6020006E-01    9.7682881E-01
  6.6040003E-01    9.8433745E-01
  6.6060001E-01    9.8872530E-01
  6.6080004E-01    9.9110693E-01
  6.6100001E-01    9.9258518E-01
  6.6120005E-01    9.9412215E-01
  6.6140008E-01    9.9503720E-01
  6.6159999E-01    9.9670327E-01
  6.6180003E-01    9.9821669E-01
  6.6200006E-01    9.9893230E-01
  6.6220003E-01    1.0000000E+00
  6.6240007E-01    9.9938989E-01
  6.6259998E-01    9.9764174E-01
  6.6280001E-01    9.9474394E-01
  6.6300005E-01    9.8843199E-01
  6.6320002E-01    9.7875291E-01
  6.6340005E-01    9.6362996E-01
  6.6360003E-01    9.4212472E-01
  6.6380000E-01    9.1375613E-01
  6.6400003E-01    8.7648267E-01
  6.6420007E-01    8.3125472E-01
  6.6440004E-01    7.7874112E-01
  6.6460001E-01    7.1715844E-01
  6.6480005E-01    6.5083593E-01
  6.6500002E-01    5.7982051E-01
  6.6520005E-01    5.0970846E-01
  6.6540003E-01    4.3913886E-01
  6.6560000E-01    3.7252304E-01
  6.6580003E-01    3.1145656E-01
  6.6600001E-01    2.5669032E-01
  6.6620004E-01    2.0895171E-01
  6.6640007E-01    1.6906200E-01
  6.6659999E-01    1.3622338E-01
  6.6680002E-01    1.1006042E-01
  6.6700006E-01    8.9504309E-02
  6.6720003E-01    7.2984099E-02
  6.6740006E-01    6.0103245E-02
  6.6760004E-01    4.9639232E-02
  6.6780001E-01    4.1411392E-02
  6.6800004E-01    3.4846012E-02
  6.6820002E-01    2.9505484E-02
  6.6840005E-01    2.5111750E-02
  6.6860002E-01    2.1405526E-02
  6.6880000E-01    1.8201442E-02
  6.6900003E-01    1.5551124E-02
  6.6920006E-01    1.3208189E-02
  6.6940004E-01    1.1225553E-02
  6.6960001E-01    9.5248427E-03
  6.6980004E-01    8.1065288E-03
  6.7000002E-01    6.8646683E-03
  6.7020005E-01    5.7205372E-03
  6.7040008E-01    4.8766350E-03
  6.7060000E-01    4.0496276E-03
  6.7080003E-01    3.3602393E-03
  6.7100000E-01    2.7686984E-03
  6.7120004E-01    2.3076199E-03
  6.7140007E-01    1.9364111E-03
  6.7159998E-01    1.6143604E-03
  6.7180002E-01    1.3165952E-03
  6.7200005E-01    1.1078899E-03
  6.7220002E-01    9.1624336E-04
  6.7240006E-01    7.7248784E-04
  6.7260003E-01    6.3484482E-04
  6.7280000E-01    5.5109989E-04
  6.7300004E-01    4.7942743E-04
  6.7320007E-01    3.9564734E-04
  6.7340004E-01    3.3343109E-04
  6.7360002E-01    3.0584855E-04
  6.7379999E-01    2.8004928E-04
  6.7400002E-01    2.1482958E-04
  6.7420006E-01    1.9676189E-04
  6.7440003E-01    2.0687512E-04
  6.7460001E-01    1.7276940E-04
  6.7480004E-01    1.3421716E-04
  6.7500001E-01    9.5006748E-05
  6.7520005E-01    1.3990731E-04
  6.7540008E-01    8.4970961E-05
  6.7559999E-01    9.7701646E-05
  6.7580003E-01    8.4444182E-05
  6.7600006E-01    5.4887078E-05
  6.7620003E-01    1.0081422E-04
  6.7640007E-01    1.1847246E-04
  6.7659998E-01    6.2026164E-05
  6.7680001E-01    3.6582391E-05
  6.7700005E-01    5.4207776E-05
  6.7720002E-01    4.0832991E-05
