# wave[microns]    norm_trans
  7.1280003E-01    2.2445185E-05
  7.1300006E-01    3.3469736E-05
  7.1320003E-01    3.0907344E-05
  7.1340007E-01    7.0415277E-05
  7.1359998E-01    4.0648683E-05
  7.1380001E-01    4.9132061E-05
  7.1400005E-01    2.5810852E-05
  7.1420002E-01    7.4004245E-05
  7.1440005E-01    3.1785388E-05
  7.1460003E-01    4.8428814E-05
  7.1480000E-01    3.6380719E-05
  7.1500003E-01    7.7021316E-05
  7.1520007E-01    4.1793475E-05
  7.1540004E-01    8.2871578E-05
  7.1560001E-01    6.7944835E-05
  7.1580005E-01    3.8417704E-05
  7.1600002E-01    9.1181166E-05
  7.1620005E-01    7.8288373E-05
  7.1640009E-01    8.2495702E-05
  7.1660000E-01    6.1381223E-05
  7.1680003E-01    6.1559054E-05
  7.1700001E-01    8.4867133E-05
  7.1720004E-01    7.1540868E-05
  7.1740007E-01    6.6320092E-05
  7.1759999E-01    8.0289989E-05
  7.1780002E-01    9.2972616E-05
  7.1800005E-01    5.7871071E-05
  7.1820003E-01    1.0859856E-04
  7.1840006E-01    7.2213807E-05
  7.1860003E-01    1.0420329E-04
  7.1880001E-01    8.2324943E-05
  7.1900004E-01    1.2634131E-04
  7.1920007E-01    9.7107208E-05
  7.1940005E-01    4.5269273E-05
  7.1960002E-01    9.3397997E-05
  7.1980000E-01    1.1679297E-04
  7.2000003E-01    8.3427294E-05
  7.2020006E-01    1.0058502E-04
  7.2040004E-01    1.3289886E-04
  7.2060001E-01    9.8990604E-05
  7.2080004E-01    1.5429928E-04
  7.2100002E-01    1.2149136E-04
  7.2120005E-01    1.1871274E-04
  7.2140008E-01    1.2557340E-04
  7.2160000E-01    1.5515812E-04
  7.2180003E-01    1.4616550E-04
  7.2200006E-01    1.6419117E-04
  7.2220004E-01    1.8830958E-04
  7.2240007E-01    1.7690209E-04
  7.2259998E-01    1.4494291E-04
  7.2280002E-01    2.0138425E-04
  7.2300005E-01    2.2264323E-04
  7.2320002E-01    1.9515005E-04
  7.2340006E-01    2.5089423E-04
  7.2360003E-01    1.9921188E-04
  7.2380000E-01    2.4623622E-04
  7.2400004E-01    2.2625037E-04
  7.2420007E-01    2.4673133E-04
  7.2440004E-01    2.3964838E-04
  7.2460002E-01    2.5471355E-04
  7.2480005E-01    2.5675457E-04
  7.2500002E-01    2.7798323E-04
  7.2520006E-01    2.9634233E-04
  7.2540003E-01    3.0566839E-04
  7.2560000E-01    3.5471353E-04
  7.2580004E-01    3.2625036E-04
  7.2600001E-01    3.3537435E-04
  7.2620004E-01    3.7854904E-04
  7.2640008E-01    3.7625546E-04
  7.2659999E-01    3.2183490E-04
  7.2680002E-01    4.3111044E-04
  7.2700006E-01    3.9910074E-04
  7.2720003E-01    4.0854802E-04
  7.2740006E-01    4.4114378E-04
  7.2760004E-01    4.7770029E-04
  7.2780001E-01    4.8108515E-04
  7.2800004E-01    4.9987872E-04
  7.2820002E-01    5.1187229E-04
  7.2840005E-01    4.7188037E-04
  7.2860003E-01    5.8843085E-04
  7.2880000E-01    5.8404566E-04
  7.2900003E-01    6.2065269E-04
  7.2920007E-01    6.0033344E-04
