# wave[microns]    norm_trans
  3.7500003E-01    0.0000000E+00
  3.8000003E-01    0.0000000E+00
  3.8500002E-01    2.2099449E-03
  3.9000002E-01    2.7624311E-02
  3.9500001E-01    2.8729281E-01
  4.0000001E-01    7.9005522E-01
  4.0500003E-01    8.2320446E-01
  4.1000003E-01    8.3425415E-01
  4.1500002E-01    8.8397795E-01
  4.2000002E-01    8.9502764E-01
  4.2500001E-01    9.0607738E-01
  4.3000001E-01    8.9502764E-01
  4.3500003E-01    9.2265195E-01
  4.4000003E-01    9.4475144E-01
  4.4500002E-01    8.9502764E-01
  4.5000002E-01    8.9502764E-01
  4.5500001E-01    9.1712707E-01
  4.6000001E-01    9.1712707E-01
  4.6500003E-01    9.2817682E-01
  4.7000003E-01    9.5027632E-01
  4.7500002E-01    9.5580113E-01
  4.8000002E-01    9.6132600E-01
  4.8500001E-01    9.7237569E-01
  4.9000001E-01    9.6685088E-01
  4.9500003E-01    9.7237569E-01
  5.0000000E-01    9.9447513E-01
  5.0500000E-01    1.0000000E+00
  5.1000005E-01    9.7237569E-01
  5.1500005E-01    9.7237569E-01
  5.2000004E-01    9.8342544E-01
  5.2500004E-01    9.7237569E-01
  5.3000003E-01    9.3922657E-01
  5.3500003E-01    9.0055251E-01
  5.4000002E-01    8.2872933E-01
  5.4500002E-01    8.2872933E-01
  5.5000001E-01    6.9060779E-01
  5.5500001E-01    1.3259669E-01
  5.6000000E-01    2.2099448E-02
  5.6500000E-01    2.2099449E-03
  5.7000005E-01    0.0000000E+00
  5.7500005E-01    0.0000000E+00
