# wave[microns]    norm_trans
  5.1400000E-01    5.1791721E-06
  5.1450002E-01    6.3736998E-06
  5.1500005E-01    5.1676434E-06
  5.1550001E-01    6.5024660E-06
  5.1600003E-01    5.3121867E-06
  5.1650000E-01    5.8314495E-06
  5.1700002E-01    5.1799652E-06
  5.1750004E-01    4.8645575E-06
  5.1800001E-01    5.4826896E-06
  5.1850003E-01    5.9558570E-06
  5.1900005E-01    6.3146294E-06
  5.1950002E-01    5.1733377E-06
  5.2000004E-01    5.7547636E-06
  5.2050000E-01    5.6394747E-06
  5.2100003E-01    8.0797372E-06
  5.2150005E-01    9.5608611E-06
  5.2200001E-01    8.7681583E-06
  5.2250004E-01    1.1602301E-05
  5.2300000E-01    1.3377844E-05
  5.2350003E-01    1.5328138E-05
  5.2400005E-01    1.6774284E-05
  5.2450001E-01    1.9545218E-05
  5.2500004E-01    2.6671582E-05
  5.2550000E-01    3.0469875E-05
  5.2600002E-01    3.5583420E-05
  5.2650005E-01    4.4962078E-05
  5.2700001E-01    5.2962660E-05
  5.2750003E-01    6.1720260E-05
  5.2800000E-01    7.0593145E-05
  5.2850002E-01    7.7739984E-05
  5.2900004E-01    8.4420739E-05
  5.2950001E-01    9.2789305E-05
  5.3000003E-01    1.0023036E-04
  5.3050005E-01    1.0535645E-04
  5.3100002E-01    1.1746496E-04
  5.3150004E-01    1.2501267E-04
  5.3200001E-01    1.3619427E-04
  5.3250003E-01    1.5189106E-04
  5.3300005E-01    1.6881737E-04
  5.3350002E-01    1.9173637E-04
  5.3400004E-01    2.1900151E-04
  5.3450000E-01    2.5675705E-04
  5.3500003E-01    3.0136274E-04
  5.3550005E-01    3.6403880E-04
  5.3600001E-01    4.4180249E-04
  5.3650004E-01    5.4244592E-04
  5.3700000E-01    6.7770877E-04
  5.3750002E-01    8.5700094E-04
  5.3800005E-01    1.0922462E-03
  5.3850001E-01    1.4002854E-03
  5.3900003E-01    1.8166648E-03
  5.3950000E-01    2.3490689E-03
  5.4000002E-01    3.0357924E-03
  5.4050004E-01    3.9076405E-03
  5.4100001E-01    4.9723806E-03
  5.4150003E-01    6.2482646E-03
  5.4200006E-01    7.7298940E-03
  5.4250002E-01    9.4417576E-03
  5.4300004E-01    1.1336015E-02
  5.4350001E-01    1.3485260E-02
  5.4400003E-01    1.6023282E-02
  5.4450005E-01    1.8865099E-02
  5.4500002E-01    2.2310928E-02
  5.4550004E-01    2.6545266E-02
  5.4600000E-01    3.1660676E-02
  5.4650003E-01    3.8036935E-02
  5.4700005E-01    4.5872763E-02
  5.4750001E-01    5.5468220E-02
  5.4800004E-01    6.7084715E-02
  5.4850000E-01    8.0691323E-02
  5.4900002E-01    9.6310019E-02
  5.4950005E-01    1.1328446E-01
  5.5000001E-01    1.3082834E-01
  5.5050004E-01    1.4868833E-01
  5.5100000E-01    1.6527006E-01
  5.5150002E-01    1.8047062E-01
  5.5200005E-01    1.9486289E-01
  5.5250001E-01    2.0796603E-01
  5.5300003E-01    2.2111490E-01
  5.5350000E-01    2.3428562E-01
  5.5400002E-01    2.4865553E-01
  5.5450004E-01    2.6437807E-01
  5.5500001E-01    2.8169200E-01
  5.5550003E-01    3.0129242E-01
  5.5600005E-01    3.2255092E-01
  5.5650002E-01    3.4561515E-01
  5.5700004E-01    3.7066051E-01
  5.5750000E-01    3.9596638E-01
  5.5800003E-01    4.2178732E-01
  5.5850005E-01    4.4725361E-01
  5.5900002E-01    4.7178093E-01
  5.5950004E-01    4.9440858E-01
  5.6000000E-01    5.1573670E-01
  5.6050003E-01    5.3533649E-01
  5.6100005E-01    5.5365360E-01
  5.6150001E-01    5.7118624E-01
  5.6200004E-01    5.8813643E-01
  5.6250000E-01    6.0544938E-01
  5.6300002E-01    6.2341487E-01
  5.6350005E-01    6.4260316E-01
  5.6400001E-01    6.6275245E-01
  5.6450003E-01    6.8402654E-01
  5.6500000E-01    7.0663881E-01
  5.6550002E-01    7.2987789E-01
  5.6600004E-01    7.5317144E-01
  5.6650001E-01    7.7650654E-01
  5.6700003E-01    7.9887509E-01
  5.6750005E-01    8.1985956E-01
  5.6800002E-01    8.3905500E-01
  5.6850004E-01    8.5618728E-01
  5.6900001E-01    8.7034470E-01
  5.6950003E-01    8.8321286E-01
  5.7000005E-01    8.9376217E-01
  5.7050002E-01    9.0237141E-01
  5.7100004E-01    9.1042972E-01
  5.7150000E-01    9.1751838E-01
  5.7200003E-01    9.2365468E-01
  5.7250005E-01    9.3016690E-01
  5.7300001E-01    9.3628931E-01
  5.7350004E-01    9.4246471E-01
  5.7400000E-01    9.4894838E-01
  5.7450002E-01    9.5476598E-01
  5.7500005E-01    9.6095073E-01
  5.7550001E-01    9.6678382E-01
  5.7600003E-01    9.7184926E-01
  5.7650000E-01    9.7618979E-01
  5.7700002E-01    9.7955483E-01
  5.7750005E-01    9.8245293E-01
  5.7800001E-01    9.8482347E-01
  5.7850003E-01    9.8603445E-01
  5.7900006E-01    9.8701662E-01
  5.7950002E-01    9.8759663E-01
  5.8000004E-01    9.8740792E-01
  5.8050001E-01    9.8712188E-01
  5.8100003E-01    9.8718309E-01
  5.8150005E-01    9.8707789E-01
  5.8200002E-01    9.8728347E-01
  5.8250004E-01    9.8725778E-01
  5.8300000E-01    9.8741549E-01
  5.8350003E-01    9.8783237E-01
  5.8400005E-01    9.8829192E-01
  5.8450001E-01    9.8882812E-01
  5.8500004E-01    9.8878014E-01
  5.8550000E-01    9.8916906E-01
  5.8600003E-01    9.8922598E-01
  5.8650005E-01    9.8955292E-01
  5.8700001E-01    9.8922861E-01
  5.8750004E-01    9.8930168E-01
  5.8800000E-01    9.8878175E-01
  5.8850002E-01    9.8905605E-01
  5.8900005E-01    9.8898780E-01
  5.8950001E-01    9.8875028E-01
  5.9000003E-01    9.8879647E-01
  5.9050006E-01    9.8900902E-01
  5.9100002E-01    9.8928696E-01
  5.9150004E-01    9.8967266E-01
  5.9200001E-01    9.9021757E-01
  5.9250003E-01    9.9093032E-01
  5.9300005E-01    9.9128824E-01
  5.9350002E-01    9.9181187E-01
  5.9400004E-01    9.9213958E-01
  5.9450001E-01    9.9236763E-01
  5.9500003E-01    9.9239916E-01
  5.9550005E-01    9.9241310E-01
  5.9600002E-01    9.9228138E-01
  5.9650004E-01    9.9190331E-01
  5.9700000E-01    9.9183011E-01
  5.9750003E-01    9.9117726E-01
  5.9800005E-01    9.9097109E-01
  5.9850001E-01    9.9048138E-01
  5.9900004E-01    9.9028707E-01
  5.9950000E-01    9.8984420E-01
  6.0000002E-01    9.8965621E-01
  6.0050005E-01    9.8947048E-01
  6.0100001E-01    9.8951632E-01
  6.0150003E-01    9.8948520E-01
  6.0200006E-01    9.8962915E-01
  6.0250002E-01    9.9009073E-01
  6.0300004E-01    9.9020272E-01
  6.0350001E-01    9.9074441E-01
  6.0400003E-01    9.9085528E-01
  6.0450006E-01    9.9110192E-01
  6.0500002E-01    9.9131483E-01
  6.0550004E-01    9.9157083E-01
  6.0600001E-01    9.9186254E-01
  6.0650003E-01    9.9206209E-01
  6.0700005E-01    9.9211061E-01
  6.0750002E-01    9.9249083E-01
  6.0800004E-01    9.9243772E-01
  6.0850000E-01    9.9239439E-01
  6.0900003E-01    9.9259973E-01
  6.0950005E-01    9.9274677E-01
  6.1000001E-01    9.9272209E-01
  6.1050004E-01    9.9299854E-01
  6.1100000E-01    9.9303401E-01
  6.1150002E-01    9.9318594E-01
  6.1200005E-01    9.9342042E-01
  6.1250001E-01    9.9325985E-01
  6.1300004E-01    9.9323255E-01
  6.1350006E-01    9.9288458E-01
  6.1400002E-01    9.9257767E-01
  6.1450005E-01    9.9225014E-01
  6.1500001E-01    9.9194610E-01
  6.1550003E-01    9.9142259E-01
  6.1600006E-01    9.9120837E-01
  6.1650002E-01    9.9084020E-01
  6.1700004E-01    9.9049097E-01
  6.1750001E-01    9.8966771E-01
  6.1800003E-01    9.8954386E-01
  6.1850005E-01    9.8936343E-01
  6.1900002E-01    9.8907650E-01
  6.1950004E-01    9.8918319E-01
  6.2000000E-01    9.8923695E-01
  6.2050003E-01    9.8946005E-01
  6.2100005E-01    9.8958892E-01
  6.2150002E-01    9.8996615E-01
  6.2200004E-01    9.9054784E-01
  6.2250000E-01    9.9124825E-01
  6.2300003E-01    9.9159622E-01
  6.2350005E-01    9.9225396E-01
  6.2400001E-01    9.9268097E-01
  6.2450004E-01    9.9322212E-01
  6.2500000E-01    9.9384940E-01
  6.2550002E-01    9.9402577E-01
  6.2600005E-01    9.9431819E-01
  6.2650001E-01    9.9452192E-01
  6.2700003E-01    9.9481404E-01
  6.2750006E-01    9.9497300E-01
  6.2800002E-01    9.9524558E-01
  6.2850004E-01    9.9511629E-01
  6.2900001E-01    9.9517030E-01
