# wave[microns]    norm_trans
  2.1200001E+00    2.1245593E-04
  2.1202500E+00    3.0701919E-04
  2.1205001E+00    1.9897925E-04
  2.1207502E+00    2.0951145E-04
  2.1210001E+00    3.0543370E-04
  2.1212502E+00    1.8538932E-04
  2.1215000E+00    2.6647592E-04
  2.1217501E+00    3.1823089E-04
  2.1220002E+00    3.5118646E-04
  2.1222501E+00    2.4948848E-04
  2.1225002E+00    3.1936340E-04
  2.1227500E+00    4.5843367E-04
  2.1230001E+00    3.3623754E-04
  2.1232500E+00    3.1845740E-04
  2.1235001E+00    4.8753878E-04
  2.1237502E+00    4.7021161E-04
  2.1240001E+00    4.3997401E-04
  2.1242502E+00    4.6251065E-04
  2.1245000E+00    4.3861504E-04
  2.1247501E+00    4.9252174E-04
  2.1250000E+00    4.0475346E-04
  2.1252501E+00    5.8844400E-04
  2.1255002E+00    5.1924866E-04
  2.1257501E+00    5.5605470E-04
  2.1260002E+00    6.3464977E-04
  2.1262500E+00    6.3045957E-04
  2.1265001E+00    6.1811536E-04
  2.1267500E+00    6.2830781E-04
  2.1270001E+00    6.4869272E-04
  2.1272502E+00    7.0282596E-04
  2.1275001E+00    6.4552174E-04
  2.1277502E+00    8.1154535E-04
  2.1280000E+00    7.7202142E-04
  2.1282501E+00    8.5050316E-04
  2.1285000E+00    9.2151063E-04
  2.1287501E+00    9.8844094E-04
  2.1290002E+00    9.6250692E-04
  2.1292500E+00    1.0706601E-03
  2.1295002E+00    1.0676023E-03
  2.1297500E+00    1.0551449E-03
  2.1300001E+00    1.1503877E-03
  2.1302502E+00    1.2533314E-03
  2.1305001E+00    1.2587673E-03
  2.1307502E+00    1.3806238E-03
  2.1310000E+00    1.6122189E-03
  2.1312501E+00    1.4746208E-03
  2.1315000E+00    1.5175424E-03
  2.1317501E+00    1.6489117E-03
  2.1320002E+00    1.6336230E-03
  2.1322501E+00    1.8486837E-03
  2.1325002E+00    2.0339598E-03
  2.1327500E+00    2.0429064E-03
  2.1330001E+00    2.1825430E-03
  2.1332500E+00    2.2088168E-03
  2.1335001E+00    2.4036057E-03
  2.1337502E+00    2.4181018E-03
  2.1340001E+00    2.7247814E-03
  2.1342502E+00    2.7273861E-03
  2.1345000E+00    2.9017900E-03
  2.1347501E+00    3.1122074E-03
  2.1350000E+00    3.2235319E-03
  2.1352501E+00    3.3667921E-03
  2.1355002E+00    3.5997464E-03
  2.1357501E+00    3.8196768E-03
  2.1360002E+00    3.9963457E-03
  2.1362500E+00    4.2392658E-03
  2.1365001E+00    4.4727861E-03
  2.1367500E+00    4.6697268E-03
  2.1370001E+00    5.0277081E-03
  2.1372502E+00    5.2619083E-03
  2.1375000E+00    5.5523929E-03
  2.1377501E+00    5.9082229E-03
  2.1380000E+00    6.2216972E-03
  2.1382501E+00    6.6373227E-03
  2.1385002E+00    6.8655205E-03
  2.1387501E+00    7.3176115E-03
  2.1390002E+00    7.7980161E-03
  2.1392500E+00    8.3129611E-03
  2.1395001E+00    8.7362872E-03
  2.1397500E+00    9.2123877E-03
  2.1400001E+00    9.7651584E-03
  2.1402502E+00    1.0396071E-02
  2.1405001E+00    1.0833100E-02
  2.1407502E+00    1.1743853E-02
  2.1410000E+00    1.2356079E-02
  2.1412501E+00    1.3115416E-02
  2.1415000E+00    1.3883134E-02
  2.1417501E+00    1.4620728E-02
  2.1420002E+00    1.5724570E-02
  2.1422501E+00    1.6498063E-02
  2.1425002E+00    1.7859662E-02
  2.1427500E+00    1.8793516E-02
  2.1430001E+00    1.9921482E-02
  2.1432500E+00    2.1259975E-02
  2.1435001E+00    2.2515798E-02
  2.1437502E+00    2.4250327E-02
  2.1440001E+00    2.5463002E-02
  2.1442502E+00    2.7525727E-02
  2.1445000E+00    2.9020507E-02
  2.1447501E+00    3.0737706E-02
  2.1450002E+00    3.3080045E-02
  2.1452501E+00    3.4796115E-02
  2.1455002E+00    3.7681598E-02
  2.1457500E+00    3.9629713E-02
  2.1460001E+00    4.2682916E-02
  2.1462500E+00    4.5414604E-02
  2.1465001E+00    4.8067022E-02
  2.1467502E+00    5.2054986E-02
  2.1470001E+00    5.4798000E-02
  2.1472502E+00    5.9459802E-02
  2.1475000E+00    6.2973812E-02
  2.1477501E+00    6.7368463E-02
  2.1480000E+00    7.2279178E-02
  2.1482501E+00    7.6409392E-02
  2.1485002E+00    8.2997680E-02
  2.1487501E+00    8.7407947E-02
  2.1490002E+00    9.4815701E-02
  2.1492500E+00    1.0098519E-01
  2.1495001E+00    1.0754041E-01
  2.1497500E+00    1.1664737E-01
  2.1500001E+00    1.2285163E-01
  2.1502502E+00    1.3350613E-01
  2.1505001E+00    1.4085498E-01
  2.1507502E+00    1.5225706E-01
  2.1510000E+00    1.6256763E-01
  2.1512501E+00    1.7258182E-01
  2.1515000E+00    1.8747818E-01
  2.1517501E+00    1.9754505E-01
  2.1520002E+00    2.1368684E-01
  2.1522501E+00    2.2602966E-01
  2.1525002E+00    2.4145979E-01
  2.1527500E+00    2.5899917E-01
  2.1530001E+00    2.7335909E-01
  2.1532502E+00    2.9457262E-01
  2.1535001E+00    3.1012270E-01
  2.1537502E+00    3.3256283E-01
  2.1540000E+00    3.5199982E-01
  2.1542501E+00    3.7143764E-01
  2.1545000E+00    3.9695963E-01
  2.1547501E+00    4.1508761E-01
  2.1550002E+00    4.4381204E-01
  2.1552501E+00    4.6434247E-01
  2.1555002E+00    4.8984715E-01
  2.1557500E+00    5.1709193E-01
  2.1560001E+00    5.4019505E-01
  2.1562500E+00    5.6973112E-01
  2.1565001E+00    5.9047502E-01
  2.1567502E+00    6.2084490E-01
  2.1570001E+00    6.4317304E-01
  2.1572502E+00    6.6861171E-01
  2.1575000E+00    6.9582248E-01
  2.1577501E+00    7.1909028E-01
  2.1580000E+00    7.4574012E-01
  2.1582501E+00    7.6406503E-01
  2.1585002E+00    7.8954285E-01
  2.1587501E+00    8.0975407E-01
  2.1590002E+00    8.2963854E-01
  2.1592500E+00    8.5035521E-01
  2.1595001E+00    8.6661536E-01
  2.1597500E+00    8.8478810E-01
  2.1600001E+00    8.9711767E-01
  2.1602502E+00    9.1322154E-01
  2.1605000E+00    9.2589384E-01
  2.1607502E+00    9.3647045E-01
  2.1610000E+00    9.4782650E-01
  2.1612501E+00    9.5538521E-01
  2.1615002E+00    9.6432894E-01
  2.1617501E+00    9.7043550E-01
  2.1620002E+00    9.7675240E-01
  2.1622500E+00    9.8248899E-01
  2.1625001E+00    9.8606336E-01
  2.1627500E+00    9.9001843E-01
  2.1630001E+00    9.9185538E-01
  2.1632502E+00    9.9450505E-01
  2.1635001E+00    9.9591482E-01
  2.1637502E+00    9.9744481E-01
  2.1640000E+00    9.9848318E-01
  2.1642501E+00    9.9909586E-01
  2.1645000E+00    9.9986053E-01
  2.1647501E+00    1.0000000E+00
  2.1650002E+00    9.9987495E-01
  2.1652501E+00    9.9987829E-01
  2.1655002E+00    9.9959356E-01
  2.1657500E+00    9.9904329E-01
  2.1660001E+00    9.9887282E-01
  2.1662500E+00    9.9846107E-01
  2.1665001E+00    9.9787790E-01
  2.1667502E+00    9.9768084E-01
  2.1670001E+00    9.9741727E-01
  2.1672502E+00    9.9748456E-01
  2.1675000E+00    9.9743772E-01
  2.1677501E+00    9.9708384E-01
  2.1680002E+00    9.9684936E-01
  2.1682501E+00    9.9661934E-01
  2.1685002E+00    9.9615186E-01
  2.1687500E+00    9.9606490E-01
  2.1690001E+00    9.9570709E-01
  2.1692500E+00    9.9509633E-01
  2.1695001E+00    9.9507558E-01
  2.1697502E+00    9.9470705E-01
  2.1700001E+00    9.9406320E-01
  2.1702502E+00    9.9374801E-01
  2.1705000E+00    9.9318516E-01
  2.1707501E+00    9.9257809E-01
  2.1710000E+00    9.9187750E-01
  2.1712501E+00    9.9095839E-01
  2.1715002E+00    9.8994285E-01
  2.1717501E+00    9.8844826E-01
  2.1720002E+00    9.8758614E-01
  2.1722500E+00    9.8618728E-01
  2.1725001E+00    9.8500657E-01
  2.1727500E+00    9.8364824E-01
  2.1730001E+00    9.8236102E-01
  2.1732502E+00    9.8087370E-01
  2.1735001E+00    9.7923255E-01
  2.1737502E+00    9.7825706E-01
  2.1740000E+00    9.7631520E-01
  2.1742501E+00    9.7538298E-01
  2.1745000E+00    9.7344273E-01
  2.1747501E+00    9.7186422E-01
  2.1750002E+00    9.7061610E-01
  2.1752501E+00    9.6882504E-01
  2.1755002E+00    9.6802080E-01
  2.1757500E+00    9.6692574E-01
  2.1760001E+00    9.6579224E-01
  2.1762502E+00    9.6530294E-01
  2.1765001E+00    9.6424848E-01
  2.1767502E+00    9.6419853E-01
