# wave[microns]    norm_trans
  1.5900000E+00    7.1701972E-04
  1.5905001E+00    7.6899130E-04
  1.5910001E+00    7.9812057E-04
  1.5915000E+00    8.3479407E-04
  1.5920001E+00    8.2305860E-04
  1.5925001E+00    9.3768950E-04
  1.5930001E+00    9.6713309E-04
  1.5935000E+00    1.0040163E-03
  1.5940001E+00    1.1223145E-03
  1.5945001E+00    1.1791061E-03
  1.5950000E+00    1.1917846E-03
  1.5955001E+00    1.2672273E-03
  1.5960001E+00    1.2984521E-03
  1.5965000E+00    1.3882498E-03
  1.5970001E+00    1.4478706E-03
  1.5975001E+00    1.5122064E-03
  1.5980000E+00    1.6579576E-03
  1.5985001E+00    1.6896015E-03
  1.5990001E+00    1.8578806E-03
  1.5995001E+00    1.9176060E-03
  1.6000000E+00    2.0238543E-03
  1.6005001E+00    2.1415241E-03
  1.6010001E+00    2.2770064E-03
  1.6015000E+00    2.3602031E-03
  1.6020001E+00    2.5495433E-03
  1.6025001E+00    2.7362637E-03
  1.6030000E+00    2.8362253E-03
  1.6035001E+00    3.0871769E-03
  1.6040001E+00    3.2649911E-03
  1.6045001E+00    3.5201339E-03
  1.6050000E+00    3.6209337E-03
  1.6055001E+00    3.8908508E-03
  1.6060001E+00    4.1223136E-03
  1.6065000E+00    4.3580714E-03
  1.6070001E+00    4.7426196E-03
  1.6075001E+00    5.0268918E-03
  1.6080000E+00    5.3115827E-03
  1.6085001E+00    5.6568384E-03
  1.6090001E+00    6.0555320E-03
  1.6095001E+00    6.4360979E-03
  1.6100001E+00    6.9200839E-03
  1.6105001E+00    7.3817512E-03
  1.6110001E+00    7.8805108E-03
  1.6115000E+00    8.3104298E-03
  1.6120001E+00    8.9824973E-03
  1.6125001E+00    9.5604723E-03
  1.6130000E+00    1.0323806E-02
  1.6135001E+00    1.1142569E-02
  1.6140001E+00    1.1880125E-02
  1.6145000E+00    1.2654250E-02
  1.6150001E+00    1.3560716E-02
  1.6155001E+00    1.4515693E-02
  1.6160001E+00    1.5584151E-02
  1.6165000E+00    1.6894968E-02
  1.6170001E+00    1.8178225E-02
  1.6175001E+00    1.9580517E-02
  1.6180000E+00    2.0829407E-02
  1.6185001E+00    2.2421144E-02
  1.6190001E+00    2.4179585E-02
  1.6195000E+00    2.6292924E-02
  1.6200001E+00    2.8369378E-02
  1.6205001E+00    3.0536154E-02
  1.6210001E+00    3.2777324E-02
  1.6215001E+00    3.5239272E-02
  1.6220001E+00    3.8049407E-02
  1.6225001E+00    4.1352641E-02
  1.6230000E+00    4.4907775E-02
  1.6235001E+00    4.8458923E-02
  1.6240001E+00    5.2138951E-02
  1.6245000E+00    5.5964842E-02
  1.6250001E+00    6.0643230E-02
  1.6255001E+00    6.5863229E-02
  1.6260000E+00    7.1556538E-02
  1.6265001E+00    7.7394858E-02
  1.6270001E+00    8.3452269E-02
  1.6275001E+00    8.9812718E-02
  1.6280000E+00    9.6794620E-02
  1.6285001E+00    1.0538650E-01
  1.6290001E+00    1.1452344E-01
  1.6295000E+00    1.2392328E-01
  1.6300001E+00    1.3350807E-01
  1.6305001E+00    1.4365961E-01
  1.6310000E+00    1.5488611E-01
  1.6315001E+00    1.6709995E-01
  1.6320001E+00    1.8156295E-01
  1.6325001E+00    1.9648981E-01
  1.6330001E+00    2.1086666E-01
  1.6335001E+00    2.2608711E-01
  1.6340001E+00    2.4209397E-01
  1.6345000E+00    2.6021832E-01
  1.6350001E+00    2.7987543E-01
  1.6355001E+00    3.0155766E-01
  1.6360000E+00    3.2184672E-01
  1.6365001E+00    3.4190848E-01
  1.6370001E+00    3.6313963E-01
  1.6375000E+00    3.8622677E-01
  1.6380001E+00    4.1021511E-01
  1.6385001E+00    4.3645531E-01
  1.6390001E+00    4.6256512E-01
  1.6395000E+00    4.8649773E-01
  1.6400001E+00    5.0989944E-01
  1.6405001E+00    5.3429610E-01
  1.6410000E+00    5.6106097E-01
  1.6415001E+00    5.8695436E-01
  1.6420001E+00    6.1277252E-01
  1.6425000E+00    6.3628906E-01
  1.6430001E+00    6.5821230E-01
  1.6435001E+00    6.7953956E-01
  1.6440001E+00    7.0130754E-01
  1.6445001E+00    7.2276968E-01
  1.6450001E+00    7.4451745E-01
  1.6455001E+00    7.6376307E-01
  1.6460000E+00    7.8115654E-01
  1.6465001E+00    7.9710221E-01
  1.6470001E+00    8.1160283E-01
  1.6475000E+00    8.2818657E-01
  1.6480001E+00    8.4373373E-01
  1.6485001E+00    8.5670632E-01
  1.6490000E+00    8.6821669E-01
  1.6495001E+00    8.7847036E-01
  1.6500001E+00    8.8847589E-01
  1.6505001E+00    8.9794445E-01
  1.6510000E+00    9.0711290E-01
  1.6515001E+00    9.1526949E-01
  1.6520001E+00    9.2265844E-01
  1.6525000E+00    9.2883748E-01
  1.6530001E+00    9.3399781E-01
  1.6535001E+00    9.3952090E-01
  1.6540000E+00    9.4524795E-01
  1.6545001E+00    9.4998145E-01
  1.6550001E+00    9.5383865E-01
  1.6555001E+00    9.5761454E-01
  1.6560001E+00    9.6076202E-01
  1.6565001E+00    9.6343023E-01
  1.6570001E+00    9.6618319E-01
  1.6575000E+00    9.6888691E-01
  1.6580001E+00    9.7119653E-01
  1.6585001E+00    9.7284639E-01
  1.6590000E+00    9.7453028E-01
  1.6595001E+00    9.7591740E-01
  1.6600001E+00    9.7753352E-01
  1.6605000E+00    9.7901148E-01
  1.6610001E+00    9.8030412E-01
  1.6615001E+00    9.8093390E-01
  1.6620001E+00    9.8170787E-01
  1.6625000E+00    9.8220932E-01
  1.6630001E+00    9.8290908E-01
  1.6635001E+00    9.8349130E-01
  1.6640000E+00    9.8399109E-01
  1.6645001E+00    9.8425019E-01
  1.6650001E+00    9.8463947E-01
  1.6655000E+00    9.8493493E-01
  1.6660001E+00    9.8516619E-01
  1.6665001E+00    9.8523521E-01
  1.6670001E+00    9.8541045E-01
  1.6675001E+00    9.8565644E-01
  1.6680001E+00    9.8590422E-01
  1.6685001E+00    9.8613727E-01
  1.6690000E+00    9.8608297E-01
  1.6695001E+00    9.8611486E-01
  1.6700001E+00    9.8626053E-01
  1.6705000E+00    9.8643076E-01
  1.6710001E+00    9.8654300E-01
  1.6715001E+00    9.8677778E-01
  1.6720001E+00    9.8691225E-01
  1.6725001E+00    9.8703808E-01
  1.6730001E+00    9.8717660E-01
  1.6735001E+00    9.8762864E-01
  1.6740000E+00    9.8799378E-01
  1.6745001E+00    9.8815775E-01
  1.6750001E+00    9.8833752E-01
  1.6755000E+00    9.8892629E-01
  1.6760001E+00    9.8899543E-01
