# wave[microns]    norm_trans
  2.0800002E+00    5.1290577E-04
  2.0802000E+00    5.2078615E-04
  2.0804000E+00    3.4330771E-04
  2.0806003E+00    3.8202404E-04
  2.0808001E+00    5.0434028E-04
  2.0810001E+00    4.8960745E-04
  2.0812001E+00    5.3574727E-04
  2.0813999E+00    5.5915985E-04
  2.0816002E+00    5.5687572E-04
  2.0818002E+00    6.4081815E-04
  2.0820000E+00    6.2597118E-04
  2.0822001E+00    5.8028824E-04
  2.0824001E+00    8.1624091E-04
  2.0826001E+00    5.8828271E-04
  2.0828001E+00    7.1082741E-04
  2.0830002E+00    5.6818221E-04
  2.0832000E+00    7.6222070E-04
  2.0834000E+00    7.7044370E-04
  2.0836003E+00    9.8492531E-04
  2.0838001E+00    8.9378771E-04
  2.0840001E+00    8.5667038E-04
  2.0842001E+00    8.4159494E-04
  2.0843999E+00    1.0600738E-03
  2.0846002E+00    7.5559673E-04
  2.0848002E+00    1.0005718E-03
  2.0850000E+00    1.0147335E-03
  2.0852001E+00    1.1143225E-03
  2.0854001E+00    1.1528103E-03
  2.0856001E+00    1.1373924E-03
  2.0858002E+00    1.2910014E-03
  2.0860002E+00    1.3066478E-03
  2.0862000E+00    1.3887631E-03
  2.0864000E+00    1.3816821E-03
  2.0866003E+00    1.4349029E-03
  2.0868001E+00    1.4378722E-03
  2.0870001E+00    1.3981280E-03
  2.0872002E+00    1.6439025E-03
  2.0874000E+00    1.7871187E-03
  2.0876002E+00    1.7318423E-03
  2.0878003E+00    1.8009378E-03
  2.0880001E+00    1.7865477E-03
  2.0882001E+00    1.9793299E-03
  2.0883999E+00    2.1257440E-03
  2.0886002E+00    2.1425325E-03
  2.0888002E+00    2.1885580E-03
  2.0890000E+00    2.3457075E-03
  2.0892000E+00    2.4875533E-03
  2.0894001E+00    2.6653742E-03
  2.0896001E+00    2.7104863E-03
  2.0898001E+00    2.8246937E-03
  2.0900002E+00    2.8470785E-03
  2.0901999E+00    3.0177045E-03
  2.0904000E+00    3.1471013E-03
  2.0906003E+00    3.2151691E-03
  2.0908000E+00    3.5465991E-03
  2.0910001E+00    3.5959366E-03
  2.0912001E+00    3.7902037E-03
  2.0913999E+00    3.9561470E-03
  2.0916002E+00    4.1073579E-03
  2.0918002E+00    4.2902040E-03
  2.0920000E+00    4.5086830E-03
  2.0922000E+00    4.8449100E-03
  2.0924001E+00    4.9247411E-03
  2.0926001E+00    5.0585922E-03
  2.0928001E+00    5.3344029E-03
  2.0930002E+00    5.5869161E-03
  2.0932000E+00    6.0090264E-03
  2.0934000E+00    5.9849289E-03
  2.0936003E+00    6.4263409E-03
  2.0938001E+00    6.7960303E-03
  2.0940001E+00    7.0599644E-03
  2.0942001E+00    7.4873283E-03
  2.0943999E+00    7.6748570E-03
  2.0946002E+00    8.1304302E-03
  2.0948002E+00    8.4409611E-03
  2.0950000E+00    8.7540038E-03
  2.0952001E+00    9.0748128E-03
  2.0954001E+00    9.5873764E-03
  2.0956001E+00    9.9773938E-03
  2.0958002E+00    1.0664809E-02
  2.0960002E+00    1.1008687E-02
  2.0962000E+00    1.1687309E-02
  2.0964000E+00    1.2110905E-02
  2.0966003E+00    1.2755149E-02
  2.0968001E+00    1.3381463E-02
  2.0970001E+00    1.4097314E-02
  2.0972002E+00    1.4781075E-02
  2.0974000E+00    1.5287014E-02
  2.0976002E+00    1.6169952E-02
  2.0978003E+00    1.6753439E-02
  2.0980000E+00    1.7824704E-02
  2.0982001E+00    1.8662987E-02
  2.0984001E+00    1.9613080E-02
  2.0986001E+00    2.0424295E-02
  2.0988002E+00    2.1623017E-02
  2.0990002E+00    2.2426009E-02
  2.0992000E+00    2.3971807E-02
  2.0994000E+00    2.4925327E-02
  2.0996003E+00    2.6072428E-02
  2.0998001E+00    2.7375421E-02
  2.1000001E+00    2.8903745E-02
  2.1001999E+00    3.0386729E-02
  2.1004000E+00    3.1568207E-02
  2.1006002E+00    3.3386961E-02
  2.1008000E+00    3.4917340E-02
  2.1010001E+00    3.7165515E-02
  2.1012001E+00    3.8473986E-02
  2.1013999E+00    4.0862981E-02
  2.1016002E+00    4.2730160E-02
  2.1018002E+00    4.5258828E-02
  2.1020000E+00    4.7197953E-02
  2.1022000E+00    5.0115157E-02
  2.1024001E+00    5.2832380E-02
  2.1026001E+00    5.5544924E-02
  2.1028001E+00    5.8869392E-02
  2.1030002E+00    6.1311603E-02
  2.1032000E+00    6.5045729E-02
  2.1034000E+00    6.8267979E-02
  2.1036003E+00    7.2173990E-02
  2.1038001E+00    7.5529173E-02
  2.1040001E+00    8.0423430E-02
  2.1042001E+00    8.3656751E-02
  2.1043999E+00    8.9137912E-02
  2.1046002E+00    9.3409613E-02
  2.1048002E+00    9.9658027E-02
  2.1050000E+00    1.0455661E-01
  2.1052001E+00    1.1109795E-01
  2.1054001E+00    1.1704816E-01
  2.1056001E+00    1.2327087E-01
  2.1058002E+00    1.3073821E-01
  2.1060002E+00    1.3687310E-01
  2.1062000E+00    1.4572784E-01
  2.1064000E+00    1.5247418E-01
  2.1066003E+00    1.6305722E-01
  2.1068001E+00    1.7059651E-01
  2.1070001E+00    1.8142465E-01
  2.1072001E+00    1.8962941E-01
  2.1073999E+00    2.0242660E-01
  2.1076002E+00    2.1280988E-01
  2.1078002E+00    2.2496957E-01
  2.1080000E+00    2.3778592E-01
  2.1082001E+00    2.5020665E-01
  2.1084001E+00    2.6496938E-01
  2.1086001E+00    2.7829784E-01
  2.1088002E+00    2.9389730E-01
  2.1090002E+00    3.0603871E-01
  2.1092000E+00    3.2507035E-01
  2.1094000E+00    3.3813491E-01
  2.1096003E+00    3.5839212E-01
  2.1098001E+00    3.7212396E-01
  2.1100001E+00    3.9511561E-01
  2.1102002E+00    4.1125304E-01
  2.1104000E+00    4.3408242E-01
  2.1106002E+00    4.5248228E-01
  2.1108003E+00    4.7433683E-01
  2.1110001E+00    4.9447408E-01
  2.1112001E+00    5.1330233E-01
  2.1113999E+00    5.3742832E-01
  2.1116002E+00    5.5472767E-01
  2.1118002E+00    5.8058512E-01
  2.1120000E+00    5.9887356E-01
  2.1122000E+00    6.2411261E-01
  2.1124001E+00    6.4063889E-01
  2.1126001E+00    6.6604078E-01
  2.1128001E+00    6.8308306E-01
  2.1130002E+00    7.0730019E-01
  2.1131999E+00    7.2529620E-01
  2.1134000E+00    7.4652433E-01
  2.1136003E+00    7.6490867E-01
  2.1138000E+00    7.8346628E-01
  2.1140001E+00    8.0102539E-01
  2.1142001E+00    8.1602854E-01
  2.1143999E+00    8.3335233E-01
  2.1146002E+00    8.4528244E-01
  2.1148002E+00    8.6162835E-01
  2.1150000E+00    8.7182707E-01
  2.1152000E+00    8.8711923E-01
  2.1154001E+00    8.9696348E-01
  2.1156001E+00    9.0928143E-01
  2.1158001E+00    9.1789496E-01
  2.1160002E+00    9.2736900E-01
  2.1162000E+00    9.3511927E-01
  2.1164000E+00    9.4265836E-01
  2.1166003E+00    9.4913536E-01
  2.1168001E+00    9.5417899E-01
  2.1170001E+00    9.6008742E-01
