# wave[microns]    norm_trans
  1.1600001E+00    1.7650820E-04
  1.1602501E+00    0.0000000E+00
  1.1605000E+00    0.0000000E+00
  1.1607500E+00    5.7848415E-06
  1.1610000E+00    3.4285765E-04
  1.1612501E+00    0.0000000E+00
  1.1615001E+00    0.0000000E+00
  1.1617501E+00    0.0000000E+00
  1.1620001E+00    4.1989482E-04
  1.1622500E+00    3.3171126E-04
  1.1625000E+00    0.0000000E+00
  1.1627500E+00    2.0938304E-04
  1.1630001E+00    0.0000000E+00
  1.1632501E+00    4.6349279E-04
  1.1635001E+00    1.2599665E-04
  1.1637501E+00    2.3068817E-04
  1.1640000E+00    0.0000000E+00
  1.1642500E+00    1.9231069E-04
  1.1645000E+00    3.7545030E-04
  1.1647501E+00    0.0000000E+00
  1.1650001E+00    0.0000000E+00
  1.1652501E+00    2.7513268E-05
  1.1655000E+00    8.2398714E-05
  1.1657500E+00    0.0000000E+00
  1.1660000E+00    0.0000000E+00
  1.1662501E+00    2.6821910E-04
  1.1665001E+00    2.2730192E-04
  1.1667501E+00    0.0000000E+00
  1.1670001E+00    2.5058238E-04
  1.1672500E+00    0.0000000E+00
  1.1675000E+00    0.0000000E+00
  1.1677500E+00    3.2747845E-04
  1.1680001E+00    1.6634946E-04
  1.1682501E+00    0.0000000E+00
  1.1685001E+00    1.1513245E-04
  1.1687500E+00    4.8888964E-04
  1.1690000E+00    4.1834280E-04
  1.1692500E+00    9.6931362E-05
  1.1695001E+00    3.1520330E-04
  1.1697501E+00    1.8850117E-04
  1.1700001E+00    0.0000000E+00
  1.1702501E+00    0.0000000E+00
  1.1705000E+00    4.8211715E-04
  1.1707500E+00    2.2321021E-04
  1.1710000E+00    2.5086457E-04
  1.1712501E+00    3.7700235E-04
  1.1715001E+00    3.6077655E-04
  1.1717501E+00    1.5153462E-04
  1.1720001E+00    3.5569718E-04
  1.1722500E+00    3.5597937E-04
  1.1725000E+00    0.0000000E+00
  1.1727500E+00    1.3319244E-04
  1.1730001E+00    7.0772594E-04
  1.1732501E+00    4.1904824E-04
  1.1735001E+00    4.4289310E-04
  1.1737500E+00    2.6751362E-04
  1.1740000E+00    4.4049451E-04
  1.1742500E+00    4.0056498E-04
  1.1745001E+00    2.9079407E-04
  1.1747501E+00    8.2680897E-05
  1.1750001E+00    7.8927807E-04
  1.1752501E+00    2.9051190E-04
  1.1755000E+00    4.3569732E-04
  1.1757500E+00    3.1111159E-04
  1.1760000E+00    4.7731993E-04
  1.1762501E+00    3.9435684E-04
  1.1765001E+00    7.2635029E-04
  1.1767501E+00    3.5287533E-04
  1.1770000E+00    6.4352830E-04
  1.1772500E+00    8.7195897E-04
  1.1775000E+00    7.2691467E-04
  1.1777501E+00    2.0754882E-04
  1.1780001E+00    8.5093599E-04
  1.1782501E+00    6.6370470E-04
  1.1785001E+00    7.6698523E-04
  1.1787500E+00    8.9157099E-04
  1.1790000E+00    6.0176459E-04
  1.1792500E+00    6.2264648E-04
  1.1795001E+00    9.5195911E-04
  1.1797501E+00    1.2440230E-03
  1.1800001E+00    1.2276563E-03
  1.1802500E+00    5.4321071E-04
  1.1805000E+00    8.1269961E-04
  1.1807500E+00    9.1682677E-04
  1.1810001E+00    1.2846580E-03
  1.1812501E+00    9.7354641E-04
  1.1815001E+00    1.3471625E-03
  1.1817501E+00    1.2235644E-03
  1.1820000E+00    1.2031059E-03
  1.1822500E+00    1.4014835E-03
  1.1825000E+00    1.6447292E-03
  1.1827501E+00    1.2712540E-03
  1.1830001E+00    1.2911482E-03
  1.1832501E+00    2.0585568E-03
  1.1835001E+00    1.3739703E-03
  1.1837500E+00    1.7886447E-03
  1.1840000E+00    1.8896677E-03
  1.1842500E+00    2.0814142E-03
  1.1845001E+00    1.9564051E-03
  1.1847501E+00    2.8053657E-03
  1.1850001E+00    2.3288925E-03
  1.1852500E+00    2.4746424E-03
  1.1855000E+00    2.9302337E-03
  1.1857500E+00    2.7431434E-03
  1.1860001E+00    2.8053657E-03
  1.1862501E+00    3.0751370E-03
  1.1865001E+00    3.8216633E-03
  1.1867501E+00    3.7605702E-03
  1.1870000E+00    4.2400062E-03
  1.1872500E+00    4.6155974E-03
  1.1875000E+00    5.0067096E-03
  1.1877501E+00    4.6656863E-03
  1.1880001E+00    5.8840299E-03
  1.1882501E+00    6.0341535E-03
  1.1885000E+00    6.6862889E-03
  1.1887500E+00    7.2522154E-03
  1.1890000E+00    7.9925349E-03
  1.1892501E+00    8.5913362E-03
  1.1895001E+00    9.2364158E-03
  1.1897501E+00    9.7746886E-03
  1.1900001E+00    1.0438957E-02
  1.1902500E+00    1.1703439E-02
  1.1905000E+00    1.2760654E-02
  1.1907500E+00    1.4158327E-02
  1.1910001E+00    1.5364115E-02
  1.1912501E+00    1.7711068E-02
  1.1915001E+00    1.8720875E-02
  1.1917500E+00    2.1081654E-02
  1.1920000E+00    2.3441728E-02
  1.1922500E+00    2.5982967E-02
  1.1925001E+00    2.8433623E-02
  1.1927501E+00    3.1672712E-02
  1.1930001E+00    3.6179382E-02
  1.1932501E+00    3.9204717E-02
  1.1935000E+00    4.4650365E-02
  1.1937500E+00    5.0047483E-02
  1.1940000E+00    5.6309082E-02
  1.1942501E+00    6.3674733E-02
  1.1945001E+00    7.0974074E-02
  1.1947501E+00    8.1669681E-02
  1.1950001E+00    9.0201758E-02
  1.1952500E+00    1.0425737E-01
  1.1955000E+00    1.1992554E-01
  1.1957500E+00    1.3486341E-01
  1.1960001E+00    1.5562338E-01
  1.1962501E+00    1.7331342E-01
  1.1965001E+00    2.0158012E-01
  1.1967500E+00    2.2540464E-01
  1.1970000E+00    2.5963169E-01
  1.1972500E+00    2.9608157E-01
  1.1975001E+00    3.2943684E-01
  1.1977501E+00    3.7805250E-01
  1.1980001E+00    4.1582426E-01
  1.1982501E+00    4.7147769E-01
  1.1985000E+00    5.1889592E-01
  1.1987500E+00    5.7487100E-01
  1.1990000E+00    6.3407493E-01
  1.1992501E+00    6.7734122E-01
  1.1995001E+00    7.4432421E-01
  1.1997501E+00    7.7691054E-01
