# wave[microns]    norm_trans
  1.0000000E+00    1.0989010E-04
  7.0000000E+00    1.0989010E-04
  7.5000000E+00    3.2967035E-02
  7.6999998E+00    4.3956044E-01
  8.0000000E+00    9.8901099E-01
  8.5000000E+00    9.6703297E-01
  9.0000000E+00    8.7912089E-01
  9.1000004E+00    8.5714287E-01
  9.3999996E+00    9.8901099E-01
  9.5000000E+00    9.8901099E-01
  9.8999996E+00    1.0000000E+00
  1.0000000E+01    9.8901099E-01
  1.0200000E+01    9.5604396E-01
  1.0500000E+01    9.7802198E-01
  1.1000000E+01    9.4505495E-01
  1.1500000E+01    9.5604396E-01
  1.2000000E+01    9.6703297E-01
  1.2300000E+01    9.2307693E-01
  1.2500000E+01    9.3406594E-01
  1.2800000E+01    8.7912089E-01
  1.3000000E+01    7.8021979E-01
  1.3100000E+01    7.4725276E-01
  1.3200000E+01    7.5824177E-01
  1.3300000E+01    5.4945058E-01
  1.3400000E+01    1.6483517E-01
  1.3500000E+01    5.4945055E-02
  1.4000000E+01    1.0989011E-03
  1.4500000E+01    5.4945057E-04
  4.0000000E+01    1.0989010E-04
