# wave[microns]    norm_trans
  1.0000000E+00    1.3986015E-04
  1.1500000E+01    1.3986015E-04
  1.1600000E+01    5.5944063E-03
  1.1700000E+01    2.0979021E-02
  1.1780000E+01    6.7132868E-02
  1.1850000E+01    2.5174826E-01
  1.1910000E+01    4.9930072E-01
  1.1980000E+01    8.0000001E-01
  1.2000000E+01    9.0209788E-01
  1.2100000E+01    1.0000000E+00
  1.2150000E+01    9.9300700E-01
  1.2200000E+01    9.5244759E-01
  1.2300000E+01    8.6713290E-01
  1.2400000E+01    8.4335667E-01
  1.2500000E+01    8.9090908E-01
  1.2600000E+01    9.1468531E-01
  1.2700000E+01    8.8951051E-01
  1.2800000E+01    8.8111889E-01
  1.2900000E+01    8.7412590E-01
  1.2950000E+01    8.1818181E-01
  1.3010000E+01    7.0769233E-01
  1.3070000E+01    5.0069928E-01
  1.3100000E+01    3.4965035E-01
  1.3200000E+01    1.2587413E-01
  1.3270000E+01    6.7132868E-02
  1.3350000E+01    2.0979021E-02
  1.3500000E+01    2.7972031E-03
  1.3700000E+01    6.9930078E-04
  4.0000000E+01    6.9930078E-04
