# wave[microns]    norm_trans
  1.5800000E+00    1.8729099E-04
  1.5802500E+00    1.3488188E-04
  1.5805001E+00    1.8507279E-04
  1.5807501E+00    1.5981532E-04
  1.5810001E+00    1.4364959E-04
  1.5812501E+00    1.1013226E-04
  1.5815001E+00    1.8316446E-04
  1.5817500E+00    9.9752753E-05
  1.5820000E+00    1.7073168E-04
  1.5822501E+00    2.8297092E-05
  1.5825001E+00    9.3484363E-05
  1.5827501E+00    1.7495440E-04
  1.5830001E+00    1.8572903E-04
  1.5832500E+00    2.6480187E-04
  1.5835000E+00    5.8850070E-05
  1.5837501E+00    2.6508214E-04
  1.5840001E+00    1.2515577E-04
  1.5842501E+00    3.8937917E-05
  1.5845001E+00    2.3492161E-04
  1.5847501E+00    2.2444010E-04
  1.5850000E+00    1.9274162E-04
  1.5852500E+00    1.6870952E-04
  1.5855001E+00    1.7022433E-04
  1.5857501E+00    1.3270378E-04
  1.5860001E+00    1.3190611E-04
  1.5862501E+00    9.8403179E-05
  1.5865000E+00    1.3180080E-04
  1.5867500E+00    2.9045762E-04
  1.5870001E+00    1.7292000E-04
  1.5872501E+00    2.5416134E-04
  1.5875001E+00    2.5711695E-04
  1.5877501E+00    3.1464420E-05
  1.5880001E+00    2.2784689E-04
  1.5882500E+00    2.2690247E-04
  1.5885000E+00    2.7709419E-04
  1.5887501E+00    1.6621557E-04
  1.5890001E+00    1.4461433E-04
  1.5892501E+00    2.0819614E-04
  1.5895001E+00    2.7614614E-04
  1.5897501E+00    3.6047370E-04
  1.5900000E+00    2.3370599E-04
  1.5902501E+00    2.7742871E-04
  1.5905001E+00    2.1479216E-04
  1.5907501E+00    3.3140168E-04
  1.5910001E+00    3.0871321E-04
  1.5912501E+00    3.2707045E-04
  1.5915000E+00    3.6439879E-04
  1.5917500E+00    1.3288787E-04
  1.5920001E+00    3.5951182E-04
  1.5922501E+00    2.9043396E-04
  1.5925001E+00    3.5467028E-04
  1.5927501E+00    3.8811614E-04
  1.5930001E+00    3.4987860E-04
  1.5932500E+00    3.3913189E-04
  1.5935000E+00    4.0306943E-04
  1.5937501E+00    3.8632518E-04
  1.5940001E+00    4.1096541E-04
  1.5942501E+00    3.0606712E-04
  1.5945001E+00    4.5987283E-04
  1.5947500E+00    3.3186714E-04
  1.5950000E+00    5.5284129E-04
  1.5952501E+00    5.8102410E-04
  1.5955001E+00    3.3302957E-04
  1.5957501E+00    5.2383851E-04
  1.5960001E+00    5.0349225E-04
  1.5962501E+00    4.9849151E-04
  1.5965000E+00    5.7617668E-04
  1.5967500E+00    7.2091061E-04
  1.5970001E+00    6.1409047E-04
  1.5972501E+00    6.7540543E-04
  1.5975001E+00    6.5959059E-04
  1.5977501E+00    5.3737947E-04
  1.5980000E+00    6.9812383E-04
  1.5982500E+00    7.3192304E-04
  1.5985001E+00    7.1699597E-04
  1.5987501E+00    7.5109641E-04
  1.5990001E+00    8.3403959E-04
  1.5992501E+00    9.4539713E-04
  1.5995001E+00    8.1890961E-04
  1.5997500E+00    1.0779278E-03
  1.6000000E+00    1.0639394E-03
  1.6002501E+00    1.0365543E-03
  1.6005001E+00    1.0538236E-03
  1.6007501E+00    1.1719954E-03
  1.6010001E+00    1.1338937E-03
  1.6012501E+00    1.1262592E-03
  1.6015000E+00    1.4229082E-03
  1.6017501E+00    1.3574519E-03
  1.6020001E+00    1.5306338E-03
  1.6022501E+00    1.4343743E-03
  1.6025001E+00    1.5937737E-03
  1.6027501E+00    1.7844011E-03
  1.6030000E+00    1.8332694E-03
  1.6032500E+00    1.7737489E-03
  1.6035001E+00    1.8716316E-03
  1.6037501E+00    2.0515753E-03
  1.6040001E+00    2.1970074E-03
  1.6042501E+00    2.2464741E-03
  1.6045001E+00    2.4842466E-03
  1.6047500E+00    2.5308493E-03
  1.6050000E+00    2.7100472E-03
  1.6052501E+00    2.8503737E-03
  1.6055001E+00    2.9672519E-03
  1.6057501E+00    3.1212599E-03
  1.6060001E+00    3.4623335E-03
  1.6062500E+00    3.5997354E-03
