# wave[microns]    norm_trans
  1.4520000E+00    7.7739038E-04
  1.4529999E+00    8.2106609E-04
  1.4540000E+00    7.2197820E-04
  1.4550000E+00    8.0664729E-04
  1.4560000E+00    7.5022108E-04
  1.4570000E+00    8.3365978E-04
  1.4579999E+00    8.1577181E-04
  1.4590000E+00    6.9187512E-04
  1.4600000E+00    7.6132949E-04
  1.4610000E+00    8.0462248E-04
  1.4620000E+00    9.1448909E-04
  1.4630001E+00    9.2173432E-04
  1.4640000E+00    6.7535305E-04
  1.4650000E+00    7.9682138E-04
  1.4660000E+00    6.8317505E-04
  1.4670000E+00    7.0728495E-04
  1.4680001E+00    6.9650973E-04
  1.4690000E+00    8.9389359E-04
  1.4700000E+00    7.8563561E-04
  1.4710000E+00    7.8108429E-04
  1.4720000E+00    8.3766901E-04
  1.4730000E+00    7.8275002E-04
  1.4740000E+00    7.3409441E-04
  1.4750000E+00    7.7289098E-04
  1.4760000E+00    8.3929818E-04
  1.4770000E+00    8.6354202E-04
  1.4780000E+00    7.5096730E-04
  1.4790000E+00    9.1558660E-04
  1.4800000E+00    8.7505055E-04
  1.4809999E+00    7.8971131E-04
  1.4820000E+00    8.0942648E-04
  1.4830000E+00    8.7601499E-04
  1.4840000E+00    8.5644965E-04
  1.4850000E+00    8.3647046E-04
  1.4859999E+00    9.6072484E-04
  1.4870000E+00    1.0685426E-03
  1.4880000E+00    8.7650295E-04
  1.4890000E+00    6.7268836E-04
  1.4900000E+00    7.5629068E-04
  1.4910001E+00    9.9586416E-04
  1.4920000E+00    1.0279798E-03
  1.4930000E+00    9.1663771E-04
  1.4940000E+00    1.0567266E-03
  1.4950000E+00    9.7964692E-04
  1.4960001E+00    1.0367293E-03
  1.4970000E+00    1.0942117E-03
  1.4980000E+00    1.0421273E-03
  1.4990000E+00    1.1466828E-03
  1.5000000E+00    1.2660681E-03
  1.5010000E+00    1.2357620E-03
  1.5020000E+00    1.2405841E-03
  1.5030000E+00    1.2956085E-03
  1.5039999E+00    1.3732017E-03
  1.5050000E+00    1.6458266E-03
  1.5060000E+00    1.4566138E-03
  1.5070000E+00    1.5821931E-03
  1.5080000E+00    1.6916262E-03
  1.5089999E+00    1.7188250E-03
  1.5100000E+00    1.9496387E-03
  1.5110000E+00    2.0248746E-03
  1.5120000E+00    2.0758668E-03
  1.5130000E+00    2.3249555E-03
  1.5140001E+00    2.6072981E-03
  1.5150000E+00    2.8184871E-03
  1.5160000E+00    2.9705581E-03
  1.5170000E+00    3.3586558E-03
  1.5180000E+00    3.5694691E-03
  1.5190001E+00    3.9059138E-03
  1.5200000E+00    4.2818850E-03
  1.5210000E+00    4.7193076E-03
  1.5220000E+00    5.0417334E-03
  1.5230000E+00    5.6302994E-03
  1.5240000E+00    6.3473554E-03
  1.5250000E+00    7.0512467E-03
  1.5260000E+00    7.8868335E-03
  1.5270000E+00    8.7966714E-03
  1.5280000E+00    9.8814610E-03
  1.5290000E+00    1.1027260E-02
  1.5300000E+00    1.2400961E-02
  1.5310000E+00    1.3932940E-02
  1.5319999E+00    1.5796198E-02
  1.5330000E+00    1.7915959E-02
  1.5340000E+00    2.0235302E-02
  1.5350000E+00    2.2789216E-02
  1.5360000E+00    2.5986787E-02
  1.5369999E+00    2.9454365E-02
  1.5380000E+00    3.3300452E-02
  1.5390000E+00    3.7983730E-02
  1.5400000E+00    4.3012824E-02
  1.5410000E+00    4.8716284E-02
  1.5420001E+00    5.5361442E-02
  1.5430000E+00    6.2894322E-02
  1.5440000E+00    7.1308918E-02
  1.5450000E+00    8.0999725E-02
  1.5460000E+00    9.1633439E-02
  1.5470001E+00    1.0319275E-01
  1.5480000E+00    1.1653331E-01
  1.5490000E+00    1.3090861E-01
  1.5500000E+00    1.4681078E-01
  1.5510000E+00    1.6416541E-01
  1.5520000E+00    1.8304174E-01
  1.5530000E+00    2.0345236E-01
  1.5540000E+00    2.2537616E-01
  1.5549999E+00    2.4888743E-01
  1.5560000E+00    2.7303690E-01
  1.5570000E+00    2.9885700E-01
  1.5580000E+00    3.2596812E-01
  1.5590000E+00    3.5246232E-01
  1.5599999E+00    3.8003653E-01
  1.5610000E+00    4.0811816E-01
  1.5620000E+00    4.3504351E-01
  1.5630000E+00    4.6268776E-01
  1.5640000E+00    4.8927426E-01
  1.5650001E+00    5.1477146E-01
  1.5660000E+00    5.3968436E-01
  1.5670000E+00    5.6446731E-01
  1.5680000E+00    5.8781481E-01
  1.5690000E+00    6.0947895E-01
  1.5700001E+00    6.3081974E-01
  1.5710000E+00    6.4999145E-01
  1.5720000E+00    6.6876799E-01
  1.5730000E+00    6.8672860E-01
  1.5740000E+00    7.0357877E-01
  1.5750000E+00    7.1910673E-01
  1.5760000E+00    7.3407966E-01
  1.5770000E+00    7.4901021E-01
  1.5779999E+00    7.6220924E-01
  1.5790000E+00    7.7480638E-01
  1.5800000E+00    7.8731364E-01
  1.5810000E+00    7.9911882E-01
  1.5820000E+00    8.0971181E-01
  1.5829999E+00    8.2069856E-01
  1.5840000E+00    8.3094078E-01
  1.5850000E+00    8.4049165E-01
  1.5860000E+00    8.4974772E-01
  1.5870000E+00    8.5824561E-01
  1.5880001E+00    8.6629647E-01
  1.5890000E+00    8.7467182E-01
  1.5900000E+00    8.8171726E-01
  1.5910000E+00    8.8878959E-01
  1.5920000E+00    8.9572203E-01
  1.5930001E+00    9.0137309E-01
  1.5940000E+00    9.0731740E-01
  1.5950000E+00    9.1272217E-01
  1.5960000E+00    9.1795927E-01
  1.5970000E+00    9.2212063E-01
  1.5980000E+00    9.2684776E-01
  1.5990000E+00    9.3164599E-01
  1.6000000E+00    9.3547130E-01
  1.6010000E+00    9.3870085E-01
  1.6020000E+00    9.4261748E-01
  1.6030000E+00    9.4592363E-01
  1.6040000E+00    9.4834334E-01
  1.6050000E+00    9.5153105E-01
  1.6059999E+00    9.5417565E-01
  1.6070000E+00    9.5612842E-01
  1.6080000E+00    9.5817333E-01
  1.6090000E+00    9.6026433E-01
  1.6100000E+00    9.6220493E-01
  1.6109999E+00    9.6325165E-01
  1.6120000E+00    9.6459264E-01
  1.6130000E+00    9.6606368E-01
  1.6140000E+00    9.6748662E-01
  1.6150000E+00    9.6823144E-01
  1.6160001E+00    9.6931750E-01
  1.6170000E+00    9.7016722E-01
  1.6180000E+00    9.7062325E-01
  1.6190000E+00    9.7100228E-01
  1.6200000E+00    9.7144186E-01
  1.6210001E+00    9.7106814E-01
  1.6220000E+00    9.7166568E-01
  1.6230000E+00    9.7193551E-01
  1.6240000E+00    9.7177637E-01
  1.6250000E+00    9.7183663E-01
  1.6260000E+00    9.7194839E-01
  1.6270000E+00    9.7172648E-01
  1.6280000E+00    9.7085911E-01
  1.6289999E+00    9.7073352E-01
  1.6300000E+00    9.7079092E-01
  1.6310000E+00    9.6991307E-01
  1.6320000E+00    9.6963584E-01
  1.6330000E+00    9.6934062E-01
  1.6339999E+00    9.6836293E-01
  1.6350000E+00    9.6830881E-01
  1.6360000E+00    9.6784884E-01
  1.6370000E+00    9.6726197E-01
  1.6380000E+00    9.6734738E-01
  1.6390001E+00    9.6661514E-01
  1.6400000E+00    9.6598405E-01
  1.6410000E+00    9.6601284E-01
  1.6420000E+00    9.6525520E-01
  1.6430000E+00    9.6456289E-01
  1.6440001E+00    9.6462446E-01
  1.6450000E+00    9.6427888E-01
  1.6460000E+00    9.6386999E-01
  1.6470000E+00    9.6336973E-01
  1.6480000E+00    9.6358359E-01
  1.6490000E+00    9.6345925E-01
  1.6500000E+00    9.6360719E-01
  1.6510000E+00    9.6339929E-01
  1.6520000E+00    9.6309656E-01
  1.6530000E+00    9.6365696E-01
  1.6540000E+00    9.6379876E-01
  1.6550000E+00    9.6364826E-01
  1.6560000E+00    9.6436191E-01
  1.6569999E+00    9.6448576E-01
  1.6580000E+00    9.6442747E-01
  1.6590000E+00    9.6532261E-01
  1.6600000E+00    9.6568865E-01
  1.6610000E+00    9.6588844E-01
  1.6619999E+00    9.6701056E-01
  1.6630000E+00    9.6746999E-01
  1.6640000E+00    9.6792948E-01
  1.6650000E+00    9.6858239E-01
  1.6660000E+00    9.6919990E-01
  1.6670001E+00    9.6967602E-01
  1.6680000E+00    9.7080183E-01
  1.6690000E+00    9.7116840E-01
  1.6700000E+00    9.7220516E-01
  1.6710000E+00    9.7313482E-01
  1.6720001E+00    9.7346979E-01
  1.6730000E+00    9.7424597E-01
  1.6740000E+00    9.7562718E-01
  1.6750000E+00    9.7569132E-01
  1.6760000E+00    9.7614044E-01
  1.6770000E+00    9.7759855E-01
  1.6780000E+00    9.7814959E-01
  1.6790000E+00    9.7876024E-01
  1.6799999E+00    9.7992915E-01
  1.6810000E+00    9.8066103E-01
  1.6820000E+00    9.8137337E-01
  1.6830000E+00    9.8212129E-01
  1.6840000E+00    9.8315775E-01
  1.6849999E+00    9.8421854E-01
  1.6860000E+00    9.8491001E-01
  1.6870000E+00    9.8526359E-01
  1.6880000E+00    9.8610914E-01
  1.6890000E+00    9.8680800E-01
  1.6900001E+00    9.8709106E-01
  1.6910000E+00    9.8781884E-01
  1.6920000E+00    9.8806447E-01
  1.6930000E+00    9.8865438E-01
  1.6940000E+00    9.8939103E-01
  1.6950001E+00    9.8991793E-01
  1.6960000E+00    9.9032986E-01
  1.6970000E+00    9.9083704E-01
  1.6980000E+00    9.9095500E-01
  1.6990000E+00    9.9154764E-01
  1.7000000E+00    9.9132973E-01
  1.7010000E+00    9.9135232E-01
  1.7020000E+00    9.9192321E-01
  1.7029999E+00    9.9179655E-01
  1.7040000E+00    9.9206835E-01
  1.7050000E+00    9.9219507E-01
  1.7060000E+00    9.9209738E-01
  1.7070000E+00    9.9205494E-01
  1.7079999E+00    9.9285442E-01
  1.7090000E+00    9.9276447E-01
  1.7100000E+00    9.9286669E-01
  1.7110000E+00    9.9296248E-01
  1.7120000E+00    9.9262500E-01
  1.7130001E+00    9.9304229E-01
  1.7140000E+00    9.9257028E-01
  1.7150000E+00    9.9234563E-01
  1.7160000E+00    9.9265349E-01
  1.7170000E+00    9.9260503E-01
  1.7180001E+00    9.9291986E-01
  1.7190000E+00    9.9291468E-01
  1.7200000E+00    9.9301082E-01
  1.7210000E+00    9.9298865E-01
  1.7220000E+00    9.9269503E-01
  1.7230000E+00    9.9303222E-01
  1.7240000E+00    9.9309665E-01
  1.7250000E+00    9.9296868E-01
  1.7260000E+00    9.9265522E-01
  1.7270000E+00    9.9296075E-01
  1.7280000E+00    9.9279714E-01
  1.7290000E+00    9.9230593E-01
