# wave[microns]    norm_trans
  2.1452501E+00    1.8746407E-03
  2.1455002E+00    6.9005176E-04
  2.1457500E+00    3.2892469E-03
  2.1460001E+00    2.9902242E-03
  2.1462500E+00    3.1972399E-03
  2.1465001E+00    3.1972399E-03
  2.1467502E+00    4.0828064E-03
  2.1470001E+00    3.1397357E-03
  2.1472502E+00    4.1863141E-03
  2.1475000E+00    3.8067857E-03
  2.1477501E+00    3.3812537E-03
  2.1480000E+00    4.7153537E-03
  2.1482501E+00    4.1863141E-03
  2.1485002E+00    3.5077634E-03
  2.1487501E+00    3.1282350E-03
  2.1490002E+00    2.7602070E-03
  2.1492500E+00    4.1633123E-03
  2.1495001E+00    4.4623348E-03
  2.1497500E+00    5.7274299E-03
  2.1500001E+00    4.0483037E-03
  2.1502502E+00    4.1863141E-03
  2.1505001E+00    4.8418632E-03
  2.1507502E+00    4.2553195E-03
  2.1510000E+00    4.9453713E-03
  2.1512501E+00    5.0488790E-03
  2.1515000E+00    5.5549168E-03
  2.1517501E+00    3.6457735E-03
  2.1520002E+00    4.1863141E-03
  2.1522501E+00    5.0718808E-03
  2.1525002E+00    4.7958600E-03
  2.1527500E+00    5.9689479E-03
  2.1530001E+00    5.2443934E-03
  2.1532502E+00    5.7274299E-03
  2.1535001E+00    5.4284073E-03
  2.1537502E+00    6.1874641E-03
  2.1540000E+00    5.9689479E-03
  2.1542501E+00    7.2340430E-03
  2.1545000E+00    6.7970101E-03
  2.1547501E+00    5.8999429E-03
  2.1550002E+00    7.1650380E-03
  2.1552501E+00    5.6814263E-03
  2.1555002E+00    6.1644628E-03
  2.1557500E+00    7.7400804E-03
  2.1560001E+00    5.7734330E-03
  2.1562500E+00    6.2219668E-03
  2.1565001E+00    6.7050033E-03
  2.1567502E+00    6.4864866E-03
  2.1570001E+00    6.4749862E-03
  2.1572502E+00    7.2455434E-03
  2.1575000E+00    7.3260502E-03
  2.1577501E+00    5.8999429E-03
  2.1580000E+00    8.4876362E-03
  2.1582501E+00    8.0506038E-03
  2.1585002E+00    9.0511795E-03
  2.1587501E+00    8.1771137E-03
  2.1590002E+00    9.0396786E-03
  2.1592500E+00    1.0362278E-02
  2.1595001E+00    9.4997128E-03
  2.1597500E+00    9.4192065E-03
  2.1600001E+00    1.0086256E-02
  2.1602502E+00    9.0166759E-03
  2.1605000E+00    9.6837264E-03
  2.1607502E+00    9.9252444E-03
  2.1610000E+00    1.0868316E-02
  2.1612501E+00    1.0442783E-02
  2.1615002E+00    1.0431283E-02
  2.1617501E+00    1.1017826E-02
  2.1620002E+00    1.1489362E-02
  2.1622500E+00    1.1880391E-02
  2.1625001E+00    1.2156413E-02
  2.1627500E+00    1.2984473E-02
  2.1630001E+00    1.3789535E-02
  2.1632502E+00    1.1880391E-02
  2.1635001E+00    1.1983899E-02
  2.1637502E+00    1.4008052E-02
  2.1640000E+00    1.4031054E-02
  2.1642501E+00    1.3410007E-02
  2.1645000E+00    1.3755032E-02
  2.1647501E+00    1.4077056E-02
  2.1650002E+00    1.4790110E-02
  2.1652501E+00    1.5376654E-02
  2.1655002E+00    1.5917193E-02
  2.1657500E+00    1.5698679E-02
  2.1660001E+00    1.5514663E-02
  2.1662500E+00    1.6135711E-02
  2.1665001E+00    1.8470386E-02
  2.1667502E+00    1.6561244E-02
  2.1670001E+00    1.8297873E-02
  2.1672502E+00    1.7998852E-02
  2.1675000E+00    1.8826913E-02
  2.1677501E+00    2.0276021E-02
  2.1680002E+00    1.9332951E-02
  2.1682501E+00    2.0391030E-02
  2.1685002E+00    2.1449110E-02
  2.1687500E+00    2.1932146E-02
  2.1690001E+00    2.1828638E-02
  2.1692500E+00    2.3737781E-02
  2.1695001E+00    2.2610696E-02
  2.1697502E+00    2.5140887E-02
  2.1700001E+00    2.3967799E-02
  2.1702502E+00    2.5324900E-02
  2.1705000E+00    2.5612421E-02
  2.1707501E+00    2.5704427E-02
  2.1710000E+00    2.7372055E-02
  2.1712501E+00    2.7015528E-02
  2.1715002E+00    2.9235194E-02
  2.1717501E+00    2.9476712E-02
  2.1720002E+00    2.9511213E-02
  2.1722500E+00    3.0431282E-02
  2.1725001E+00    3.2984477E-02
  2.1727500E+00    3.2731455E-02
  2.1730001E+00    3.2731455E-02
  2.1732502E+00    3.4640599E-02
  2.1735001E+00    3.6273722E-02
  2.1737502E+00    3.6733758E-02
  2.1740000E+00    3.7814837E-02
  2.1742501E+00    3.8504891E-02
  2.1745000E+00    3.9976999E-02
  2.1747501E+00    4.0322024E-02
  2.1750002E+00    4.0540542E-02
  2.1752501E+00    4.3703280E-02
  2.1755002E+00    4.4784360E-02
  2.1757500E+00    4.5152389E-02
  2.1760001E+00    4.7613572E-02
  2.1762502E+00    4.8464641E-02
  2.1765001E+00    4.9154691E-02
  2.1767502E+00    5.0856814E-02
  2.1770000E+00    5.2880969E-02
  2.1772501E+00    5.3824037E-02
  2.1775000E+00    5.6653254E-02
  2.1777501E+00    5.7090286E-02
  2.1780002E+00    5.9413455E-02
  2.1782501E+00    6.0011502E-02
  2.1785002E+00    6.2530190E-02
  2.1787500E+00    6.5474413E-02
  2.1790001E+00    6.6428982E-02
  2.1792500E+00    6.7751579E-02
  2.1795001E+00    7.0488788E-02
  2.1797502E+00    7.1132839E-02
  2.1800001E+00    7.4813113E-02
  2.1802502E+00    7.6837271E-02
  2.1805000E+00    7.8182861E-02
  2.1807501E+00    8.1357107E-02
  2.1810000E+00    8.3887294E-02
  2.1812501E+00    8.5405409E-02
  2.1815002E+00    8.8740662E-02
  2.1817501E+00    9.1753885E-02
  2.1820002E+00    9.4652094E-02
  2.1822500E+00    9.5721684E-02
  2.1825001E+00    9.9183440E-02
  2.1827500E+00    1.0273720E-01
  2.1830001E+00    1.0566992E-01
  2.1832502E+00    1.0890167E-01
  2.1835001E+00    1.1093732E-01
  2.1837502E+00    1.1508913E-01
  2.1840000E+00    1.1882691E-01
  2.1842501E+00    1.2262220E-01
  2.1845002E+00    1.2601495E-01
  2.1847501E+00    1.2968373E-01
  2.1850002E+00    1.3298447E-01
  2.1852500E+00    1.3722830E-01
  2.1855001E+00    1.4080507E-01
  2.1857500E+00    1.4501439E-01
  2.1860001E+00    1.5112135E-01
  2.1862502E+00    1.5388155E-01
