# wave[microns]    norm_trans
  1.4883517E+00    4.1631524E-02
  1.4888718E+00    3.8896356E-02
  1.4893918E+00    3.8649354E-02
  1.4899119E+00    3.8144216E-02
  1.4904320E+00    3.7975833E-02
  1.4909521E+00    3.4352306E-02
  1.4914721E+00    3.2125320E-02
  1.4919922E+00    3.3029515E-02
  1.4925123E+00    3.2735825E-02
  1.4930323E+00    2.6447689E-02
  1.4935524E+00    2.4367506E-02
  1.4940726E+00    2.3363143E-02
  1.4945927E+00    2.4570078E-02
  1.4951127E+00    2.3281004E-02
  1.4956328E+00    2.2976978E-02
  1.4961529E+00    2.2500863E-02
  1.4966729E+00    2.1379340E-02
  1.4971930E+00    2.2658160E-02
  1.4977131E+00    2.2637460E-02
  1.4982332E+00    2.2018645E-02
  1.4987532E+00    2.1814922E-02
  1.4992733E+00    2.1993367E-02
  1.4997934E+00    2.4255728E-02
  1.5003134E+00    2.1264181E-02
  1.5008335E+00    2.0674247E-02
  1.5013536E+00    2.0772144E-02
  1.5018737E+00    2.0850714E-02
  1.5023937E+00    1.9852927E-02
  1.5029138E+00    1.9618064E-02
  1.5034339E+00    1.9528687E-02
  1.5039541E+00    1.9604348E-02
  1.5044740E+00    1.9719912E-02
  1.5049942E+00    1.9558016E-02
  1.5055143E+00    2.0342296E-02
  1.5060343E+00    2.0406526E-02
  1.5065544E+00    2.0257950E-02
  1.5070745E+00    2.0243421E-02
  1.5075946E+00    1.9865315E-02
  1.5081146E+00    2.1382030E-02
  1.5086347E+00    2.0685723E-02
  1.5091548E+00    2.0031791E-02
  1.5096748E+00    2.1464719E-02
  1.5101949E+00    2.0147193E-02
  1.5107150E+00    1.9840410E-02
  1.5112351E+00    1.9932894E-02
  1.5117551E+00    1.8960014E-02
  1.5122752E+00    1.8813930E-02
  1.5127953E+00    2.0297768E-02
  1.5133153E+00    2.1005539E-02
  1.5138354E+00    1.9738724E-02
  1.5143555E+00    1.9392828E-02
  1.5148757E+00    1.9868731E-02
  1.5153956E+00    1.9696863E-02
  1.5159158E+00    2.0615717E-02
  1.5164359E+00    2.0409634E-02
  1.5169560E+00    2.1039680E-02
