# wave[microns]    norm_trans
  1.4140000E+00    0.0000000E+00
  1.4150001E+00    2.6982542E-04
  1.4160000E+00    8.3645876E-04
  1.4170001E+00    1.9292518E-03
  1.4180001E+00    3.7910470E-03
  1.4190000E+00    6.5567577E-03
  1.4200001E+00    9.6057849E-03
  1.4210001E+00    1.1710423E-02
  1.4220001E+00    1.1764388E-02
  1.4230001E+00    1.2965112E-02
  1.4240000E+00    2.4783464E-02
  1.4250001E+00    3.8247753E-02
  1.4260001E+00    4.0635709E-02
  1.4270000E+00    4.3738700E-02
  1.4280001E+00    5.2750871E-02
  1.4290000E+00    5.3250045E-02
  1.4300001E+00    6.2761389E-02
  1.4310001E+00    7.8532688E-02
  1.4320000E+00    7.9638973E-02
  1.4330001E+00    8.5602112E-02
  1.4340000E+00    9.3642913E-02
  1.4350001E+00    9.7690292E-02
  1.4360001E+00    9.9740967E-02
  1.4370000E+00    1.0079329E-01
  1.4380001E+00    1.0160276E-01
  1.4390000E+00    1.0283047E-01
  1.4400001E+00    1.0474622E-01
  1.4410001E+00    1.0768732E-01
  1.4420000E+00    1.1255768E-01
  1.4430001E+00    1.2301341E-01
  1.4440001E+00    1.3673404E-01
  1.4450001E+00    1.4048460E-01
  1.4460001E+00    1.6919403E-01
  1.4470000E+00    1.8002751E-01
  1.4480001E+00    1.9664876E-01
  1.4490001E+00    2.1820781E-01
  1.4500000E+00    2.3894390E-01
  1.4510001E+00    2.7012223E-01
  1.4520000E+00    2.6997381E-01
  1.4530001E+00    2.9397482E-01
  1.4540001E+00    3.1077144E-01
  1.4550000E+00    3.3626992E-01
  1.4560001E+00    3.3822617E-01
  1.4570000E+00    3.6136368E-01
  1.4580001E+00    3.8431233E-01
  1.4590001E+00    4.0098757E-01
  1.4600000E+00    4.2378780E-01
  1.4610001E+00    4.4905695E-01
  1.4620000E+00    4.6074042E-01
  1.4630001E+00    4.8691344E-01
  1.4640001E+00    4.9715331E-01
  1.4650000E+00    5.2224708E-01
  1.4660001E+00    5.3549552E-01
  1.4670001E+00    5.4569495E-01
  1.4680001E+00    5.5052477E-01
  1.4690001E+00    5.5447775E-01
  1.4700000E+00    5.5654192E-01
  1.4710001E+00    5.5534118E-01
  1.4720001E+00    5.5262947E-01
  1.4730000E+00    5.5006611E-01
  1.4740001E+00    5.4819077E-01
  1.4750000E+00    5.4685515E-01
  1.4760001E+00    5.4591078E-01
  1.4770001E+00    5.4531711E-01
  1.4780000E+00    5.4508781E-01
  1.4790001E+00    5.4592431E-01
  1.4800000E+00    5.4966134E-01
  1.4810001E+00    5.5664980E-01
  1.4820001E+00    5.5941552E-01
  1.4830000E+00    5.6667382E-01
  1.4840001E+00    5.7992226E-01
  1.4850000E+00    5.8610129E-01
  1.4860001E+00    6.0304636E-01
  1.4870001E+00    6.0631120E-01
  1.4880000E+00    6.1244971E-01
  1.4890001E+00    6.2550926E-01
  1.4900001E+00    6.2971854E-01
  1.4910001E+00    6.3827205E-01
  1.4920001E+00    6.4202261E-01
  1.4930000E+00    6.4411372E-01
  1.4940001E+00    6.4523351E-01
  1.4950001E+00    6.4280510E-01
  1.4960001E+00    6.3465637E-01
  1.4970001E+00    6.2947571E-01
  1.4980000E+00    6.3054150E-01
  1.4990001E+00    6.1845332E-01
  1.5000001E+00    6.1091173E-01
  1.5010000E+00    6.0577154E-01
  1.5020001E+00    5.9816247E-01
  1.5030000E+00    5.9488410E-01
  1.5040001E+00    5.9076929E-01
  1.5050001E+00    5.9223980E-01
  1.5060000E+00    5.9677291E-01
  1.5070001E+00    5.9867513E-01
  1.5080000E+00    6.0235822E-01
  1.5090001E+00    6.1151880E-01
  1.5100001E+00    6.1849385E-01
  1.5110000E+00    6.2082779E-01
  1.5120001E+00    6.2475377E-01
  1.5130001E+00    6.4171231E-01
  1.5140001E+00    6.5166885E-01
  1.5150001E+00    6.6035724E-01
  1.5160000E+00    6.6553789E-01
  1.5170001E+00    6.7252636E-01
  1.5180001E+00    6.8272573E-01
  1.5190001E+00    6.8392646E-01
  1.5200001E+00    6.8578827E-01
  1.5210000E+00    6.8848658E-01
  1.5220001E+00    6.9021344E-01
  1.5230001E+00    6.9084752E-01
  1.5240000E+00    6.9072610E-01
  1.5250001E+00    6.9018644E-01
  1.5260000E+00    6.8935001E-01
  1.5270001E+00    6.8820322E-01
  1.5280001E+00    6.8678659E-01
  1.5290000E+00    6.8522167E-01
  1.5300001E+00    6.8372411E-01
  1.5310000E+00    6.8249643E-01
  1.5320001E+00    6.8168694E-01
  1.5330001E+00    6.8117428E-01
  1.5340000E+00    6.8081003E-01
  1.5350001E+00    6.8041873E-01
  1.5360000E+00    6.7991954E-01
  1.5370001E+00    6.7929900E-01
  1.5380001E+00    6.7851645E-01
  1.5390000E+00    6.7763954E-01
  1.5400001E+00    6.7697847E-01
  1.5410001E+00    6.7685705E-01
  1.5420001E+00    6.7761260E-01
