# wave[microns]    norm_trans
  1.0000000E+00    0.0000000E+00
  1.0010000E+00    0.0000000E+00
  1.0020001E+00    0.0000000E+00
  1.0030000E+00    0.0000000E+00
  1.0040001E+00    0.0000000E+00
  1.0050000E+00    0.0000000E+00
  1.0060000E+00    0.0000000E+00
  1.0070001E+00    0.0000000E+00
  1.0080000E+00    0.0000000E+00
  1.0090001E+00    0.0000000E+00
  1.0100000E+00    0.0000000E+00
  1.0110000E+00    0.0000000E+00
  1.0120001E+00    0.0000000E+00
  1.0130000E+00    0.0000000E+00
  1.0140001E+00    0.0000000E+00
  1.0150001E+00    0.0000000E+00
  1.0160000E+00    0.0000000E+00
  1.0170001E+00    0.0000000E+00
  1.0180000E+00    0.0000000E+00
  1.0190001E+00    0.0000000E+00
  1.0200001E+00    0.0000000E+00
  1.0210000E+00    0.0000000E+00
  1.0220001E+00    0.0000000E+00
  1.0230000E+00    1.9677292E-04
  1.0240000E+00    1.9677292E-04
  1.0250001E+00    1.9677292E-04
  1.0260000E+00    1.9677292E-04
  1.0270001E+00    1.9677292E-04
  1.0280000E+00    1.9677292E-04
  1.0290000E+00    3.9354584E-04
  1.0300001E+00    3.9354584E-04
  1.0310000E+00    3.9354584E-04
  1.0320001E+00    3.9354584E-04
  1.0330000E+00    3.9354584E-04
  1.0340000E+00    3.9354584E-04
  1.0350001E+00    3.9354584E-04
  1.0360000E+00    1.9677292E-04
  1.0370001E+00    1.9677292E-04
  1.0380001E+00    1.9677292E-04
  1.0390000E+00    1.9677292E-04
  1.0400001E+00    0.0000000E+00
  1.0410000E+00    0.0000000E+00
  1.0420001E+00    0.0000000E+00
  1.0430001E+00    0.0000000E+00
  1.0440000E+00    0.0000000E+00
  1.0450001E+00    0.0000000E+00
  1.0460000E+00    0.0000000E+00
  1.0470001E+00    0.0000000E+00
  1.0480001E+00    0.0000000E+00
  1.0490000E+00    0.0000000E+00
  1.0500001E+00    0.0000000E+00
  1.0510000E+00    0.0000000E+00
  1.0520000E+00    0.0000000E+00
  1.0530001E+00    0.0000000E+00
  1.0540000E+00    0.0000000E+00
  1.0550001E+00    0.0000000E+00
  1.0560000E+00    0.0000000E+00
  1.0570000E+00    0.0000000E+00
  1.0580001E+00    0.0000000E+00
  1.0590000E+00    0.0000000E+00
  1.0600001E+00    0.0000000E+00
  1.0610001E+00    3.9354584E-04
  1.0620000E+00    9.8386465E-04
  1.0630001E+00    1.5741833E-03
  1.0640000E+00    2.3612750E-03
  1.0650001E+00    3.1483667E-03
  1.0660001E+00    3.9354586E-03
  1.0670000E+00    4.7225500E-03
  1.0680001E+00    5.5096420E-03
  1.0690000E+00    7.2805984E-03
  1.0700001E+00    1.0625739E-02
  1.0710001E+00    1.5938606E-02
  1.0720000E+00    2.3022432E-02
  1.0730001E+00    3.2073986E-02
  1.0740000E+00    4.3290045E-02
  1.0750000E+00    5.9425425E-02
  1.0760001E+00    8.6186543E-02
  1.0770000E+00    1.2455726E-01
  1.0780001E+00    1.7866981E-01
  1.0790000E+00    2.5737900E-01
  1.0800000E+00    3.4513974E-01
  1.0810001E+00    4.5926800E-01
  1.0820000E+00    5.8776075E-01
  1.0830001E+00    7.0129871E-01
  1.0840001E+00    8.1306571E-01
  1.0850000E+00    9.0692639E-01
  1.0860001E+00    9.7225499E-01
  1.0870000E+00    1.0000000E+00
  1.0880001E+00    9.8760331E-01
  1.0890001E+00    9.4923264E-01
  1.0900000E+00    8.9728451E-01
  1.0910001E+00    8.4061396E-01
  1.0920000E+00    8.0362064E-01
  1.0930001E+00    7.8315622E-01
  1.0940001E+00    7.9299486E-01
  1.0950000E+00    8.2310116E-01
  1.0960001E+00    8.5399455E-01
  1.0970000E+00    8.4238493E-01
  1.0980000E+00    7.3789847E-01
  1.0990001E+00    5.3955138E-01
  1.1000000E+00    3.5399449E-01
  1.1010001E+00    2.1094058E-01
  1.1020000E+00    1.2317985E-01
  1.1030000E+00    7.3002756E-02
  1.1040001E+00    4.6044864E-02
  1.1050000E+00    3.1090124E-02
  1.1060001E+00    2.0464383E-02
  1.1070000E+00    1.5545062E-02
  1.1080000E+00    1.2199922E-02
  1.1090001E+00    8.6580086E-03
  1.1100000E+00    5.9031881E-03
  1.1110001E+00    4.1322312E-03
  1.1120001E+00    3.3451398E-03
  1.1130000E+00    3.1483667E-03
  1.1140001E+00    3.1483667E-03
  1.1150000E+00    3.1483667E-03
  1.1160001E+00    2.5580479E-03
  1.1170001E+00    1.7709564E-03
  1.1180000E+00    7.8709167E-04
  1.1190001E+00    0.0000000E+00
  1.1200000E+00    0.0000000E+00
  1.1210001E+00    0.0000000E+00
  1.1220001E+00    0.0000000E+00
  1.1230000E+00    0.0000000E+00
  1.1240001E+00    1.9677292E-04
  1.1250000E+00    3.9354584E-04
  1.1260000E+00    5.9031876E-04
  1.1270001E+00    5.9031876E-04
  1.1280000E+00    5.9031876E-04
  1.1290001E+00    7.8709167E-04
  1.1300000E+00    7.8709167E-04
  1.1310000E+00    7.8709167E-04
  1.1320001E+00    5.9031876E-04
  1.1330000E+00    5.9031876E-04
  1.1340001E+00    5.9031876E-04
  1.1350001E+00    3.9354584E-04
  1.1360000E+00    3.9354584E-04
  1.1370001E+00    1.9677292E-04
  1.1380000E+00    1.9677292E-04
  1.1390001E+00    0.0000000E+00
  1.1400001E+00    0.0000000E+00
  1.1410000E+00    0.0000000E+00
  1.1420001E+00    0.0000000E+00
  1.1430000E+00    0.0000000E+00
  1.1440001E+00    0.0000000E+00
  1.1450001E+00    0.0000000E+00
  1.1460000E+00    0.0000000E+00
  1.1470001E+00    0.0000000E+00
  1.1480000E+00    0.0000000E+00
  1.1490000E+00    0.0000000E+00
  1.1500001E+00    0.0000000E+00
  1.1510000E+00    0.0000000E+00
  1.1520001E+00    0.0000000E+00
  1.1530000E+00    0.0000000E+00
  1.1540000E+00    0.0000000E+00
  1.1550001E+00    0.0000000E+00
  1.1560000E+00    0.0000000E+00
  1.1570001E+00    0.0000000E+00
