# wave[microns]    norm_trans
  2.0239425E+00    4.2698374E-03
  2.0246475E+00    4.3829307E-03
  2.0253525E+00    4.2244117E-03
  2.0260575E+00    4.4142338E-03
  2.0267625E+00    4.4626724E-03
  2.0274675E+00    4.3225135E-03
  2.0281725E+00    4.3829917E-03
  2.0288775E+00    4.0226630E-03
  2.0295825E+00    4.0260376E-03
  2.0302875E+00    4.1451929E-03
  2.0309925E+00    3.9996528E-03
  2.0316978E+00    3.9288024E-03
  2.0324028E+00    4.0605208E-03
  2.0331078E+00    4.3668370E-03
  2.0338128E+00    4.0945779E-03
  2.0345178E+00    3.5921347E-03
  2.0352228E+00    3.6940728E-03
  2.0359278E+00    3.9261929E-03
  2.0366328E+00    3.9410545E-03
  2.0373378E+00    3.9632251E-03
  2.0380428E+00    3.9260611E-03
  2.0387478E+00    4.0049087E-03
  2.0394528E+00    4.4309851E-03
  2.0401578E+00    4.8668729E-03
  2.0408628E+00    4.7397069E-03
  2.0415678E+00    4.8863455E-03
  2.0422728E+00    4.8846337E-03
  2.0429780E+00    5.0044633E-03
  2.0436831E+00    5.0514755E-03
  2.0443881E+00    5.1871934E-03
  2.0450931E+00    5.1238900E-03
  2.0457981E+00    5.0988421E-03
  2.0465031E+00    5.1586400E-03
  2.0472081E+00    5.2989107E-03
  2.0479131E+00    5.4475069E-03
  2.0486181E+00    5.4377043E-03
  2.0493231E+00    5.5996403E-03
  2.0500281E+00    5.7766535E-03
  2.0507331E+00    5.8184192E-03
  2.0514381E+00    5.9645819E-03
  2.0521431E+00    6.1688456E-03
  2.0528481E+00    6.4678686E-03
  2.0535531E+00    6.6171926E-03
  2.0542583E+00    6.8597756E-03
  2.0549634E+00    7.2022215E-03
  2.0556684E+00    7.5176866E-03
  2.0563734E+00    7.9007512E-03
  2.0570784E+00    8.2271378E-03
  2.0577834E+00    8.7432014E-03
  2.0584884E+00    9.0779178E-03
  2.0591934E+00    9.5668333E-03
  2.0598984E+00    1.0090883E-02
  2.0606034E+00    1.0568249E-02
  2.0613084E+00    1.1294788E-02
  2.0620134E+00    1.2265935E-02
  2.0627184E+00    1.3200998E-02
  2.0634234E+00    1.4336486E-02
  2.0641284E+00    1.5501726E-02
  2.0648334E+00    1.6911197E-02
  2.0655386E+00    1.8058736E-02
  2.0662436E+00    2.0002685E-02
  2.0669487E+00    2.2079490E-02
  2.0676537E+00    2.4361346E-02
  2.0683587E+00    2.7138647E-02
  2.0690637E+00    3.0893544E-02
  2.0697687E+00    3.4893580E-02
  2.0704737E+00    3.9973225E-02
  2.0711787E+00    4.6236861E-02
  2.0718837E+00    5.3567562E-02
  2.0725887E+00    6.2526062E-02
  2.0732937E+00    7.4258499E-02
  2.0739987E+00    8.8326134E-02
  2.0747037E+00    1.0488542E-01
  2.0754087E+00    1.2484209E-01
  2.0761139E+00    1.5057716E-01
  2.0768189E+00    1.8123974E-01
  2.0775239E+00    2.1843694E-01
  2.0782290E+00    2.6220873E-01
  2.0789340E+00    3.1455410E-01
  2.0796390E+00    3.7418187E-01
  2.0803440E+00    4.4128415E-01
  2.0810490E+00    5.1267517E-01
  2.0817540E+00    5.8924127E-01
  2.0824590E+00    6.6303748E-01
  2.0831640E+00    7.3437554E-01
  2.0838690E+00    7.9685956E-01
  2.0845740E+00    8.5391194E-01
  2.0852790E+00    8.9872760E-01
  2.0859840E+00    9.3179578E-01
