# wave[microns]    norm_trans
  1.9120001E+00    2.1576033E-04
  1.9130001E+00    2.6858284E-04
  1.9140000E+00    2.7962532E-04
  1.9150001E+00    2.5240856E-04
  1.9160001E+00    2.6547816E-04
  1.9170001E+00    2.5545989E-04
  1.9180001E+00    2.1370121E-04
  1.9190001E+00    2.6156259E-04
  1.9200001E+00    2.0864408E-04
  1.9210001E+00    2.7989206E-04
  1.9220001E+00    2.7703273E-04
  1.9230001E+00    2.9897899E-04
  1.9240001E+00    2.7173021E-04
  1.9250001E+00    2.8541862E-04
  1.9260001E+00    3.2230152E-04
  1.9270000E+00    2.5793511E-04
  1.9280001E+00    3.2037045E-04
  1.9290001E+00    3.5680528E-04
  1.9300001E+00    3.5250562E-04
  1.9310001E+00    3.6528715E-04
  1.9320000E+00    4.3016570E-04
  1.9330001E+00    4.7320468E-04
  1.9340001E+00    4.0278892E-04
  1.9350001E+00    4.6381593E-04
  1.9360001E+00    4.9854367E-04
  1.9370000E+00    5.4700254E-04
  1.9380001E+00    5.6052028E-04
  1.9390001E+00    6.4440037E-04
  1.9400001E+00    6.7952287E-04
  1.9410001E+00    7.9605030E-04
  1.9420002E+00    7.4601243E-04
  1.9430001E+00    7.4889313E-04
  1.9440001E+00    8.4552279E-04
  1.9450001E+00    9.2578609E-04
  1.9460001E+00    9.9864509E-04
  1.9470001E+00    1.0397102E-03
  1.9480001E+00    1.1357211E-03
  1.9490001E+00    1.1983485E-03
  1.9500000E+00    1.3212559E-03
  1.9510001E+00    1.4211184E-03
  1.9520001E+00    1.4820386E-03
  1.9530001E+00    1.6226568E-03
  1.9540001E+00    1.7835463E-03
  1.9550000E+00    1.8869295E-03
  1.9560001E+00    1.9851914E-03
  1.9570001E+00    2.1680591E-03
  1.9580001E+00    2.3244673E-03
  1.9590001E+00    2.4866371E-03
  1.9600000E+00    2.7227434E-03
  1.9610001E+00    2.8809654E-03
  1.9620001E+00    3.1912215E-03
  1.9630001E+00    3.3820912E-03
  1.9640001E+00    3.6486043E-03
  1.9650002E+00    3.9542727E-03
  1.9660001E+00    4.3132864E-03
  1.9670001E+00    4.6739005E-03
  1.9680001E+00    5.0173374E-03
  1.9690001E+00    5.4162531E-03
  1.9700001E+00    5.8904933E-03
  1.9710001E+00    6.3778558E-03
  1.9720001E+00    6.9010663E-03
  1.9730000E+00    7.6147197E-03
  1.9740001E+00    8.2011977E-03
  1.9750001E+00    8.9628613E-03
  1.9760001E+00    9.7711496E-03
  1.9770001E+00    1.0703199E-02
  1.9780000E+00    1.1665547E-02
  1.9790001E+00    1.2787933E-02
  1.9800001E+00    1.3919919E-02
  1.9810001E+00    1.5267421E-02
  1.9820001E+00    1.6693873E-02
  1.9830000E+00    1.8389188E-02
  1.9840001E+00    2.0123975E-02
  1.9850001E+00    2.2070011E-02
  1.9860001E+00    2.4246499E-02
  1.9870001E+00    2.6791070E-02
  1.9880000E+00    2.9398587E-02
  1.9890001E+00    3.2334711E-02
  1.9900001E+00    3.5703998E-02
  1.9910001E+00    3.9310139E-02
  1.9920001E+00    4.3461468E-02
  1.9930001E+00    4.8080102E-02
  1.9940001E+00    5.3048685E-02
  1.9950001E+00    5.8646739E-02
  1.9960001E+00    6.4810254E-02
  1.9970001E+00    7.1587235E-02
  1.9980001E+00    7.8845397E-02
  1.9990001E+00    8.8777222E-02
  2.0000000E+00    9.8381504E-02
  2.0010002E+00    1.0873903E-01
  2.0020001E+00    1.2037897E-01
  2.0030000E+00    1.3288310E-01
  2.0040002E+00    1.4723299E-01
  2.0050001E+00    1.6255376E-01
  2.0060000E+00    1.7990163E-01
  2.0070002E+00    1.9813505E-01
  2.0080001E+00    2.1796884E-01
  2.0090001E+00    2.4040587E-01
  2.0100000E+00    2.6344034E-01
  2.0110002E+00    2.8939816E-01
  2.0120001E+00    3.1711638E-01
  2.0130000E+00    3.4594417E-01
  2.0140002E+00    3.7611625E-01
  2.0150001E+00    4.0899828E-01
  2.0160000E+00    4.4265920E-01
  2.0170002E+00    4.7719494E-01
  2.0180001E+00    5.1376843E-01
  2.0190001E+00    5.5012858E-01
  2.0200000E+00    5.8671278E-01
  2.0210001E+00    6.2322229E-01
  2.0220001E+00    6.5898496E-01
  2.0230000E+00    6.9461966E-01
  2.0240002E+00    7.2785372E-01
  2.0250001E+00    7.6078910E-01
  2.0260000E+00    7.9101455E-01
  2.0270002E+00    8.1844467E-01
  2.0280001E+00    8.4378368E-01
  2.0290000E+00    8.6680758E-01
  2.0300002E+00    8.8650262E-01
  2.0310001E+00    9.0412784E-01
  2.0320001E+00    9.1893649E-01
  2.0330000E+00    9.3091786E-01
  2.0340002E+00    9.4070143E-01
  2.0350001E+00    9.4846851E-01
  2.0360000E+00    9.5425117E-01
  2.0370002E+00    9.5828402E-01
  2.0380001E+00    9.6101528E-01
  2.0390000E+00    9.6241295E-01
  2.0400002E+00    9.6293569E-01
  2.0410001E+00    9.6237034E-01
  2.0420001E+00    9.6135676E-01
  2.0430000E+00    9.5989507E-01
  2.0440001E+00    9.5801729E-01
  2.0450001E+00    9.5601153E-01
  2.0460000E+00    9.5406979E-01
  2.0470002E+00    9.5225596E-01
  2.0480001E+00    9.5032489E-01
  2.0490000E+00    9.4866055E-01
  2.0500002E+00    9.4726294E-01
  2.0510001E+00    9.4632399E-01
  2.0520000E+00    9.4539583E-01
  2.0530002E+00    9.4502234E-01
  2.0540001E+00    9.4490504E-01
  2.0550001E+00    9.4527841E-01
  2.0560000E+00    9.4576925E-01
  2.0570002E+00    9.4682550E-01
  2.0580001E+00    9.4821244E-01
  2.0590000E+00    9.4955671E-01
  2.0600002E+00    9.5138109E-01
  2.0610001E+00    9.5336562E-01
  2.0620000E+00    9.5538199E-01
  2.0630002E+00    9.5771855E-01
  2.0640001E+00    9.6027911E-01
  2.0650001E+00    9.6288240E-01
  2.0660000E+00    9.6536827E-01
  2.0670002E+00    9.6803558E-01
  2.0680001E+00    9.7068149E-01
  2.0690000E+00    9.7323138E-01
  2.0700002E+00    9.7552520E-01
  2.0710001E+00    9.7804308E-01
  2.0720000E+00    9.8027295E-01
  2.0730002E+00    9.8198003E-01
  2.0740001E+00    9.8404980E-01
  2.0750000E+00    9.8567152E-01
  2.0760002E+00    9.8685580E-01
  2.0770001E+00    9.8793334E-01
  2.0780001E+00    9.8896825E-01
  2.0790000E+00    9.8941630E-01
  2.0800002E+00    9.8981112E-01
  2.0810001E+00    9.9018449E-01
  2.0820000E+00    9.9001378E-01
  2.0830002E+00    9.8976839E-01
  2.0840001E+00    9.8952305E-01
  2.0850000E+00    9.8892558E-01
  2.0860002E+00    9.8822141E-01
  2.0870001E+00    9.8729324E-01
  2.0880001E+00    9.8637569E-01
  2.0890000E+00    9.8547941E-01
  2.0900002E+00    9.8422050E-01
  2.0910001E+00    9.8304689E-01
  2.0920000E+00    9.8196936E-01
  2.0930002E+00    9.8078507E-01
  2.0940001E+00    9.7961146E-01
  2.0950000E+00    9.7858727E-01
  2.0960002E+00    9.7755235E-01
  2.0970001E+00    9.7641075E-01
  2.0980000E+00    9.7554654E-01
  2.0990002E+00    9.7468239E-01
  2.1000001E+00    9.7377557E-01
  2.1010001E+00    9.7316730E-01
  2.1020000E+00    9.7256988E-01
  2.1030002E+00    9.7216451E-01
  2.1040001E+00    9.7163099E-01
  2.1050000E+00    9.7136426E-01
  2.1060002E+00    9.7141767E-01
  2.1070001E+00    9.7132164E-01
  2.1080000E+00    9.7122556E-01
  2.1090002E+00    9.7156703E-01
  2.1100001E+00    9.7194040E-01
  2.1110001E+00    9.7224981E-01
  2.1120000E+00    9.7246325E-01
  2.1130002E+00    9.7334874E-01
  2.1140001E+00    9.7392488E-01
  2.1150000E+00    9.7444767E-01
  2.1160002E+00    9.7520512E-01
  2.1170001E+00    9.7613335E-01
  2.1180000E+00    9.7684819E-01
  2.1190002E+00    9.7789371E-01
  2.1200001E+00    9.7889662E-01
  2.1210001E+00    9.7996354E-01
  2.1220002E+00    9.8063570E-01
  2.1230001E+00    9.8176658E-01
  2.1240001E+00    9.8283356E-01
  2.1250000E+00    9.8374039E-01
  2.1260002E+00    9.8487127E-01
  2.1270001E+00    9.8572481E-01
  2.1280000E+00    9.8678106E-01
  2.1290002E+00    9.8783726E-01
  2.1300001E+00    9.8880821E-01
  2.1310000E+00    9.8964041E-01
  2.1320002E+00    9.9071795E-01
  2.1330001E+00    9.9146479E-01
  2.1340001E+00    9.9246770E-01
  2.1350000E+00    9.9304384E-01
  2.1360002E+00    9.9380136E-01
  2.1370001E+00    9.9449480E-01
  2.1380000E+00    9.9516696E-01
  2.1390002E+00    9.9555099E-01
  2.1400001E+00    9.9614847E-01
  2.1410000E+00    9.9625516E-01
  2.1420002E+00    9.9682063E-01
  2.1430001E+00    9.9703401E-01
  2.1440001E+00    9.9707675E-01
  2.1450002E+00    9.9766356E-01
  2.1460001E+00    9.9768484E-01
  2.1470001E+00    9.9775952E-01
  2.1480000E+00    9.9813294E-01
  2.1490002E+00    9.9819696E-01
  2.1500001E+00    9.9815428E-01
  2.1510000E+00    9.9822903E-01
  2.1520002E+00    9.9837840E-01
  2.1530001E+00    9.9802625E-01
  2.1540000E+00    9.9826097E-01
  2.1550002E+00    9.9846369E-01
  2.1560001E+00    9.9828231E-01
  2.1570001E+00    9.9822903E-01
  2.1580000E+00    9.9838907E-01
  2.1590002E+00    9.9837840E-01
  2.1600001E+00    9.9845302E-01
  2.1610000E+00    9.9838907E-01
  2.1620002E+00    9.9833566E-01
  2.1630001E+00    9.9862373E-01
  2.1640000E+00    9.9876243E-01
  2.1650002E+00    9.9880505E-01
  2.1660001E+00    9.9900782E-01
  2.1670001E+00    9.9905050E-01
  2.1680002E+00    9.9918920E-01
  2.1690001E+00    9.9939185E-01
  2.1700001E+00    9.9942392E-01
  2.1710000E+00    9.9925315E-01
  2.1720002E+00    9.9951988E-01
  2.1730001E+00    9.9979734E-01
  2.1740000E+00    9.9963731E-01
  2.1750002E+00    9.9964797E-01
  2.1760001E+00    9.9980795E-01
  2.1770000E+00    1.0000000E+00
  2.1780002E+00    9.9975467E-01
  2.1790001E+00    9.9971199E-01
  2.1800001E+00    9.9978667E-01
  2.1810000E+00    9.9931723E-01
  2.1820002E+00    9.9919987E-01
  2.1830001E+00    9.9913585E-01
  2.1840000E+00    9.9886912E-01
  2.1850002E+00    9.9852777E-01
  2.1860001E+00    9.9802625E-01
  2.1870000E+00    9.9746078E-01
  2.1880002E+00    9.9686331E-01
  2.1890001E+00    9.9611646E-01
  2.1900001E+00    9.9530566E-01
  2.1910002E+00    9.9453753E-01
  2.1920002E+00    9.9345988E-01
  2.1930001E+00    9.9269170E-01
  2.1940000E+00    9.9146479E-01
  2.1950002E+00    9.9010986E-01
  2.1960001E+00    9.8892558E-01
  2.1970000E+00    9.8730385E-01
  2.1980002E+00    9.8592758E-01
  2.1990001E+00    9.8442316E-01
  2.2000000E+00    9.8266280E-01
  2.2010002E+00    9.8126519E-01
  2.2020001E+00    9.7956884E-01
  2.2030001E+00    9.7809649E-01
  2.2040000E+00    9.7670949E-01
  2.2050002E+00    9.7525853E-01
  2.2060001E+00    9.7370082E-01
  2.2070000E+00    9.7232455E-01
  2.2080002E+00    9.7141767E-01
  2.2090001E+00    9.7007340E-01
  2.2100000E+00    9.6903849E-01
  2.2110002E+00    9.6825957E-01
  2.2120001E+00    9.6757680E-01
  2.2130001E+00    9.6684062E-01
  2.2140000E+00    9.6611512E-01
  2.2150002E+00    9.6592313E-01
  2.2160001E+00    9.6538961E-01
  2.2170000E+00    9.6513355E-01
  2.2180002E+00    9.6496284E-01
  2.2190001E+00    9.6498418E-01
  2.2200000E+00    9.6486682E-01
  2.2210002E+00    9.6504825E-01
  2.2220001E+00    9.6536827E-01
  2.2230000E+00    9.6564573E-01
  2.2240002E+00    9.6597642E-01
  2.2250001E+00    9.6662718E-01
  2.2260001E+00    9.6723533E-01
  2.2270000E+00    9.6803558E-01
  2.2280002E+00    9.6865433E-01
  2.2290001E+00    9.6955055E-01
  2.2300000E+00    9.7058547E-01
  2.2310002E+00    9.7144967E-01
  2.2320001E+00    9.7264457E-01
  2.2330000E+00    9.7371149E-01
  2.2340002E+00    9.7478902E-01
  2.2350001E+00    9.7586668E-01
  2.2360001E+00    9.7712559E-01
  2.2370000E+00    9.7824585E-01
  2.2380002E+00    9.7924870E-01
  2.2390001E+00    9.8060375E-01
  2.2400000E+00    9.8194802E-01
  2.2410002E+00    9.8315364E-01
  2.2420001E+00    9.8419917E-01
  2.2430000E+00    9.8541546E-01
  2.2440002E+00    9.8667443E-01
  2.2450001E+00    9.8751724E-01
  2.2460001E+00    9.8852015E-01
  2.2470002E+00    9.8952305E-01
  2.2480001E+00    9.9034452E-01
  2.2490001E+00    9.9121940E-01
  2.2500000E+00    9.9188089E-01
  2.2510002E+00    9.9267042E-01
  2.2520001E+00    9.9322522E-01
  2.2530000E+00    9.9381202E-01
  2.2540002E+00    9.9424946E-01
  2.2550001E+00    9.9476153E-01
  2.2560000E+00    9.9495351E-01
  2.2570002E+00    9.9528432E-01
  2.2580001E+00    9.9555099E-01
  2.2590001E+00    9.9575377E-01
  2.2600000E+00    9.9587113E-01
  2.2610002E+00    9.9602050E-01
  2.2620001E+00    9.9608451E-01
  2.2630000E+00    9.9611646E-01
  2.2640002E+00    9.9634057E-01
  2.2650001E+00    9.9627650E-01
  2.2660000E+00    9.9624455E-01
  2.2670002E+00    9.9638325E-01
  2.2680001E+00    9.9670327E-01
  2.2690001E+00    9.9655390E-01
  2.2700002E+00    9.9651128E-01
  2.2710001E+00    9.9692738E-01
  2.2720001E+00    9.9710870E-01
  2.2730000E+00    9.9687397E-01
  2.2740002E+00    9.9739677E-01
  2.2750001E+00    9.9743944E-01
  2.2760000E+00    9.9745011E-01
  2.2770002E+00    9.9756747E-01
  2.2780001E+00    9.9781293E-01
  2.2790000E+00    9.9794096E-01
  2.2800002E+00    9.9779159E-01
  2.2810001E+00    9.9750352E-01
  2.2820001E+00    9.9743944E-01
  2.2830000E+00    9.9699134E-01
  2.2840002E+00    9.9609518E-01
  2.2850001E+00    9.9520963E-01
  2.2860000E+00    9.9387598E-01
  2.2870002E+00    9.9223298E-01
  2.2880001E+00    9.9001378E-01
  2.2890000E+00    9.8718649E-01
  2.2900002E+00    9.8396444E-01
  2.2910001E+00    9.7977149E-01
  2.2920001E+00    9.7482109E-01
  2.2930002E+00    9.6902776E-01
  2.2940001E+00    9.6187949E-01
  2.2950001E+00    9.5370698E-01
  2.2960000E+00    9.4412613E-01
  2.2970002E+00    9.3301964E-01
  2.2980001E+00    9.2048359E-01
  2.2990000E+00    9.0631503E-01
  2.3000002E+00    8.9049280E-01
  2.3010001E+00    8.7269682E-01
  2.3020000E+00    8.5341781E-01
  2.3030002E+00    8.3141828E-01
  2.3040001E+00    8.0810636E-01
  2.3050001E+00    7.8322619E-01
  2.3060000E+00    7.5611609E-01
  2.3070002E+00    7.2832316E-01
  2.3080001E+00    6.9819379E-01
  2.3090000E+00    6.6683739E-01
  2.3100002E+00    6.3547039E-01
  2.3110001E+00    6.0294044E-01
  2.3120000E+00    5.7017577E-01
  2.3130002E+00    5.3694165E-01
  2.3140001E+00    5.0435829E-01
  2.3150001E+00    4.7104955E-01
  2.3160002E+00    4.3921307E-01
  2.3170002E+00    4.0770736E-01
  2.3180001E+00    3.7786600E-01
  2.3190000E+00    3.4852609E-01
  2.3200002E+00    3.2070118E-01
  2.3210001E+00    2.9438061E-01
  2.3220000E+00    2.6857218E-01
  2.3230002E+00    2.4544165E-01
  2.3240001E+00    2.2370879E-01
  2.3250000E+00    2.0275475E-01
  2.3260002E+00    1.8403056E-01
  2.3270001E+00    1.6657598E-01
  2.3280001E+00    1.5012430E-01
  2.3290000E+00    1.3532633E-01
  2.3300002E+00    1.2204334E-01
  2.3310001E+00    1.0976326E-01
  2.3320000E+00    9.8654643E-02
  2.3330002E+00    8.8581979E-02
  2.3340001E+00    7.9613574E-02
  2.3350000E+00    7.1349315E-02
  2.3360002E+00    6.3880980E-02
  2.3370001E+00    5.7426199E-02
  2.3380001E+00    5.1504873E-02
