# wave[microns]    norm_trans
  4.4660001E+00    0.0000000E+00
  4.4670000E+00    1.1016856E-04
  4.4680004E+00    2.2033713E-04
  4.4690003E+00    2.2033713E-04
  4.4700003E+00    3.3050569E-04
  4.4710002E+00    4.4067425E-04
  4.4720001E+00    5.5084284E-04
  4.4730000E+00    6.6101138E-04
  4.4740000E+00    7.7117991E-04
  4.4750004E+00    8.8134850E-04
  4.4760003E+00    1.1016857E-03
  4.4770002E+00    1.2118542E-03
  4.4780002E+00    1.4321912E-03
  4.4790001E+00    1.6525285E-03
  4.4800000E+00    1.8728656E-03
  4.4810004E+00    2.0932027E-03
  4.4820004E+00    2.3135396E-03
  4.4830003E+00    2.5338770E-03
  4.4840002E+00    2.8643825E-03
  4.4850001E+00    3.1948881E-03
  4.4860001E+00    3.5253940E-03
  4.4870000E+00    3.8558997E-03
  4.4880004E+00    4.2965738E-03
  4.4890003E+00    4.7372482E-03
  4.4900002E+00    5.1779225E-03
  4.4910002E+00    5.7287649E-03
  4.4920001E+00    6.2796078E-03
  4.4930000E+00    7.0507880E-03
  4.4940004E+00    7.7117993E-03
  4.4950004E+00    8.5931476E-03
  4.4960003E+00    9.4744964E-03
  4.4970002E+00    1.0355845E-02
  4.4980001E+00    1.1457530E-02
  4.4990001E+00    1.2559216E-02
  4.5000000E+00    1.3771070E-02
  4.5010004E+00    1.5093093E-02
  4.5020003E+00    1.6415115E-02
  4.5030003E+00    1.7737139E-02
  4.5040002E+00    1.9169331E-02
  4.5050001E+00    2.0491352E-02
  4.5060000E+00    2.1923544E-02
  4.5070004E+00    2.3355734E-02
  4.5080004E+00    2.4787927E-02
  4.5090003E+00    2.6109949E-02
  4.5100002E+00    2.7542140E-02
  4.5110002E+00    2.8864162E-02
  4.5120001E+00    3.0296354E-02
  4.5130000E+00    3.1728547E-02
  4.5140004E+00    3.3381075E-02
  4.5150003E+00    3.5364110E-02
  4.5160003E+00    3.7457313E-02
  4.5170002E+00    3.9991189E-02
  4.5180001E+00    4.2965740E-02
  4.5190001E+00    4.6380963E-02
  4.5200000E+00    5.0236862E-02
  4.5210004E+00    5.4753773E-02
  4.5220003E+00    5.9711363E-02
  4.5230002E+00    6.5219790E-02
  4.5240002E+00    7.1168892E-02
  4.5250001E+00    7.7668838E-02
  4.5260000E+00    8.4499285E-02
  4.5270004E+00    9.1880582E-02
  4.5280004E+00    9.9702552E-02
  4.5290003E+00    1.0796519E-01
  4.5300002E+00    1.1666851E-01
  4.5310001E+00    1.2581250E-01
  4.5320001E+00    1.3539717E-01
  4.5330000E+00    1.4564285E-01
  4.5340004E+00    1.5676986E-01
  4.5350003E+00    1.6910875E-01
  4.5360003E+00    1.8332048E-01
  4.5370002E+00    1.9918476E-01
  4.5380001E+00    2.1637104E-01
  4.5390000E+00    2.3388785E-01
  4.5400004E+00    2.5085381E-01
  4.5410004E+00    2.6649776E-01
  4.5420003E+00    2.8026882E-01
  4.5430002E+00    2.9359922E-01
  4.5440001E+00    3.0858216E-01
  4.5450001E+00    3.2720065E-01
  4.5460000E+00    3.5143772E-01
  4.5470004E+00    3.8294590E-01
  4.5480003E+00    4.2029309E-01
  4.5490003E+00    4.6072492E-01
  4.5500002E+00    5.0104660E-01
  4.5510001E+00    5.3674126E-01
  4.5520000E+00    5.6461388E-01
  4.5530005E+00    5.8841026E-01
  4.5540004E+00    6.1418974E-01
  4.5550003E+00    6.4746064E-01
  4.5560002E+00    6.8557894E-01
  4.5570002E+00    7.2248542E-01
  4.5580001E+00    7.5267160E-01
  4.5590000E+00    7.7635789E-01
  4.5600004E+00    7.9773062E-01
  4.5610003E+00    8.2086599E-01
  4.5620003E+00    8.4565389E-01
  4.5630002E+00    8.6845881E-01
  4.5640001E+00    8.8619596E-01
