# wave[microns]    norm_trans
  1.2320001E+00    3.4805920E-04
  1.2330000E+00    3.6818895E-04
  1.2340001E+00    2.8118209E-04
  1.2350000E+00    3.0770450E-04
  1.2360001E+00    2.6742913E-04
  1.2370001E+00    3.5461047E-04
  1.2380000E+00    3.6043211E-04
  1.2390001E+00    3.6425501E-04
  1.2400000E+00    3.2405896E-04
  1.2410001E+00    3.4003268E-04
  1.2420001E+00    3.6006726E-04
  1.2430000E+00    4.0019988E-04
  1.2440001E+00    4.7377104E-04
  1.2450000E+00    3.2022016E-04
  1.2460001E+00    5.0706684E-04
  1.2470001E+00    4.5381577E-04
  1.2480000E+00    4.2034549E-04
  1.2490001E+00    4.3352737E-04
  1.2500000E+00    5.4050540E-04
  1.2510000E+00    5.9380406E-04
  1.2520001E+00    6.1444135E-04
  1.2530000E+00    7.3437922E-04
  1.2540001E+00    7.9434022E-04
  1.2550001E+00    9.6116815E-04
  1.2560000E+00    1.2616393E-03
  1.2570001E+00    1.3211402E-03
  1.2580000E+00    1.6146635E-03
  1.2590001E+00    2.1056139E-03
  1.2600001E+00    2.7163276E-03
  1.2610000E+00    3.6555575E-03
  1.2620001E+00    4.7518285E-03
  1.2630000E+00    6.6672480E-03
  1.2640001E+00    9.3418565E-03
  1.2650001E+00    1.3749623E-02
  1.2660000E+00    2.0645294E-02
  1.2670001E+00    3.1220950E-02
  1.2680000E+00    4.7760982E-02
  1.2690001E+00    7.2034076E-02
  1.2700001E+00    1.0764899E-01
  1.2710000E+00    1.5565425E-01
  1.2720001E+00    2.1949208E-01
  1.2730000E+00    2.9650545E-01
  1.2740000E+00    3.8606620E-01
  1.2750001E+00    4.9066478E-01
  1.2760000E+00    5.9730965E-01
  1.2770001E+00    7.0385939E-01
  1.2780001E+00    8.0243015E-01
  1.2790000E+00    8.8171190E-01
  1.2800001E+00    9.4061011E-01
  1.2810000E+00    9.7831571E-01
  1.2820001E+00    9.9606603E-01
  1.2830001E+00    1.0000000E+00
  1.2840000E+00    9.9462253E-01
  1.2850001E+00    9.8431176E-01
  1.2860000E+00    9.7108227E-01
  1.2870001E+00    9.5429957E-01
  1.2880001E+00    9.3231386E-01
  1.2890000E+00    9.0258723E-01
  1.2900001E+00    8.6088419E-01
  1.2910000E+00    8.0217636E-01
  1.2920001E+00    7.2579753E-01
  1.2930001E+00    6.3249314E-01
  1.2940000E+00    5.2359575E-01
  1.2950001E+00    4.0919399E-01
  1.2960000E+00    2.9959866E-01
  1.2970001E+00    2.0163070E-01
  1.2980001E+00    1.2885900E-01
  1.2990000E+00    7.9790927E-02
  1.3000001E+00    4.9025238E-02
  1.3010001E+00    3.0976666E-02
  1.3020000E+00    2.0421630E-02
  1.3030001E+00    1.3667296E-02
  1.3040000E+00    9.5763067E-03
  1.3050001E+00    6.9748261E-03
  1.3060001E+00    5.1609268E-03
  1.3070000E+00    3.9621834E-03
  1.3080001E+00    3.1406544E-03
  1.3090000E+00    2.3481543E-03
  1.3100001E+00    1.9701463E-03
  1.3110001E+00    1.6436921E-03
  1.3120000E+00    1.4353199E-03
  1.3130001E+00    1.2357989E-03
  1.3140000E+00    1.0214146E-03
  1.3150001E+00    8.2779460E-04
  1.3160001E+00    8.6932309E-04
  1.3170000E+00    6.7403750E-04
  1.3180001E+00    6.3622085E-04
  1.3190000E+00    5.9945113E-04
  1.3200001E+00    4.5449784E-04
  1.3210001E+00    4.8430386E-04
  1.3220000E+00    4.7164544E-04
  1.3230001E+00    4.2697607E-04
  1.3240001E+00    4.5435512E-04
  1.3250000E+00    3.8336954E-04
  1.3260001E+00    3.8973047E-04
  1.3270000E+00    4.0725878E-04
  1.3280001E+00    4.1204930E-04
  1.3290001E+00    3.1527100E-04
  1.3300000E+00    3.8263988E-04
  1.3310001E+00    2.5194715E-04
  1.3320000E+00    3.7872177E-04
  1.3330001E+00    3.6390603E-04
  1.3340001E+00    3.7881694E-04
  1.3350000E+00    3.8421026E-04
  1.3360001E+00    3.1260608E-04
  1.3370000E+00    3.1673035E-04
