# wave[microns]    norm_trans
  1.0000000E+00    2.0120724E-03
  1.0100000E+00    2.0120724E-03
  1.0200001E+00    2.0120724E-03
  1.0300001E+00    2.0120724E-03
  1.0400001E+00    2.0120724E-03
  1.0500001E+00    2.0120724E-03
  1.0600001E+00    2.0120724E-03
  1.0650001E+00    2.0120724E-03
  1.0700001E+00    2.0120724E-03
  1.0750000E+00    8.0482895E-03
  1.0800000E+00    1.8108651E-02
  1.0830001E+00    2.8169014E-02
  1.0850000E+00    4.2253520E-02
  1.0867000E+00    6.6398390E-02
  1.0880001E+00    9.8591551E-02
  1.0893002E+00    1.5895373E-01
  1.0901999E+00    2.0523138E-01
  1.0908000E+00    3.0382293E-01
  1.0918001E+00    4.0241447E-01
  1.0924001E+00    5.0704229E-01
  1.0930001E+00    6.0362172E-01
  1.0936000E+00    7.1629775E-01
  1.0941000E+00    8.0684102E-01
  1.0946001E+00    8.5110658E-01
  1.0947000E+00    9.0140843E-01
  1.0951000E+00    9.2354125E-01
  1.0952001E+00    9.4567400E-01
  1.0956000E+00    9.6579474E-01
  1.0960001E+00    9.8189133E-01
  1.0973001E+00    1.0000000E+00
  1.0985000E+00    9.8390341E-01
  1.0997000E+00    9.6981889E-01
  1.1022000E+00    9.5774645E-01
  1.1038001E+00    9.3360162E-01
  1.1046001E+00    9.1146880E-01
  1.1049001E+00    8.8128769E-01
  1.1053001E+00    8.5513079E-01
  1.1061001E+00    8.0482894E-01
  1.1067001E+00    7.1026152E-01
  1.1074001E+00    6.0362172E-01
  1.1080000E+00    5.0100601E-01
  1.1087000E+00    4.0241447E-01
  1.1097000E+00    2.7967805E-01
  1.1104001E+00    2.0321932E-01
  1.1112000E+00    1.5895373E-01
  1.1119001E+00    1.1066398E-01
  1.1123002E+00    9.0543255E-02
  1.1130000E+00    6.8410464E-02
  1.1140001E+00    4.8289739E-02
  1.1150000E+00    3.0181086E-02
  1.1170001E+00    1.6096579E-02
  1.1200000E+00    8.0482895E-03
  1.1250000E+00    2.0120724E-03
  1.1300000E+00    2.0120724E-03
  1.1400001E+00    2.0120724E-03
  1.1500001E+00    2.0120724E-03
  1.1600001E+00    2.0120724E-03
  1.1700001E+00    2.0120724E-03
  1.1800001E+00    2.0120724E-03
  1.1900001E+00    2.0120724E-03
  1.2000000E+00    2.0120724E-03
