# wave[microns]    norm_trans
  1.0456000E+01    0.0000000E+00
  1.0605000E+01    9.0274429E-03
  1.0699000E+01    2.2508426E-02
  1.0772000E+01    4.9711119E-02
  1.0820001E+01    9.0394795E-02
  1.0865001E+01    1.4696679E-01
  1.0909000E+01    2.3976891E-01
  1.0938001E+01    3.4605199E-01
  1.0974001E+01    4.6148291E-01
  1.1002001E+01    6.1531055E-01
  1.1043000E+01    7.4434280E-01
  1.1079000E+01    8.3931154E-01
  1.1116000E+01    9.0719789E-01
  1.1177001E+01    9.5245546E-01
  1.1241000E+01    9.8182476E-01
  1.1310000E+01    9.9771303E-01
  1.1379001E+01    1.0000000E+00
  1.1416000E+01    9.7965819E-01
  1.1444000E+01    9.4342804E-01
  1.1476001E+01    8.8228214E-01
  1.1501000E+01    8.0308139E-01
  1.1529000E+01    7.0811266E-01
  1.1566001E+01    5.9725565E-01
  1.1606001E+01    4.5016852E-01
  1.1642000E+01    3.2571015E-01
  1.1687000E+01    2.1256620E-01
  1.1740001E+01    1.3119884E-01
  1.1796000E+01    7.4626863E-02
  1.1841001E+01    4.7424171E-02
  1.1914001E+01    2.4795378E-02
  1.1987000E+01    1.1194030E-02
  1.2064000E+01    2.1665865E-03
  1.2157001E+01    0.0000000E+00
