# wave[microns]    norm_trans
  1.5820001E+01    0.0000000E+00
  1.6270000E+01    1.1513620E-02
  1.6410000E+01    2.3167649E-02
  1.6505001E+01    4.9283914E-02
  1.6610001E+01    1.0165685E-01
  1.6727001E+01    1.7144062E-01
  1.6806002E+01    2.0345408E-01
  1.6965000E+01    2.3251896E-01
  1.7056002E+01    2.6158383E-01
  1.7169001E+01    3.1100816E-01
  1.7743000E+01    7.0921093E-01
  1.8022001E+01    8.9244592E-01
  1.8159000E+01    9.4762707E-01
  1.8264000E+01    9.7669190E-01
  1.8405001E+01    9.7669190E-01
  1.8573000E+01    9.5633250E-01
  1.8719002E+01    9.3302447E-01
  1.8904001E+01    9.2151082E-01
  1.9030001E+01    9.2431903E-01
  1.9209002E+01    9.3892163E-01
  1.9578001E+01    9.7669190E-01
  1.9864000E+01    9.9129456E-01
  2.0115002E+01    1.0000000E+00
  2.0403002E+01    9.8539734E-01
  2.0713001E+01    9.6503794E-01
  2.1174002E+01    9.3302447E-01
  2.1477001E+01    9.1561365E-01
  2.1755001E+01    9.0395963E-01
  2.1989000E+01    9.0985680E-01
  2.2211000E+01    9.1561365E-01
  2.2385000E+01    9.0115136E-01
  2.2634001E+01    8.7208652E-01
  2.2815001E+01    8.6043251E-01
  2.2998001E+01    8.5453528E-01
  2.3166000E+01    8.3712441E-01
  2.3299002E+01    8.0230272E-01
  2.3471001E+01    7.4698120E-01
  2.3627001E+01    7.0921093E-01
  2.3745001E+01    6.9755691E-01
  2.3844002E+01    6.9755691E-01
  2.3944000E+01    7.2086495E-01
  2.4065001E+01    7.4417293E-01
  2.4269001E+01    7.5863522E-01
  2.4477001E+01    7.5287843E-01
  2.4710001E+01    7.3251903E-01
  2.4926001E+01    7.0050550E-01
  2.5057001E+01    6.5978658E-01
  2.5257002E+01    5.6683517E-01
  2.5552002E+01    4.4467849E-01
  2.5830002E+01    3.3712441E-01
  2.6019001E+01    2.6158383E-01
  2.6234001E+01    2.0626229E-01
  2.6576002E+01    1.4532435E-01
  2.6801001E+01    1.0165685E-01
  2.7029001E+01    8.7194614E-02
  2.7524002E+01    5.2232519E-02
  2.8121002E+01    2.6116259E-02
  2.8599001E+01    1.4462231E-02
  2.9035002E+01    8.7054204E-03
  2.9638000E+01    2.8082002E-03
  3.0459002E+01    0.0000000E+00
