# wave[microns]    norm_trans
  3.0400000E+00    0.0000000E+00
  3.0799999E+00    2.2727272E-02
  3.1199999E+00    1.0227273E-01
  3.1599998E+00    4.3181819E-01
  3.1999998E+00    3.4090909E-01
  3.2400000E+00    5.6818181E-01
  3.2800000E+00    6.9318181E-01
  3.3199999E+00    4.6590909E-01
  3.3599999E+00    5.6818181E-01
  3.3999999E+00    6.9318181E-01
  3.4399998E+00    7.9545456E-01
  3.4800000E+00    9.6590912E-01
  3.5200000E+00    1.0000000E+00
  3.5599999E+00    9.5454544E-01
  3.5999999E+00    9.5454544E-01
  3.6399999E+00    9.5454544E-01
  3.6799998E+00    9.7727275E-01
  3.7199998E+00    7.3863631E-01
  3.7600000E+00    2.1590909E-01
  3.8000000E+00    4.5454543E-02
  3.8399999E+00    0.0000000E+00
