# wave[microns]    norm_trans
  5.5000001E-01    0.0000000E+00
  5.6000000E-01    2.3000000E-01
  5.6999999E-01    7.4000001E-01
  5.7999998E-01    9.1000003E-01
  5.8999997E-01    9.8000002E-01
  5.9999996E-01    1.0000000E+00
  6.1000001E-01    9.8000002E-01
  6.2000000E-01    9.5999998E-01
  6.3000000E-01    9.3000001E-01
  6.3999999E-01    8.9999998E-01
  6.4999998E-01    8.6000001E-01
  6.5999997E-01    8.1000000E-01
  6.6999996E-01    7.7999997E-01
  6.8000001E-01    7.2000003E-01
  6.9000000E-01    6.7000002E-01
  6.9999999E-01    6.1000001E-01
  7.0999998E-01    5.6000000E-01
  7.1999997E-01    5.0999999E-01
  7.2999996E-01    4.6000001E-01
  7.4000001E-01    4.0000001E-01
  7.5000000E-01    3.4999999E-01
  7.9999995E-01    1.4000000E-01
  8.4999996E-01    2.9999999E-02
  8.9999998E-01    0.0000000E+00
